ingredient,degree,lcc
Belgian_endive,20,0.638095238095
Cognac,11,0.530303030303
Damson_plums,6,0.714285714286
French_bread,13,0.659340659341
Gouda_cheese,12,0.602564102564
Savoy_cabbage,3,0.5
acorn_squash,21,0.909090909091
allspice,27,0.513227513228
almond,62,0.303635432668
anchovy,5,0.666666666667
anise_seed,9,0.8
apple,46,0.302497687327
applesauce,5,0.466666666667
apricot,5,0.666666666667
artichoke_heart,8,0.777777777778
asparagus,4,0.6
bacon,50,0.329411764706
barley,13,0.692307692308
bay_leaf,43,0.435517970402
beef,64,0.348076923077
beef_stock,43,0.471458773784
beer,13,0.571428571429
beetroot,21,0.580086580087
berry,23,0.634057971014
bitter,22,0.660079051383
black_bread,4,0.6
black_olive,19,0.6
brain,6,0.714285714286
bread,63,0.342261904762
breast_of_veal,21,0.909090909091
brown_sugar,14,0.580952380952
buckwheat,8,0.611111111111
butter,114,0.191456903127
cabbage,55,0.394805194805
caper,5,0.666666666667
caraway_seed,23,0.56884057971
carp,22,0.644268774704
carrot,94,0.278611422172
caster_sugar,42,0.303433001107
cauliflower,31,0.616935483871
celery,62,0.362007168459
celery_root,50,0.441568627451
cheese,57,0.32425892317
chervil,20,0.671428571429
chestnut,4,0.6
chicken,60,0.351366120219
chicken_liver,3,0.5
chicken_stock,50,0.426666666667
chickpea,26,0.62962962963
chile,9,0.577777777778
chive,18,0.654970760234
chorizo,5,0.666666666667
chuck,11,0.833333333333
cinnamon,66,0.322026232474
clove,39,0.425641025641
cocoa,10,0.527272727273
cocoa_powder,9,0.577777777778
coffee,5,0.666666666667
coriander,35,0.533333333333
cornmeal,3,0.5
couscous,29,0.604597701149
cream,10,0.509090909091
cream_cheese,8,0.777777777778
cucumber,33,0.388591800357
cumin_seed,29,0.544827586207
currant,15,0.533333333333
dark_chocolate,7,0.75
date,3,0.5
dill,44,0.393939393939
dill_seed,7,0.75
duck,11,0.621212121212
eel,22,0.687747035573
egg,95,0.223903508772
egg_noodle,9,0.8
egg_yolk,61,0.338445267054
eggplant,21,0.909090909091
fennel,37,0.53627311522
fillet,25,0.643076923077
fish,20,0.661904761905
flounder,7,0.75
flour,78,0.245699448231
food_coloring,6,0.714285714286
frankfurter,9,0.8
garlic,53,0.385045422781
gin,11,0.742424242424
ginger,34,0.539495798319
golden_syrup,5,0.666666666667
goose,10,0.818181818182
grain,36,0.478978978979
grape,21,0.909090909091
green,6,0.714285714286
green_bean,33,0.598930481283
green_olive,9,0.755555555556
green_pepper,45,0.472463768116
ground_beef,12,0.551282051282
halibut,6,0.714285714286
ham,17,0.59477124183
ham_hock,6,0.714285714286
hard-boiled_egg,10,0.818181818182
hazelnut,15,0.45
heavy_cream,48,0.410714285714
herring,4,0.6
honey,34,0.504201680672
horseradish,18,0.72514619883
icing_sugar,24,0.606666666667
ingredient,48,0.264455782313
instant_coffee,5,0.666666666667
jam,11,0.833333333333
juice,21,0.705627705628
juniper_berry,18,0.649122807018
kale,4,0.6
kirsch,27,0.484126984127
lamb,48,0.389455782313
lard,24,0.423333333333
leg_of_lamb,8,0.777777777778
lemon,115,0.201499250375
lime,3,0.166666666667
liver,8,0.583333333333
mace,21,0.601731601732
mandarin_orange,8,0.777777777778
matzo_meal,4,0.6
mayonnaise,10,0.818181818182
milk,53,0.285814116003
mint,23,0.532608695652
mushroom,44,0.374747474747
mussel,11,0.772727272727
mustard,10,0.818181818182
noodle,3,0.5
nutmeg,59,0.319774011299
olive_oil,5,0.4
onion,137,0.199936528086
orange,19,0.589473684211
orange_marmalade,6,0.714285714286
orange_peel,7,0.75
oregano,45,0.457971014493
oyster,9,0.8
paprika,29,0.427586206897
parsley,119,0.227871148459
parsnip,26,0.541310541311
pasta,7,0.75
paste,6,0.666666666667
pastry,10,0.545454545455
pea,37,0.546230440967
peanut_oil,15,0.875
pear,11,0.833333333333
peppercorn,31,0.534274193548
peppermint,1,0.0
perch,16,0.830882352941
pistachio_nut,3,0.5
plain_flour,37,0.385490753912
plum,11,0.560606060606
poppy_seed,11,0.833333333333
pork,56,0.419799498747
pork_loin,9,0.8
pork_sausage,9,0.8
pot_cheese,13,0.56043956044
potato,94,0.279731243001
preserve,10,0.818181818182
prune,27,0.417989417989
pumpkin,20,0.761904761905
quail,14,0.647619047619
rabbit,6,0.714285714286
radish,18,0.567251461988
raisin,58,0.348918760959
raspberry,4,0.6
red_cabbage,3,0.5
red_currant,6,0.714285714286
red_onion,10,0.509090909091
red_pepper,30,0.50752688172
red_snapper,6,0.714285714286
red_wine,45,0.430917874396
rib,6,0.714285714286
rock,14,0.685714285714
rose,12,0.782051282051
round,6,0.714285714286
rum,18,0.695906432749
rye,11,0.833333333333
rye_bread,3,0.5
saffron,35,0.514285714286
sage,22,0.525691699605
salt,3,0.333333333333
salt_pork,7,0.75
sauerkraut,20,0.661904761905
sausage,35,0.387301587302
scallion,64,0.344711538462
self-raising_flour,4,0.6
semolina,1,0.0
sesame_seed,6,0.714285714286
shallot,31,0.508064516129
shrimp,18,0.567251461988
single_cream,30,0.393548387097
sorrel,12,0.846153846154
sour_cherry,3,0.5
sour_cream,54,0.381144781145
