node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
orange_peel,7,0.0299145299145,0.433333333333,0,-1.80837551924,1.4286614916e+15,56.1428571429,1.0
peanut_oil,15,0.0641025641026,0.461538461538,0,-1.43354411058,8.02813583566e+15,55.0,1.0
cinnamon,66,0.282051282051,0.58064516129,-1.71082996715,-0.934458070221,7.99421630976e+16,39.7272727273,0.331934731935
salt,3,0.0128205128205,0.411247803163,-4.62471221379,-2.18367059567,2.53712734717e+14,60.3333333333,0.666666666667
kale,4,0.017094017094,0.412698412698,0,-2.06300821642,4.42273211953e+14,51.5,1.0
perch,16,0.0683760683761,0.486486486486,-4.70116685629,-1.39813475661,9.45011088753e+15,58.0625,0.941666666667
sage,22,0.0940170940171,0.477551020408,-3.0246616837,-1.36453686976,1.10316128176e+16,42.6818181818,0.575757575758
rye_bread,3,0.0128205128205,0.420863309353,0,-2.01723805907,5.46061254264e+14,77.3333333333,1.0
white_wine,43,0.183760683761,0.536697247706,-2.45319779872,-1.05258303043,4.64020540668e+16,45.6046511628,0.458471760797
brain,6,0.025641025641,0.44741873805,0,-1.75957591076,1.78870349218e+15,70.0,1.0
chickpea,26,0.111111111111,0.504310344828,-3.06484833447,-1.21004788743,2.24701719622e+16,53.3846153846,0.68
saffron,35,0.149572649573,0.522321428571,-2.61429600277,-1.12760956779,3.28455226094e+16,48.5142857143,0.544537815126
sour_cherry,3,0.0128205128205,0.36,0,-2.45394493107,7.30782110554e+13,29.6666666667,1.0
Damson_plums,6,0.025641025641,0.43984962406,0,-1.82949104439,1.2962978884e+15,64.8333333333,1.0
anise_seed,9,0.0384615384615,0.436567164179,0,-1.70335370587,2.31724263645e+15,54.1111111111,1.0
milk,53,0.226495726496,0.554502369668,-1.72896344142,-1.0872762579,3.95491504563e+16,35.6981132075,0.296806966618
caper,5,0.0213675213675,0.453488372093,0,-1.81747109928,1.37010526936e+15,78.2,1.0
sauerkraut,20,0.0854700854701,0.492631578947,-3.57379384351,-1.30443214554,1.45496216625e+16,54.75,0.731578947368
grape,21,0.0897435897436,0.464285714286,0,-1.26165452281,1.77180860879e+16,56.2380952381,1.0
ham,17,0.0726495726496,0.473684210526,-3.71327539855,-1.40753060592,9.04968623108e+15,51.3529411765,0.669117647059
single_cream,30,0.128205128205,0.527027027027,-2.40148231593,-1.19554906446,2.40216828232e+16,50.3666666667,0.420689655172
rose,12,0.0512820512821,0.45703125,-4.30787390885,-1.58789153534,3.94360786919e+15,57.1666666667,0.924242424242
sunflower_oil,4,0.017094017094,0.383606557377,0,-2.22815042743,2.06728524688e+14,33.25,1.0
leg_of_lamb,8,0.034188034188,0.45,0,-1.67808685596,2.60331366845e+15,59.375,1.0
sugar,56,0.239316239316,0.555819477435,-1.55218642853,-1.07786221078,4.13011502083e+16,34.5535714286,0.271428571429
celery,62,0.264957264957,0.555819477435,-1.99772260538,-0.912534179378,8.84399154743e+16,41.0,0.373876255949
tomato_paste,30,0.128205128205,0.479508196721,-3.37153342783,-1.13848713409,3.12427928747e+16,51.3,0.737931034483
horseradish,18,0.0769230769231,0.475609756098,-3.91977614904,-1.32902480184,1.29917266093e+16,57.7222222222,0.81045751634
sweet,11,0.0470085470085,0.45,0,-1.53603962548,5.0077232763e+15,60.3636363636,1.0
couscous,29,0.123931623932,0.505399568035,-3.06199502127,-1.18505491263,2.52109528407e+16,49.724137931,0.647783251232
black_olive,19,0.0811965811966,0.505399568035,-2.664241113,-1.33738880514,1.25004164798e+16,57.6315789474,0.666666666667
ingredient,48,0.205128205128,0.550588235294,-1.60466495697,-1.0720136665,4.24305334215e+16,39.9583333333,0.275709219858
coffee,5,0.0213675213675,0.429357798165,0,-1.93952786072,7.80951936758e+14,62.4,1.0
anchovy,5,0.0213675213675,0.453488372093,0,-1.81747109928,1.37010526936e+15,78.2,1.0
pistachio_nut,3,0.0128205128205,0.363354037267,0,-2.50270710539,5.83785015749e+13,27.6666666667,1.0
