field,count
Afternoon_tea,74
Appetizers_/_starters,109
Baked_&_steamed_desserts,14
Basque,20
Beverages_/_drinks_(no-alcohol),3
Bread_&_buns__sweet,16
Bread_&_rolls__savory,32
Breakfast_/_brunch,4
Brownies__slices_&_bars,1
Cakes__large,52
Cakes__small,13
Canapés_/_hors_d'oeuvre,7
Candy_/_sweets,18
Catalan,34
Cheesecakes,2
Children_&_baby_food,1
Christmas,25
Chutneys__pickles_&_relishes,4
Cocktails_/_drinks_(with_alcohol),17
Cookies__biscuits_&_crackers,26
Cooking_ahead,10
Cooking_for_1_or_2,1
Cooking_for_a_crowd,2
Crumbles__cobblers__crisps_&_bettys,1
Curry,2
Dessert,227
Dinner_parties/entertaining,6
Dips__spreads_&_salsas,13
Dressings_&_marinades,11
Easter,5
Egg_dishes,32
Fall_/_autumn,1
French,3
Fried_doughs,25
Frostings_&_fillings,12
Grills_&_BBQ,42
Ice_cream_&_frozen_desserts,5
Jams__jellies_&_preserves,15
Lunch,2
Main_course,505
Mousses__trifles__custards_&_creams,50
Pancakes__waffles_&_crêpes,2
Pasta__doughs_&_sauces,2
Picnics_&_outdoors,2
Pies__tarts_&_pastries,51
Pizza_&_calzones,2
Portuguese,935
Quick_/_easy,2
Rice_dishes,53
Salads,25
Sandwiches_&_burgers,5
Sauces_for_desserts,9
Sauces_for_fish,12
Sauces_for_meat,7
Sauces_for_poultry,2
Sauces__general,27
Side_dish,104
Small_plates_-_tapas__meze,19
Snacks,5
Soups,132
Spanish,234
Spring,2
Stews_&_one-pot_meals,132
Stir-fries,1
Stocks,5
Stuffing,3
Summer,12
Thanksgiving,2
Turkish,1
Vegan,74
Vegetarian,162
Winter,4
