node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
lemon_juice,2,0.00512820512821,0.392685916999,0,-2.63796958534,1.13181221991e+29,113.5,1.0
sunflower_oil,8,0.0205128205128,0.444200525213,-5.64758068565,-2.01644477417,1.98074061702e+30,111.75,0.857142857143
mackerel,39,0.1,0.489239868708,-3.53666871623,-1.37573911638,3.78651276719e+31,99.8205128205,0.651821862348
roe,6,0.0153846153846,0.419120799577,0,-2.18189013467,9.24566375237e+29,101.333333333,1.0
fish_steak,13,0.0333333333333,0.457900660036,0,-1.7881532697,5.66771984717e+30,125.307692308,1.0
anise_seed,42,0.107692307692,0.51468034188,-2.6086959858,-1.4425130074,2.78411684139e+31,84.5,0.506387921022
Irish_whiskey,2,0.00512820512821,0.397538884048,0,-2.60994323949,1.28773872949e+29,119.0,1.0
honeydew_melon,2,0.00512820512821,0.37152093976,0,-2.67771956888,9.42502141645e+28,84.5,1.0
grape,32,0.0820512820513,0.505249026715,-3.48656197833,-1.44866944928,2.7063092209e+31,105.34375,0.663306451613
melon,2,0.00512820512821,0.376963141026,0,-2.76919251159,6.18482022831e+28,88.5,1.0
black_olive,76,0.194871794872,0.54831002331,-2.55016700515,-1.0971249866,1.36605392176e+32,95.5394736842,0.55298245614
pickle_relish,9,0.0230769230769,0.416408043593,0,-2.21872530385,7.80311009379e+29,63.8888888889,1.0
pork_belly,11,0.0282051282051,0.449371660547,-4.86505286877,-1.89577192663,3.45280502033e+30,110.818181818,0.818181818182
ingredient,147,0.376923076923,0.613688801924,-1.41270146064,-0.939653993507,2.82105166931e+32,68.1224489796,0.300903923213
lima_bean,27,0.0692307692308,0.486772076179,-4.47101294059,-1.46763639406,2.4799552354e+31,118.925925926,0.820512820513
Boston_lettuce,4,0.0102564102564,0.421869132689,0,-2.37034186426,3.88178735332e+29,104.75,1.0
quince,2,0.00512820512821,0.395502311896,0,-2.65659120543,1.03878762212e+29,131.5,1.0
porgy,14,0.0358974358974,0.460632764213,0,-1.76614893419,6.27215091684e+30,125.785714286,1.0
asparagus,41,0.105128205128,0.50924835938,-3.40716770415,-1.3143354096,5.02395888035e+31,110.268292683,0.715853658537
cane_sugar,6,0.0153846153846,0.427949286486,0,-2.14632254687,1.08909906146e+30,122.5,1.0
prosciutto,67,0.171794871795,0.540630611219,-2.46895893537,-1.14313865407,1.10519906076e+32,97.2835820896,0.579828132067
