field,count
Afternoon_tea,18
Appetizers_/_starters,86
Armenian,71
Asian,1
Azerbaijani,31
Baked_&_steamed_desserts,4
Beverages_/_drinks_(no-alcohol),13
Bread_&_buns__sweet,5
Bread_&_rolls__savory,13
Breakfast_/_brunch,16
Cakes__large,25
Cakes__small,2
Canapés_/_hors_d'oeuvre,7
Candy_/_sweets,4
Central_Asian,14
Cheesecakes,1
Christmas,12
Chutneys__pickles_&_relishes,7
Cocktails_/_drinks_(with_alcohol),11
Cookies__biscuits_&_crackers,8
Cooking_ahead,4
Dessert,90
Dinner_parties/entertaining,4
Dips__spreads_&_salsas,16
East_European,62
Easter,9
Egg_dishes,10
Estonian,9
Fall_/_autumn,3
French,2
Fried_doughs,10
Frostings_&_fillings,3
Georgian,80
Grills_&_BBQ,19
Hungarian,1
Ice_cream_&_frozen_desserts,7
Jams__jellies_&_preserves,4
Jewish,8
Kazakh,2
Lithuanian,10
Lunch,2
Main_course,235
Middle_Eastern,10
Mousses__trifles__custards_&_creams,22
Pancakes__waffles_&_crêpes,12
Passover,5
Pasta__baked,4
Pasta__doughs_&_sauces,6
Pasta__filled,11
Persian,24
Picnics_&_outdoors,2
Pies__tarts_&_pastries,56
Pizza_&_calzones,2
Quick_/_easy,1
Rice_dishes,28
Russian,313
Salads,45
Sandwiches_&_burgers,1
Sauces_for_desserts,2
Sauces_for_meat,1
Sauces_for_poultry,1
Sauces__general,18
Side_dish,103
Small_plates_-_tapas__meze,9
Snacks,1
Soups,73
Spice_/_herb_blends_&_rubs,1
Spring,3
Stews_&_one-pot_meals,47
Stir-fries,1
Stocks,5
Stuffing,4
Summer,16
Swiss,1
Thanksgiving,5
Turkish,2
Ukrainian,96
Uzbek,4
Vegan,91
Vegetarian,213
Winter,9
