field,count
Alberto_V_zquez_Prego,334
Andrew_DiCataldo,166
Andrew_Friedman,146
Cherie_Hamilton,131
Christopher_Idone,104
Daisy_Martinez,205
Elisabeth_Lambert_Ortiz,491
Georgeanne_Brennan,148
Ingrid_Hoffmann,150
Jessica_B._Harris,170
Jose_Garces,123
Leticia_Moreinos_Schwartz,98
Maria_Baezx_Kijac,410
Maricel_E._Presilla,535
Michael_Bateman,71
Nirmala_Narine,83
Norman_Van_Aken,201
Peter_Kaminsky,118
Rafael_Palomino,93
Richard_Roberts,97
Shirley_Lomax_Brooks,189
Steven_Raichlen,191
Terry_Hope_Romero,196
Time-Life_Books,110
Troth_Wells,138
