field,count
African,8
Afternoon_tea,44
Algerian,2
Appetizers_/_starters,460
Argentinian,727
Asian,7
Bahamian,2
Baked_&_steamed_desserts,43
Basque,9
Beverages_/_drinks_(no-alcohol),115
Bolivian,27
Brazilian,838
Bread_&_buns__sweet,13
Bread_&_rolls__savory,83
Breakfast_/_brunch,61
British,2
Brownies__slices_&_bars,1
Cajun_&_Creole,15
Cakes__large,49
Cakes__small,19
Canapés_/_hors_d'oeuvre,56
Candy_/_sweets,45
Caribbean,88
Catalan,4
Central_American,334
Cheesecakes,5
Children_&_baby_food,4
Chilean,112
Chinese,4
Christmas,23
Chutneys__pickles_&_relishes,44
Cocktails_/_drinks_(with_alcohol),145
Colombian,193
Cookies__biscuits_&_crackers,37
Cooking_ahead,288
Cooking_for_1_or_2,30
Cooking_for_a_crowd,40
Costa_Rican,5
Crumbles__cobblers__crisps_&_bettys,1
Cuban,140
Curry,12
Dessert,424
Dinner_parties/entertaining,66
Dips__spreads_&_salsas,149
Dominican_(Republic),27
Dressings_&_marinades,201
East_African,5
Easter,7
Ecuadorian,118
Egg_dishes,80
Egyptian,1
English,2
Ethiopian,2
European,1
Fall_/_autumn,3
French,20
Fried_doughs,76
Frostings_&_fillings,11
General_courses,1
German,4
Ghanaian,2
Gluten-free,56
Greek,2
Grills_&_BBQ,179
Guatemalan,28
Guyanese,7
Haitian,2
Hanukkah,1
Hawaiian,1
Honduran,3
Ice_cream_&_frozen_desserts,35
Indian,20
Indonesian,5
Iranian,2
Iraqi,1
Italian,19
Ivory_Coast,1
Jamaican,7
Jams__jellies_&_preserves,17
Japanese,4
Jordanian,1
Kenyan,4
Korean,2
Lebanese,1
Libyan,2
Lunch,40
Main_course,1720
Malaysian,4
Mediterranean,3
Mexican,455
Middle_Eastern,17
Moroccan,5
Mousses__trifles__custards_&_creams,137
Mozambican,2
Native_American,1
Nepali,1
Nicaraguan,13
North_African,2
North_American,199
Other_Jewish_holidays,1
Pakistani,1
Panamanian,4
Pancakes__waffles_&_crêpes,21
Paraguayan,22
Passover,1
Pasta__baked,5
Pasta__doughs_&_sauces,55
Pasta__filled,1
Peruvian,203
Philippine,2
Picnics_&_outdoors,18
Pies__tarts_&_pastries,167
Pizza_&_calzones,5
Portuguese,4
Puerto_Rican,44
Quick_/_easy,74
Rice_dishes,199
Russian,1
Salads,243
Salvadoran,15
Sandwiches_&_burgers,51
Sauces_for_desserts,46
Sauces_for_fish,55
Sauces_for_meat,58
Sauces_for_poultry,37
Sauces__general,241
Side_dish,688
Sierra_Leonean,3
Small_plates_-_tapas__meze,43
Snacks,128
Soups,251
South_African,10
South_American,852
Spanish,101
Spice_/_herb_blends_&_rubs,33
Spring,6
Sri_Lankan,6
Stews_&_one-pot_meals,472
Stir-fries,7
Stocks,46
Stuffing,29
Summer,48
Suppers,10
Syrian,4
Thai,4
Thanksgiving,2
Trinidadian,3
Tunisian,2
Uruguayan,3
Vegan,746
Vegetarian,1139
Venezuelan,102
Vietnamese,2
Welsh,2
West_African,1
West_Indian,2
Winter,12
