field,count
Argentina_Cooks!_Expanded:_Treasured_Recipes_from_the_Nine_Regions_of_Argentina,189
As_Cocinan_los_Argentinos/How_Argentina_Cooks,334
Brazil:_A_Cook_s_Tour,104
Brazil:_A_Culinary_Journey,131
Cafe_Brazil,71
Cuisine_Latina:_Fresh_Tastes_and_a_World_of_Flavors_from_Michy_s_Miami_Kitchen,146
Daisy_Cooks!:_Latin_Flavors_That_Will_Rock_Your_World,205
Douglas_Rodriguez_s_Latin_Flavors_on_the_Grill,166
Gran_Cocina_Latina:_The_Food_of_Latin_America,535
Latin_American_Cooking_(Foods_of_the_World),110
Latin_Evolution,123
New_World_Kitchen:_Latin_America_and_Caribbean_Cuisine,201
Nirmala’s_Edible_Diary:_A_Hungry_Traveler’s_Cookbook_with_Recipes_from_14_Countries,83
Seven_Fires:_Grilling_the_Argentine_Way,118
Simply_Delicioso:_A_Collection_of_Everyday_Recipes_with_a_Latin_Twist,150
Steven_Raichlen_s_Healthy_Latin_Cooking:_200_Sizzling_Recipes_from_Mexico__Cuba__Caribbean__Brazil_and_Beyond,191
Tasting_Brazil:_Regional_Recipes_and_Reminiscences,170
The_Book_of_Latin_American_Cooking:_500_Superb_Recipes_from_All_the_Latin_American_Cuisines--From_the_Northern_Border_of_Mexico_to_the_Southernmost_Tip_of_Chile,491
The_Brazilian_Kitchen:_100_Classic_and_Contemporary_Recipes_for_the_Home_Cook,98
The_Brazilian_Table,97
The_South_American_Table:_The_Flavor_and_Soul_of_Authentic_Home_Cooking_from_Patagonia_to_Rio_De_Janeiro__with_450_Recipes,410
The_Spices_of_Life:_Piquant_Recipes_from_Africa__Asia_Latin_America_for_Western_Kitchens,138
Viva_La_Vida:_Recipes_for_Fabulous_Fiestas,93
Viva_Vegan!:_200_Authentic_and_Fabulous_Recipes_for_Latin_Food_Lovers,196
Williams-Sonoma_Essentials_of_Latin_Cooking:_Recipes_Techniques_for_Authentic_Home-cooked_Meals,148
