field,count
Albert_Adri,30
Alberto_Herraiz,109
Andoni_Luis_Aduriz,71
Andy_Pforzheimer,108
Anya_Von_Bremzen,296
Australian_Women_s_Weekly,29
Claudia_Roden,217
Elisabeth_Luard,192
Gwyneth_Paltrow,74
In_s_Ortega,1413
Jane_Lawson,94
Janet_Mendel,225
Jeff_Koehler,34
Jos_Pizarro,131
Jose_Garces,134
Joyce_Goldstein,127
Leigh_Beisch,61
Maggie_Pond,124
Marimar_Torres,118
Marion_Trutter,237
Mary_Goodbody,134
Miguel_Maestre,78
Natalia_Solis_Ballinger,81
Patrick_Morcas,118
Penelope_Casas,1743
Pepita_Aris,149
Richard_Cornish,310
Richard_Tapper,60
Richard_Wolffe,202
Rick_Stein,145
Samuel_Clark,390
Seamus_Mullen,115
Teresa_Barrenechea,248
Time-Life_Books,105
Vicky_Bennison,136
Vicky_Harris,118
Victoria_Wise,185
Williams-Sonoma,49
