field,count
African,1
Afternoon_tea,89
Appetizers_/_starters,1107
Argentinian,5
Asian,2
Australian,1
Austrian,2
Baked_&_steamed_desserts,50
Basque,129
Belgian,1
Beverages_/_drinks_(no-alcohol),27
Brazilian,2
Bread_&_buns__sweet,20
Bread_&_rolls__savory,55
Breakfast_/_brunch,65
Brownies__slices_&_bars,3
Cakes__large,93
Cakes__small,20
Cambodian,2
Canapés_/_hors_d'oeuvre,50
Candy_/_sweets,32
Catalan,340
Central_American,2
Central_Southern_States,2
Cheesecakes,9
Chili,2
Chinese,5
Christmas,33
Chutneys__pickles_&_relishes,57
Cocktails_/_drinks_(with_alcohol),141
Cookies__biscuits_&_crackers,72
Cooking_ahead,577
Cooking_for_1_or_2,52
Cooking_for_a_crowd,21
Crumbles__cobblers__crisps_&_bettys,3
Cuban,24
Curry,1
Dessert,798
Dinner_parties/entertaining,42
Dips__spreads_&_salsas,140
Dressings_&_marinades,97
Easter,10
Ecuadorian,25
Egg_dishes,353
Egg-free,1
Egyptian,1
English,1
European,1
Fall_/_autumn,113
French,29
Fried_doughs,109
Frostings_&_fillings,4
Greek,5
Grills_&_BBQ,219
Ice_cream_&_frozen_desserts,99
Indian,4
Iranian,1
Italian,23
Jams__jellies_&_preserves,28
Jewish,3
Lebanese,19
Lunch,27
Main_course,2505
Mediterranean,84
Mexican,213
Middle_Eastern,21
Moroccan,38
Mousses__trifles__custards_&_creams,214
New_Zealand,1
North_African,7
North_American,10
Pancakes__waffles_&_crêpes,31
Passover,1
Pasta__baked,10
Pasta__doughs_&_sauces,34
Pasta__filled,8
Peruvian,26
Picnics_&_outdoors,1
Pies__tarts_&_pastries,326
Pizza_&_calzones,26
Portuguese,139
Puerto_Rican,1
Quick_/_easy,52
Rice_dishes,483
Russian,6
Salads,489
Sandwiches_&_burgers,145
Sauces_for_desserts,28
Sauces_for_fish,31
Sauces_for_meat,26
Sauces_for_poultry,6
Sauces__general,239
Scottish,1
Side_dish,525
Small_plates_-_tapas__meze,1654
Snacks,59
Soups,399
South_American,2
Spanish,6107
Spice_/_herb_blends_&_rubs,8
Spring,125
Stews_&_one-pot_meals,696
Stir-fries,8
Stocks,63
Stuffing,17
Summer,143
Suppers,12
Thai,3
Tunisian,1
Turkish,31
Valentine's_Day_/_romantic,1
Vegan,597
Vegetarian,1356
Vietnamese,1
Winter,127
