node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
pheasant,41,0.0563186813187,0.492538245337,0.000107218827947,0.0205327702684,1.7893585472e+44,134.682926829,0.461538461538
whiting,49,0.0673076923077,0.495564077561,0.000475623991029,0.0267282625737,3.03234986643e+44,141.897959184,0.504162812211
sunflower_oil,118,0.162087912088,0.513801396763,0.00572797073903,0.0337578900425,4.83682420603e+44,67.8305084746,0.12383808096
mackerel,54,0.0741758241758,0.503817747138,0.000350447539711,0.0319688661385,4.33792039882e+44,153.092592593,0.484917043741
roe,62,0.0851648351648,0.502771034367,0.000549275685259,0.0287569641611,3.50993366226e+44,119.85483871,0.364406779661
fish_steak,33,0.0453296703297,0.494214685927,2.27715344828e-05,0.0224765403857,2.14433576886e+44,182.666666667,0.660215053763
milk,193,0.26510989011,0.557176802476,0.0155531373223,0.0503633332876,1.07647147238e+45,66.9585492228,0.145770184624
liquorice,85,0.116758241758,0.523055744688,0.00059553839874,0.0485321234035,9.99732127671e+44,147.105882353,0.500734645901
honeydew_melon,28,0.0384615384615,0.485619647911,5.28018032998e-05,0.0148242121707,9.3269995436e+43,154.321428571,0.44
corn cob,12,0.0164835164835,0.445399615722,6.07765147813e-07,0.00757012405886,2.43248245472e+43,167.916666667,0.866666666667
hyssop,12,0.0164835164835,0.432401056359,1.03742106479e-06,0.00491528985173,1.025506799e+43,108.083333333,0.844444444444
flounder,31,0.0425824175824,0.491537829131,6.0330897999e-05,0.0174636149557,1.29448115332e+44,152.967741935,0.487684729064
peanut,56,0.0769230769231,0.508048546974,0.000356135529812,0.0297677928189,3.76097913224e+44,139.25,0.480083857442
sashimi,36,0.0494505494505,0.4846471119,4.80694199526e-05,0.0197811434405,1.6608413538e+44,140.805555556,0.566844919786
geranium,12,0.0164835164835,0.439202282896,1.60402979511e-06,0.00664687313205,1.87530675837e+43,141.25,0.733333333333
starter,9,0.0123626373626,0.412735289157,1.87255127025e-06,0.0021646419939,1.98856403261e+42,86.4444444444,0.857142857143
dressing,7,0.00961538461538,0.401105731285,2.05407470449e-07,0.00230979558056,2.26447960804e+42,89.2857142857,0.9
couscous,16,0.021978021978,0.450093846018,8.03314077785e-07,0.010744199022,4.89995894654e+43,172.875,0.868131868132
black_olive,106,0.145604395604,0.528000999001,0.00141347578764,0.047728664332,9.66886923715e+44,111.660377358,0.314787154593
suckling_pig,24,0.032967032967,0.481433271636,1.92417908959e-05,0.0148875064922,9.40730540903e+43,172.291666667,0.545454545455
pork_belly,69,0.0947802197802,0.51452967656,0.000223748076843,0.0405836639271,6.99075257453e+44,151.014492754,0.495251017639
ingredient,117,0.160714285714,0.497602038126,0.0071921991659,0.0240031227535,2.44526469474e+44,49.0598290598,0.0671243325706
lima_bean,87,0.119505494505,0.519686022639,0.000451138800228,0.049380656202,1.0350088579e+45,139.689655172,0.47731092437
offal,11,0.0151098901099,0.462715980641,2.07080445603e-06,0.00739051543451,2.31841065686e+43,188.454545455,0.777777777778
kidney_bean,56,0.0769230769231,0.504167620574,9.02403381138e-05,0.0352102823594,5.26230845233e+44,158.803571429,0.64570230608
self-rising_flour,46,0.0631868131868,0.50769326827,0.000137992042644,0.02727816218,3.15824152282e+44,166.52173913,0.439746300211
margarita,6,0.00824175824176,0.379509343244,0.0,0.00134223589997,7.64562506834e+41,69.0,1.0
porgy,40,0.0549450549451,0.497943328962,5.85831235241e-05,0.024114679747,2.4682878885e+44,162.425,0.549075391181
nectar,51,0.0700549450549,0.498970016238,0.000350418277288,0.0236324034692,2.37042026848e+44,119.784313725,0.422619047619
asparagus,129,0.177197802198,0.536190083919,0.00196357669214,0.0599486798137,1.52540565457e+45,111.488372093,0.313085864267
egg_noodle,10,0.0137362637363,0.441606674955,1.20765844492e-06,0.00577100147063,1.41365215873e+43,154.8,0.678571428571
gum,55,0.0755494505495,0.500345536614,0.000331999697045,0.0222358851172,2.09841732739e+44,115.745454545,0.39259796807
smoked_haddock,9,0.0123626373626,0.450373060562,1.02847448642e-06,0.00506547349127,1.08909204822e+43,161.222222222,0.666666666667
prosciutto,76,0.104395604396,0.506630407276,0.000571596112131,0.0362420941742,5.57501268651e+44,117.868421053,0.352832284339
haricot,73,0.100274725275,0.519686022639,0.000504872644484,0.0438007161873,8.14305758266e+44,156.863013699,0.499798792757
quahog,17,0.0233516483516,0.448148996066,1.53778198773e-06,0.00969217209896,3.98730396013e+43,143.176470588,0.866666666667
beet_green,8,0.010989010989,0.407179682348,6.50648473129e-07,0.0028993286937,3.56758104433e+42,98.625,0.8
cocoa_powder,64,0.0879120879121,0.502423095935,0.000687612111003,0.0241010588299,2.46513398289e+44,109.78125,0.414066631412
round,4,0.00549450549451,0.399121150977,0.0,0.00194301800916,1.60252844371e+42,138.0,1.0
dessert_wine,6,0.00824175824176,0.382912116892,0.0,0.00148765349109,9.39206661255e+41,71.0,1.0
pork,185,0.254120879121,0.563228373643,0.00667828854653,0.0814803375414,2.81792740234e+45,104.151351351,0.27868852459
sultana,74,0.101648351648,0.516726956318,0.000443402612344,0.0407728343805,7.05580305255e+44,148.378378378,0.467918622848
tomato_sauce,104,0.142857142857,0.526087951903,0.00124728862853,0.0481537870308,9.84206092758e+44,114.826923077,0.327897495632
pie_shell,9,0.0123626373626,0.423818665281,1.16782448394e-06,0.00361168004339,5.53669422337e+42,113.888888889,0.761904761905
tea,52,0.0714285714286,0.508048546974,0.000374660584424,0.0255263459553,2.76560588931e+44,132.557692308,0.416326530612
almond,233,0.320054945055,0.587379752125,0.0192373422065,0.0757089891185,2.43270773118e+45,81.0,0.164878599661
bacon,163,0.223901098901,0.54179206987,0.00465483495652,0.0648166859403,1.78320248944e+45,90.8957055215,0.241537267081
millet,8,0.010989010989,0.423324416109,5.83793252825e-07,0.00270229231297,3.099369913e+42,99.125,0.8
burger,14,0.0192307692308,0.455458829126,2.53460254706e-06,0.00579010834091,1.42296978094e+43,113.785714286,0.80303030303
currant,75,0.103021978022,0.516726956318,0.000547008813677,0.0403400816673,6.90698551137e+44,136.52,0.408675799087
raw_milk,9,0.0123626373626,0.421848561084,2.90366783394e-07,0.00311212808486,4.11012576268e+42,121.444444444,0.952380952381
frankfurter,42,0.0576923076923,0.494888461913,3.93668080941e-05,0.0283167398368,3.40346965599e+44,176.357142857,0.666666666667
spaghetti,44,0.0604395604396,0.49965682975,5.47742140261e-05,0.0287964403026,3.51972906601e+44,170.340909091,0.635307781649
almond_extract,36,0.0494505494505,0.484323798283,9.5829592766e-05,0.014172878195,8.5246774559e+43,121.861111111,0.547237076649
red_onion,226,0.31043956044,0.58833174524,0.00678337191853,0.101486103227,4.37151994851e+45,105.986725664,0.265855221012
guava,8,0.010989010989,0.401105731285,6.95538464287e-07,0.00225636212855,2.16055436453e+42,87.875,0.733333333333
ground_beef,90,0.123626373626,0.52418871742,0.000769042988088,0.0462660628583,9.08546836662e+44,132.755555556,0.39237199582
tarragon,138,0.18956043956,0.545865694456,0.00235752194985,0.0687594821461,2.00672806153e+45,122.202898551,0.357843137255
soup,49,0.0673076923077,0.498627317051,0.000150452423686,0.0259260103756,2.8529666273e+44,139.489795918,0.425531914894
soy_sauce,107,0.146978021978,0.525707004798,0.00183771149694,0.0506590760291,1.08926784154e+45,116.448598131,0.339926739927
espresso,29,0.0398351648352,0.476066474509,4.25176075269e-05,0.0117039250171,5.81327753308e+43,127.517241379,0.652421652422
fillet,90,0.123626373626,0.52418871742,0.000909309243271,0.048344455079,9.92020586863e+44,135.033333333,0.407523510972
durum_wheat,12,0.0164835164835,0.448702950325,2.14661032661e-07,0.00737164086903,2.30657816996e+43,164.416666667,0.955555555556
applesauce,27,0.0370879120879,0.483678463442,3.10868740121e-05,0.0149483756488,9.48418869829e+43,152.925925926,0.496666666667
galangal,19,0.0260989010989,0.451493391559,1.53820869578e-05,0.00780564335089,2.58597029612e+43,105.842105263,0.661764705882
grapefruit_juice,10,0.0137362637363,0.41156540455,5.04532043572e-06,0.00302293742072,3.87839040753e+42,80.1,0.428571428571
plain_flour,80,0.10989010989,0.515625975587,0.00184058587241,0.0341715543696,4.95589823632e+44,113.0375,0.335664335664
leg,82,0.112637362637,0.517832648806,0.00030808550581,0.0484559462086,9.96583008775e+44,149.719512195,0.475
herb,86,0.118131868132,0.511268572976,0.000831180311761,0.038674519499,6.34849068457e+44,108.337209302,0.300631095812
