node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
pheasant,41,0.0514429109159,0.450524153924,8.9427628861e-05,0.0205322159384,1.81545754672e+44,134.829268293,0.461538461538
whiting,49,0.0614805520703,0.453288105789,0.00039749003576,0.0267258458268,3.07618826187e+44,142.040816327,0.504162812211
sunflower_oil,119,0.149309912171,0.470278395468,0.00486621302419,0.0338651016996,4.93885873776e+44,67.5546218487,0.12319481285
mackerel,54,0.0677540777917,0.460827201103,0.000292342969455,0.0319616885449,4.39945316737e+44,153.166666667,0.484917043741
roe,62,0.077791718946,0.459871128072,0.000458179381275,0.0287535502692,3.56047505978e+44,119.951612903,0.364406779661
fish_steak,33,0.0414052697616,0.452055507269,1.89948496205e-05,0.0224727322019,2.17499249719e+44,182.787878788,0.660215053763
milk,194,0.243412797992,0.509949119012,0.0131867943263,0.0504653312346,1.0966602342e+45,66.793814433,0.144797120419
liquorice,86,0.107904642409,0.47874272944,0.000534098370348,0.0486409369689,1.018922187e+45,145.895348837,0.493975903614
honeydew_melon,28,0.0351317440402,0.444204175813,4.40475734747e-05,0.0148200774711,9.45827294413e+43,154.357142857,0.44
corn cob,12,0.0150564617315,0.407459345093,5.06886981997e-07,0.00756941285246,2.46763119921e+43,168.083333333,0.866666666667
hyssop,12,0.0150564617315,0.395582183933,8.61269330832e-07,0.0049156806827,1.04068605631e+43,108.25,0.844444444444
peanut,57,0.0715181932246,0.465016539295,0.000317625881712,0.0298826705393,3.84555121163e+44,137.543859649,0.474074074074
sashimi,36,0.0451693851945,0.443315767461,4.01014087416e-05,0.0197763890454,1.68434679136e+44,140.861111111,0.566844919786
geranium,12,0.0150564617315,0.401796768092,1.33815626634e-06,0.00664551400529,1.90198392704e+43,141.333333333,0.733333333333
starter,9,0.0112923462986,0.377611386253,1.56216937114e-06,0.00216503718454,2.01841449514e+42,86.5555555556,0.857142857143
dressing,7,0.00878293601004,0.36698325121,1.71360466353e-07,0.00231014530137,2.29832825064e+42,89.4285714286,0.9
couscous,16,0.0200752823087,0.411748390831,6.70161969749e-07,0.0107422293439,4.96987356032e+43,173.0,0.868131868132
black_olive,106,0.132998745295,0.48291477937,0.00117947737012,0.0477186287027,9.80630039271e+44,111.716981132,0.314787154593
suckling_pig,24,0.030112923463,0.440379901452,1.60519270651e-05,0.0148852922938,9.54219339332e+43,172.416666667,0.545454545455
pork_belly,69,0.0865746549561,0.470611218112,0.000186586996002,0.0405774865724,7.0909410141e+44,151.130434783,0.495251017639
ingredient,117,0.146800501882,0.455149658585,0.00600032046298,0.0239969322984,2.47978490083e+44,49.0683760684,0.0671243325706
lima_bean,87,0.109159347553,0.475320694204,0.000376328585391,0.0493714679256,1.04977103479e+45,139.781609195,0.47731092437
kidney_bean,56,0.0702634880803,0.461146776139,7.52395477025e-05,0.035206200126,5.33811267339e+44,158.946428571,0.64570230608
quince,64,0.0803011292346,0.461787257772,0.000233959590824,0.0296069181401,3.77471846713e+44,122.765625,0.41935483871
margarita,6,0.00752823086575,0.347063492271,0.0,0.00134183593975,7.75293852254e+41,69.0,1.0
porgy,40,0.0501882057716,0.455461404926,4.88450085851e-05,0.0241109685024,2.50365381736e+44,162.55,0.549075391181
red_snapper,51,0.0639899623588,0.46146679472,0.000135088607146,0.0286400591492,3.53252956404e+44,148.529411765,0.514455782313
nectar,51,0.0639899623588,0.456399211525,0.000292303696004,0.0236319986317,2.40504182121e+44,119.921568627,0.422619047619
asparagus,129,0.161856963614,0.490393548077,0.00163845518595,0.0599374004311,1.54715584453e+45,111.558139535,0.313085864267
egg_noodle,10,0.0125470514429,0.403748422096,1.00748484885e-06,0.00576903948332,1.43337347965e+43,154.8,0.678571428571
vegetable_oil,192,0.240903387704,0.519916850033,0.0049650877801,0.0837923011357,3.02369755456e+45,103.375,0.252742968532
cane_sugar,9,0.0112923462986,0.402039692377,4.45314900994e-07,0.00395065066256,6.72087438553e+42,135.555555556,0.809523809524
smoked_haddock,9,0.0112923462986,0.412003501358,8.55009941764e-07,0.00506578534141,1.10517285249e+43,161.444444444,0.666666666667
prosciutto,76,0.0953575909661,0.463396272608,0.000477110024026,0.0362379855606,5.65535073319e+44,117.973684211,0.352832284339
haricot,73,0.0915934755332,0.475320694204,0.000421165385585,0.0437891921264,8.25792835655e+44,156.917808219,0.499798792757
quahog,17,0.0213299874529,0.409971424903,1.28288926391e-06,0.00968981961227,4.04371595335e+43,143.235294118,0.866666666667
beet_green,8,0.0100376411543,0.372534258371,5.42801221122e-07,0.00289934903578,3.61986307201e+42,98.75,0.8
cocoa_powder,64,0.0803011292346,0.459553318032,0.000573630907459,0.0240964067223,2.50025932729e+44,109.828125,0.414066631412
round,4,0.00501882057716,0.365169495438,0.0,0.00194425178221,1.62805549881e+42,138.5,1.0
dessert_wine,6,0.00752823086575,0.350170432434,0.0,0.00148714009669,9.52299527081e+41,71.0,1.0
