node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
whiting,17,0.037527593819,0.462895701054,5.64826377686e-07,0.0174499510206,1.25761527887e+41,188.470588235,0.985294117647
sunflower_oil,124,0.273730684327,0.565502304814,0.00723699741073,0.0837815564038,2.89898962939e+42,104.112903226,0.498950957252
mackerel,10,0.0220750551876,0.463373405596,0.0,0.0117305733499,5.6833067685e+40,230.8,1.0
roe,4,0.00883002207506,0.445887616705,0.0,0.0038160348802,6.01428056126e+39,186.5,1.0
mascarpone,1,0.00220750551876,0.354947691717,0.0,0.000548362116323,1.24188244884e+38,102.0,0.0
milk,130,0.286975717439,0.573446781637,0.0192687085932,0.0825644675254,2.81537876425e+42,98.8846153846,0.450805008945
liquorice,26,0.0573951434879,0.472640873707,3.02700286426e-06,0.0249233117954,2.56548607279e+41,169.692307692,0.975384615385
grape,45,0.0993377483444,0.5050717998,0.00160091994765,0.0399090149806,6.57805365226e+41,151.0,0.815151515152
peanut,10,0.0220750551876,0.432571127189,2.66643104998e-06,0.00763052748281,2.40470913755e+40,128.6,0.866666666667
sashimi,1,0.00220750551876,0.344596185742,0.0,0.000644575135203,1.71589396765e+38,86.0,0.0
melon,4,0.00883002207506,0.417682632579,0.0,0.00378478241551,5.91613401751e+39,170.75,1.0
black_olive,83,0.183222958057,0.530743297898,0.000395478183102,0.0683802449561,1.93114012136e+42,131.722891566,0.744637084925
suckling_pig,2,0.00441501103753,0.411180247273,0.0,0.00191112522787,1.50846863935e+39,176.0,1.0
pork_belly,21,0.046357615894,0.463373405596,5.06257229216e-07,0.0215084939997,1.91063788369e+41,181.380952381,0.985714285714
lima_bean,38,0.083885209713,0.484367669927,1.21282311888e-05,0.0368872433058,5.61965088181e+41,166.447368421,0.938833570413
kidney_bean,12,0.0264900662252,0.459579150483,0.0,0.0131733810832,7.16729495682e+40,209.333333333,1.0
quince,17,0.037527593819,0.479198324463,7.74956207054e-06,0.0149970955777,9.28902098048e+40,159.941176471,0.926470588235
porgy,7,0.0154525386313,0.46005003076,0.0,0.00852281698709,3.0000634156e+40,249.857142857,1.0
nectar,6,0.0132450331126,0.445887616705,0.0,0.00595591210058,1.46505293234e+40,180.5,1.0
asparagus,88,0.194260485651,0.530743297898,0.000665290067396,0.0703667346504,2.04496837369e+42,126.056818182,0.708725182863
vegetable_oil,125,0.275938189845,0.566930340937,0.00513220079317,0.0883988452831,3.22732783031e+42,109.08,0.545677419355
gum,3,0.00662251655629,0.404148361856,0.0,0.00249558110786,2.57214962708e+39,144.666666667,1.0
prosciutto,41,0.0905077262693,0.483845722007,3.62473294347e-05,0.0363061162231,5.4439485058e+41,146.146341463,0.85
haricot,16,0.0353200883002,0.459579150483,0.0,0.0173219621991,1.23923783356e+41,197.0625,1.0
scampi,6,0.0132450331126,0.441937824825,0.0,0.00611929672887,1.54654273649e+40,191.5,1.0
pork,149,0.328918322296,0.583128350678,0.0072230617742,0.099065698614,4.05317331997e+42,100.040268456,0.481679666243
sultana,21,0.046357615894,0.469674508391,5.18136339128e-06,0.0209700053126,1.81616259496e+41,175.428571429,0.952380952381
tomato_sauce,57,0.12582781457,0.510237306843,9.67946726446e-05,0.0515762826589,1.09863856197e+42,150.105263158,0.855263157895
almond,191,0.421633554084,0.626232677855,0.0304062578527,0.109529531592,4.95461716787e+42,85.1727748691,0.354367594379
bacon,134,0.295805739514,0.56908596961,0.00991204719716,0.0897040802853,3.32333079014e+42,101.686567164,0.492761755134
currant,18,0.0397350993377,0.47313891467,5.3882701734e-06,0.0187090780203,1.4456505669e+41,187.166666667,0.954248366013
frankfurter,2,0.00441501103753,0.372004001675,0.0,0.00174754296922,1.26126778034e+39,134.5,1.0
spaghetti,10,0.0220750551876,0.452629868974,0.0,0.0107685037014,4.78929272317e+40,205.7,1.0
almond_extract,5,0.0110375275938,0.425197755703,0.0,0.00471895884779,9.19702203622e+39,172.0,1.0
red_onion,125,0.275938189845,0.564081444751,0.00191322025945,0.0902018591554,3.36031920324e+42,110.408,0.570580645161
ground_beef,46,0.101545253863,0.505640574349,0.000213153110875,0.0439244499495,7.96836290859e+41,163.195652174,0.913043478261
tarragon,66,0.145695364238,0.51198270242,0.00023771452712,0.0562900877388,1.30863198565e+42,138.954545455,0.8
soy_sauce,32,0.0706401766004,0.477668968109,0.000600608636885,0.0258764370564,2.7654362744e+41,135.65625,0.711693548387
espresso,4,0.00883002207506,0.378590919074,8.53940642322e-07,0.00217199096901,1.94832511862e+39,82.25,0.833333333333
fillet,45,0.0993377483444,0.498898700025,3.05485487796e-05,0.0429821720979,7.63014657095e+41,162.511111111,0.906060606061
galangal,3,0.00662251655629,0.363569902852,0.0,0.00134877425036,7.5131682292e+38,67.6666666667,1.0
plain_flour,32,0.0706401766004,0.489116372573,4.74483474069e-05,0.0284102891145,3.33354669331e+41,153.46875,0.864919354839
leg,39,0.0860927152318,0.492874676204,8.0130400793e-06,0.0390306155231,6.29170169755e+41,173.615384615,0.958164642375
herb,50,0.110375275938,0.495594735124,8.32646034802e-05,0.044314749648,8.11057953709e+41,149.06,0.823673469388
water,17,0.037527593819,0.475644947057,0.000805503445911,0.0133920500194,7.40708046348e+40,136.0,0.713235294118
chicken leg,7,0.0154525386313,0.449908647317,0.0,0.00796720860802,2.62164632473e+40,221.428571429,1.0
mozzarella,1,0.00220750551876,0.00220750551876,0.0,5.07674082991e-24,1.54308063482,1.0,0.0
vinegar,180,0.397350993377,0.615080589071,0.0180841320602,0.105873976919,4.62941174855e+42,87.1333333333,0.36852886406
lasagne,8,0.0176600441501,0.449908647317,0.0,0.00905397831839,3.38564546454e+40,224.625,1.0
cinnamon,177,0.390728476821,0.613400041014,0.0449050574721,0.0988378307376,4.0345493087e+42,84.2994350282,0.343926553672
mussel,100,0.220750551876,0.537735125775,0.00124092078571,0.0760049858201,2.38580822887e+42,119.18,0.646060606061
green_olive,73,0.16114790287,0.522103290723,0.000170080863815,0.0637202011636,1.67690306078e+42,141.849315068,0.815829528158
apple,121,0.26710816777,0.568365607623,0.00739038601344,0.0788646059928,2.56871062853e+42,102.512396694,0.476170798898
frog_legs,4,0.00883002207506,0.452174048361,0.0,0.00475691100129,9.34573953039e+39,250.5,1.0
radish,34,0.075055187638,0.485940292232,6.42233246458e-05,0.0274371530976,3.10908658417e+41,138.764705882,0.786096256684
liqueur,25,0.0551876379691,0.471153022059,6.19188973484e-05,0.0188648707057,1.46980167156e+41,123.52,0.796666666667
egg_yolk,127,0.280353200883,0.571258053463,0.00869051099856,0.0864739597896,3.08831204662e+42,105.763779528,0.511186101737
muscatel,11,0.0242825607064,0.458640275814,1.08886062185e-05,0.00951035806472,3.73552704839e+40,160.727272727,0.872727272727
duck,62,0.136865342163,0.520288331428,0.000155685124906,0.0548496656656,1.24251728275e+42,147.661290323,0.824960338445
pork_tenderloin,18,0.0397350993377,0.471647930695,1.96477148532e-06,0.0195679458967,1.58143205286e+41,200.5,0.986928104575
herring,2,0.00441501103753,0.430085086228,0.0,0.00203080812311,1.70332474942e+39,204.5,1.0
lime,118,0.260485651214,0.55708291566,0.0177788164492,0.0748485946039,2.31375984295e+42,99.7118644068,0.447921193684
dried_apricot,27,0.0596026490066,0.485940292232,1.77186146788e-05,0.0253214979537,2.64810837083e+41,165.333333333,0.940170940171
blueberry,2,0.00441501103753,0.320720592873,0.0,0.000200585006346,1.66165267465e+37,17.0,1.0
chestnut,35,0.0772626931567,0.498344983376,3.17452967483e-05,0.033795405057,4.71706770646e+41,169.171428571,0.905882352941
sparerib,30,0.0662251655629,0.476149342547,1.56413827211e-06,0.0303597151816,3.80673991704e+41,176.333333333,0.979310344828
rabbit,73,0.16114790287,0.522711094321,0.000320859775949,0.0611545786097,1.54458307944e+42,136.02739726,0.766742770167
olive,55,0.121412803532,0.512567157559,0.0001387357196,0.0494190362391,1.00865691228e+42,150.6,0.857912457912
gherkin,18,0.0397350993377,0.473638006352,5.54251583813e-05,0.0167982379319,1.16542917134e+41,171.166666667,0.843137254902
edible,3,0.00662251655629,0.416134226156,0.0,0.00329842989373,4.493383183e+39,202.0,1.0
