node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
pheasant,45,0.0596026490066,0.500665774271,-4.27173192065,-1.76685991707,1.30015790816e+69,221.088888889,0.719191919192
whiting,52,0.0688741721854,0.498346343152,-4.20938416132,-1.67474234562,1.98714489454e+69,241.365384615,0.776018099548
sunflower_oil,278,0.36821192053,0.611698882618,-1.98684286834,-1.10111646163,2.78924800532e+70,150.561151079,0.379658727891
mackerel,72,0.0953642384106,0.515401317251,-3.3604874226,-1.50956154898,4.25198248395e+69,251.277777778,0.809076682316
roe,75,0.0993377483444,0.517171239357,-3.50261994696,-1.53977336586,3.69972195294e+69,222.586666667,0.69981981982
olive,179,0.237086092715,0.565316309687,-2.81532714583,-1.21510188602,1.65011662854e+70,185.189944134,0.549745778671
ice,3,0.00397350993377,0.399894489911,0,-3.20246308544,1.74898636625e+66,139.666666667,1.0
guava,7,0.00927152317881,0.42470463875,-5.74523785255,-2.68841578461,1.86589702111e+67,166.571428571,0.571428571429
Irish_whiskey,7,0.00927152317881,0.395276285829,-5.24571196307,-2.90095949455,7.01136002353e+66,102.285714286,0.904761904762
liquorice,84,0.111258278146,0.519669651141,-3.82361527109,-1.49331366681,4.58235264913e+69,220.619047619,0.723752151463
honeydew_melon,28,0.0370860927152,0.491194601763,-5.15878483346,-1.92110327595,6.39010252942e+68,260.821428571,0.830687830688
corn cob,10,0.0132450331126,0.452796947988,0,-2.3075764822,1.07785261468e+68,301.7,1.0
grape,145,0.192052980132,0.55164932198,-3.01321503631,-1.27808331825,1.23466922188e+70,203.096551724,0.6219348659
peanut,58,0.076821192053,0.505370016445,-4.00196099235,-1.67647766099,1.97134053024e+69,204.844827586,0.691470054446
sashimi,38,0.0503311258278,0.492157728434,-4.79203936329,-1.81116604473,1.0601877957e+69,239.5,0.798008534851
geranium,11,0.0145695364238,0.450629158889,-6.4976567065,-2.31694023844,1.03236674129e+68,258.090909091,0.909090909091
starter,6,0.00794701986755,0.426871499152,-6.3315288884,-2.66828244899,2.04715146193e+67,219.833333333,0.866666666667
