node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
pheasant,44,0.0552070263488,0.458925989763,3.56512257599e-05,0.0175511025157,9.78587060513e+67,222.613636364,0.748414376321
whiting,53,0.0664993726474,0.458925989763,0.00020936880272,0.0221945641435,1.56488283941e+68,239.094339623,0.778664731495
sunflower_oil,267,0.335006273526,0.558675699416,0.00676575754372,0.0795449738062,2.01011403893e+69,151.561797753,0.396046295514
mackerel,69,0.0865746549561,0.473001465911,0.000192265426685,0.0309892873071,3.0507882734e+68,254.028985507,0.837595907928
roe,76,0.0953575909661,0.475034423501,0.000247373429966,0.0298693963386,2.83428500001e+68,218.039473684,0.701754385965
fish_steak,31,0.038895859473,0.451428220018,1.59210631964e-06,0.0148653088917,7.01996894294e+67,281.903225806,0.929032258065
milk,317,0.39774153074,0.583243672126,0.0156588574987,0.0823761496734,2.15574972321e+69,132.384858044,0.305015373557
liquorice,87,0.109159347553,0.479499678385,0.000244427939508,0.0338697551125,3.64430384026e+68,216.517241379,0.714247527399
honeydew_melon,28,0.0351317440402,0.449287300276,6.53579476666e-06,0.0123583395903,4.85186694219e+67,259.428571429,0.828042328042
corn cob,10,0.0125470514429,0.415766805772,0.0,0.00505130136067,8.10574843073e+66,297.8,1.0
hyssop,10,0.0125470514429,0.408091110897,0.0,0.00330666370113,3.4735168878e+66,190.3,1.0
peanut,57,0.0715181932246,0.466677026887,0.000182086690651,0.0212731222622,1.437653275e+68,203.087719298,0.697368421053
sashimi,39,0.0489335006274,0.453900106233,1.59441040133e-05,0.0163326499091,8.47427562648e+67,237.717948718,0.804318488529
geranium,10,0.0125470514429,0.412919087925,2.47021885004e-07,0.00425015162249,5.73850523905e+66,240.8,0.911111111111
starter,7,0.00878293601004,0.391931474709,7.52343759257e-07,0.00223551539281,1.58761436173e+66,189.285714286,0.857142857143
dressing,5,0.00627352572146,0.382438324802,0.0,0.0017377633908,9.59339603841e+65,191.2,1.0
couscous,14,0.0175658720201,0.419713958992,0.0,0.00683081410329,1.48228411381e+67,287.428571429,1.0
black_olive,170,0.213299874529,0.516068525453,0.000855043663274,0.0609870450811,1.18159332605e+69,189.517647059,0.579603202228
suckling_pig,27,0.0338770388959,0.447770462665,1.08099130968e-06,0.0132554134068,5.58178447318e+67,294.777777778,0.928774928775
pork_belly,80,0.100376411543,0.47915321908,5.08380604084e-05,0.0345771068892,3.79810501823e+68,242.275,0.808227848101
ingredient,382,0.479297365119,0.618608260454,0.0158469959195,0.0968950120535,2.9826348311e+69,124.683246073,0.277047175386
lima_bean,104,0.130489335006,0.487608864123,0.000175063865641,0.0415399696838,5.48180013495e+68,218.25,0.718633308439
kidney_bean,57,0.0715181932246,0.462769054576,1.65882898738e-05,0.0246400775553,1.92873888209e+68,241.701754386,0.869674185464
quince,90,0.112923462986,0.484403254351,0.000126194638602,0.0363818197248,4.20493550077e+68,226.433333333,0.730836454432
margarita,4,0.00501882057716,0.36001523084,0.0,0.00102161501751,3.31565991309e+65,139.5,1.0
porgy,42,0.0526976160602,0.458608613559,5.70679526852e-06,0.0196232074062,1.22328648912e+68,270.0,0.925667828107
red_snapper,55,0.069008782936,0.465040711926,4.46004205149e-05,0.0232380499696,1.71549044697e+68,241.454545455,0.80202020202
nectar,52,0.0652446675031,0.462446342543,0.000165363611643,0.0170454766445,9.23017883909e+67,181.019230769,0.573906485671
asparagus,195,0.244667503137,0.525473894776,0.00124896815303,0.0680864782671,1.47270407726e+69,181.317948718,0.551308485329
egg_noodle,8,0.0100376411543,0.410110114537,0.0,0.00408571223343,5.30301313444e+66,296.125,1.0
vegetable_oil,263,0.329987452949,0.555865930601,0.00397457200103,0.0808956373831,2.0789580632e+69,155.615969582,0.420079528633
cane_sugar,7,0.00878293601004,0.407589462328,3.75754280251e-08,0.00302271934861,2.90258734238e+66,254.0,0.952380952381
smoked_haddock,7,0.00878293601004,0.414726738716,0.0,0.00360848249368,4.13652393206e+66,309.714285714,1.0
prosciutto,116,0.145545796738,0.493781128226,0.000276901395857,0.0465017522527,6.86957775532e+68,216.155172414,0.71784107946
haricot,75,0.0941028858218,0.477084931804,0.000145068312722,0.0314622144805,3.14461751293e+68,238.0,0.76
quahog,15,0.0188205771644,0.414986267339,0.0,0.00607122633941,1.1709606645e+67,225.266666667,1.0
beet_green,6,0.00752823086575,0.376360984794,0.0,0.00207290898665,1.36506826276e+66,180.0,1.0
cocoa_powder,67,0.0840652446675,0.467664354871,0.00038086228777,0.0208200759939,1.37706992536e+68,176.074626866,0.554952510176
round,2,0.00250941028858,0.396619650243,0.0,0.0012532195775,4.98923839285e+65,434.5,1.0
dessert_wine,4,0.00501882057716,0.361191751202,0.0,0.0010293673766,3.36616787431e+65,137.25,1.0
pork,256,0.321204516939,0.553545955932,0.00462324994858,0.0782362799121,1.94451648315e+69,155.046875,0.41875
sultana,77,0.0966122961104,0.477772374068,0.00015948040784,0.0304441967696,2.94441293845e+68,225.428571429,0.704716336295
tomato_sauce,147,0.184441656211,0.50544821281,0.00058041530991,0.0556465479095,9.83713720833e+68,200.585034014,0.650824713447
pie_shell,7,0.00878293601004,0.396382579323,0.0,0.00272141586023,2.3527605123e+66,225.428571429,1.0
tea,52,0.0652446675031,0.466348843324,0.000131132511119,0.0187033755349,1.11129690768e+68,204.807692308,0.641779788839
almond,363,0.455457967378,0.607278438834,0.0170606367705,0.0929431586417,2.74429808029e+69,127.776859504,0.288464758078
bacon,262,0.328732747804,0.55633226108,0.00409085029533,0.078890006069,1.97714956042e+69,151.618320611,0.404316925507
millet,6,0.00752823086575,0.398048052345,0.0,0.00210391335442,1.40619668987e+66,201.666666667,1.0
burger,12,0.0150564617315,0.422118431067,1.91668972511e-07,0.00380447089097,4.5981026796e+66,186.75,0.969696969697
currant,93,0.116687578419,0.484757350298,0.00022201573667,0.0376778279504,4.50984966942e+68,224.935483871,0.715988779804
frankfurter,44,0.0552070263488,0.45608531995,2.85620924216e-06,0.0212603777926,1.43591650291e+68,281.25,0.940803382664
spaghetti,48,0.060225846926,0.462769054576,1.30874106401e-05,0.0218854369162,1.52159232829e+68,264.770833333,0.867907801418
almond_extract,40,0.0501882057716,0.45608531995,4.44263363368e-05,0.0148958030487,7.04885709197e+67,213.725,0.733333333333
