field,count
Afternoon_tea,26
Appetizers_/_starters,455
Asian,140
Australian,2
Baked_&_steamed_desserts,63
Beverages_/_drinks_(no-alcohol),51
Bread_&_buns__sweet,3
Bread_&_rolls__savory,7
Breakfast_/_brunch,35
Brownies__slices_&_bars,2
Burmese,7
Cakes__large,12
Cakes__small,13
Cambodian,24
Canapés_/_hors_d'oeuvre,45
Candy_/_sweets,36
Children_&_baby_food,2
Children's_parties,1
Chili,1
Chinese,166
Chutneys__pickles_&_relishes,118
Cocktails_/_drinks_(with_alcohol),33
Cookies__biscuits_&_crackers,27
Cooking_ahead,94
Cooking_for_1_or_2,58
Cooking_for_a_crowd,52
Crumbles__cobblers__crisps_&_bettys,3
Curry,393
Dairy-free,1
Dessert,404
Dinner_parties/entertaining,389
Dips__spreads_&_salsas,80
Dressings_&_marinades,132
Egg_dishes,88
Egg-free,1
English,3
Fall_/_autumn,2
French,28
Fried_doughs,74
General_courses,2
Gluten-free,3
Grills_&_BBQ,203
Ice_cream_&_frozen_desserts,78
Icelandic,1
Indian,69
Indonesian,39
Italian,15
Jams__jellies_&_preserves,11
Japanese,34
Korean,25
Laotian,7
Low_carb,2
Low_sugar,1
Lunch,139
Main_course,1820
Malaysian,65
Mousses__trifles__custards_&_creams,102
North_American,12
Pancakes__waffles_&_crêpes,19
Pasta__doughs_&_sauces,125
Pasta__filled,1
Persian,1
Philippine,15
Picnics_&_outdoors,27
Pies__tarts_&_pastries,27
Pizza_&_calzones,2
Portuguese,2
Quick_/_easy,268
Rice_dishes,346
Salads,431
Sandwiches_&_burgers,12
Sauces_for_desserts,41
Sauces_for_fish,41
Sauces_for_meat,30
Sauces_for_poultry,19
Sauces__general,219
Side_dish,332
Singaporean,3
Small_plates_-_tapas__meze,14
Snacks,241
Soups,318
Spanish,2
Spice_/_herb_blends_&_rubs,155
Spring,1
Sri_Lankan,1
Stews_&_one-pot_meals,70
Stir-fries,509
Stocks,26
Stuffing,12
Summer,21
Suppers,2
Swiss,1
Thai,3324
Valentine's_Day_/_romantic,2
Vegan,342
Vegetarian,423
Vietnamese,155
Winter,6
