node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
whiting,11,0.0198198198198,0.486797360741,0,-2.07249451713,1.68934978558e+56,339.909090909,1.0
mackerel,82,0.147747747748,0.536374201554,-3.50278111992,-1.34690960457,4.77413890519e+57,201.182926829,0.764829870521
roe,21,0.0378378378378,0.501816517062,-5.94964320836,-1.84764312369,4.7579992609e+56,284.238095238,0.961904761905
barbecue,25,0.045045045045,0.498649054826,-5.37075945878,-1.80315526938,5.83984039712e+56,254.6,0.913333333333
poppy_seed,16,0.0288288288288,0.487226257094,0,-2.03246278085,2.03136727943e+56,217.5,1.0
fish_steak,26,0.0468468468468,0.50548610768,-5.18827843264,-1.76254135008,7.04090504228e+56,271.384615385,0.932307692308
anise_seed,34,0.0612612612613,0.509679080002,-5.00719627649,-1.67921891501,1.03341404655e+57,243.147058824,0.923351158645
freshwater_fish,25,0.045045045045,0.49419285237,-5.02685898521,-1.81559408478,5.51472025492e+56,245.24,0.93
honeydew_melon,18,0.0324324324324,0.500454119278,-4.3522430896,-2.04540013765,1.91387273148e+56,201.333333333,0.745098039216
corn cob,10,0.018018018018,0.46627470641,0,-2.2159934997,8.72422022409e+55,225.3,1.0
grape,57,0.102702702703,0.521208107259,-4.36318471331,-1.47815631847,2.60856056471e+57,218.754385965,0.857142857143
peanut,258,0.464864864865,0.649825854056,-2.05933239945,-1.01595585917,2.19183482803e+58,118.996124031,0.365215817573
sashimi,18,0.0324324324324,0.501361561017,0,-1.94901332194,2.9832179649e+56,256.0,1.0
melon,32,0.0576576576577,0.510620315606,-5.58464552352,-1.67632598109,1.04727214363e+57,265.09375,0.961693548387
cress,22,0.0396396396396,0.503186352868,0,-1.85568543084,4.58502320471e+56,252.5,1.0
pork_belly,80,0.144144144144,0.536374201554,-4.19394522771,-1.33311152967,5.08734638812e+57,211.4,0.856962025316
ingredient,116,0.209009009009,0.556339840847,-2.9177529463,-1.24928956682,7.4840466737e+57,172.103448276,0.625187406297
lima_bean,12,0.0216216216216,0.488517492758,0,-2.07374154701,1.67968229824e+56,299.25,1.0
castor_sugar,210,0.378378378378,0.61512992414,-1.87070196881,-1.11790337975,1.37060076514e+58,122.280952381,0.368740031898
peanut_butter,126,0.227027027027,0.561423149037,-3.0820883183,-1.21801735862,8.64334063082e+57,166.444444444,0.626285714286
Boston_lettuce,30,0.0540540540541,0.509209762248,-5.65071254457,-1.70902631132,9.00864000999e+56,261.533333333,0.951724137931
nectar,22,0.0396396396396,0.498649054826,-3.73813592026,-2.10820638037,1.43318244314e+56,143.454545455,0.510822510823
asparagus,91,0.163963963964,0.541627621745,-3.67299621975,-1.31527420455,5.52289368603e+57,189.175824176,0.757020757021
egg_noodle,94,0.169369369369,0.542690678903,-3.94896388462,-1.28480757105,6.35477267641e+57,195.5,0.80393502631
vegetable_oil,231,0.416216216216,0.629842598863,-2.25902103685,-1.04346676307,1.93101452208e+58,125.987012987,0.406662902315
mandarin_orange,74,0.133333333333,0.532757034491,-3.12353399569,-1.40749567009,3.61179375299e+57,196.797297297,0.725286930766
smoked_haddock,13,0.0234234234234,0.489382125488,0,-1.99793532002,2.38143050384e+56,339.307692308,1.0
Pernod,17,0.0306306306306,0.477549051642,0,-2.09619449475,1.51469895568e+56,171.294117647,1.0
pork,230,0.414414414414,0.627697845405,-2.29833574595,-1.04592270995,1.90929755572e+58,125.726086957,0.406151509398
sultana,30,0.0540540540541,0.508741308005,-4.91587452017,-1.75184182545,7.39654182068e+56,233.5,0.88275862069
taro_root,13,0.0234234234234,0.487655909878,0,-2.04669680721,1.90247130117e+56,277.307692308,1.0
seasoning,96,0.172972972973,0.54429311201,-3.60996220067,-1.28708392307,6.28850359712e+57,191.072916667,0.766666666667
tea,56,0.100900900901,0.524172323983,-3.18038182766,-1.55891719387,1.79836748835e+57,195.857142857,0.622077922078
almond,137,0.246846846847,0.568931894858,-2.40792629932,-1.25625574284,7.24777150037e+57,144.824817518,0.469944182052
bacon,27,0.0486486486486,0.499549956461,-5.63836812315,-1.74861608347,7.50722580457e+56,261.62962963,0.954415954416
burger,10,0.018018018018,0.487655909878,0,-2.19308029309,9.69504602492e+55,271.5,1.0
currant,6,0.0108108108108,0.457026282481,0,-2.75128880697,7.41542539451e+54,128.166666667,1.0
anchovy_sauce,16,0.0288288288288,0.493751608752,-6.49634655799,-1.97114139874,2.69419116172e+56,275.5,0.975
spaghetti,21,0.0378378378378,0.492871481107,-5.52780815052,-1.86712476789,4.34971631519e+56,269.666666667,0.957142857143
almond_extract,15,0.027027027027,0.477549051642,-4.84190667751,-2.16178364836,1.11981624828e+56,176.6,0.714285714286
red_onion,178,0.320720720721,0.592713613935,-2.7228438205,-1.10230090684,1.472705944e+58,146.994382022,0.534057005015
guava,16,0.0288288288288,0.498649054826,-4.23098458295,-2.12904759671,1.30201583609e+56,201.9375,0.691666666667
ground_beef,77,0.138738738739,0.53430125778,-3.6574185931,-1.36577648044,4.37684478337e+57,205.805194805,0.791866028708
tarragon,28,0.0504504504505,0.498199821443,-5.05353103762,-1.75433061358,7.3122395802e+56,250.892857143,0.955026455026
potato_chip,29,0.0522522522523,0.508741308005,-4.8506804671,-1.73620442113,7.94881972651e+56,255.275862069,0.886699507389
soy_sauce,320,0.576576576577,0.700889482639,-1.6904707751,-0.977593059273,2.61537705713e+58,102.078125,0.275293887147
espresso,8,0.0144144144144,0.411153755986,-4.22718772694,-2.67222462089,1.06726073904e+55,95.25,0.642857142857
fillet,129,0.232432432432,0.563138291041,-3.17792803994,-1.19583756293,9.57284697961e+57,170.891472868,0.657340116279
milk,107,0.192792792793,0.551347758526,-2.71164578949,-1.34233766208,4.8757309859e+57,157.23364486,0.532004937401
galangal,254,0.457657657658,0.645276314821,-2.19422545064,-1.02273928438,2.12442365803e+58,118.102362205,0.365721577293
grapefruit_juice,4,0.00720720720721,0.458162221874,0,-2.6766857859,1.04554559217e+55,214.0,1.0
plain_flour,71,0.127927927928,0.532244275074,-3.58624267936,-1.45542652546,2.89641913047e+57,186.61971831,0.707042253521
yellow_bean,135,0.243243243243,0.567181335181,-2.89068493853,-1.18490997029,1.00669228757e+58,165.274074074,0.638142620232
leg,70,0.126126126126,0.530711901921,-4.13309396321,-1.37933245479,4.11195994348e+57,221.0,0.885300207039
herb,39,0.0702702702703,0.513942194983,-4.57895905812,-1.61618207705,1.38149126668e+57,242.871794872,0.91363022942
dandelion_green,15,0.027027027027,0.472651112651,0,-2.04401720891,1.92609463331e+56,238.8,1.0
water,135,0.243243243243,0.567181335181,-3.0028922101,-1.19579761131,9.57461322644e+57,163.422222222,0.605417357656
chicken leg,71,0.127927927928,0.531221711625,-4.38763923983,-1.37593134831,4.17687096045e+57,220.521126761,0.876056338028
mozzarella,13,0.0234234234234,0.48894942688,0,-2.11516462953,1.38797911098e+56,239.538461538,1.0
vinegar,248,0.446846846847,0.642278515449,-2.05947096209,-1.02883521137,2.06561161778e+58,121.088709677,0.376975316704
granulated_sugar,40,0.0720720720721,0.514899256799,-3.68719755568,-1.6944015697,9.63629457541e+56,200.3,0.680769230769
stem_ginger,36,0.0648648648649,0.498199821443,-3.8397075002,-1.90872139477,3.59148948893e+56,126.166666667,0.673015873016
tea_bag,7,0.0126126126126,0.477137016222,-5.9156736793,-2.4186745989,3.43053336005e+55,237.571428571,0.857142857143
lychee,83,0.14954954955,0.538463292894,-2.77759812162,-1.4031828906,3.6842460457e+57,177.771084337,0.599471054952
cinnamon,202,0.363963963964,0.609704301876,-2.13673035923,-1.10226469123,1.47295121068e+58,131.04950495,0.42057041525
buckwheat,12,0.0216216216216,0.469441257896,0,-2.15728347601,1.14326548126e+56,213.416666667,1.0
popcorn,8,0.0144144144144,0.465098235325,0,-2.45978503458,2.83886879515e+55,172.75,1.0
mussel,106,0.190990990991,0.549157697916,-3.15972445236,-1.2620032119,7.05844551475e+57,181.933962264,0.719496855346
green_olive,12,0.0216216216216,0.47796179931,0,-2.16115572577,1.12305979785e+56,214.333333333,1.0
apple,109,0.196396396396,0.553001801802,-3.05794881606,-1.27995125215,6.4985005608e+57,172.073394495,0.637274889568
frog_legs,14,0.0252252252252,0.488517492758,0,-1.97585039225,2.63638144619e+56,328.0,1.0
radish,136,0.245045045045,0.567181335181,-3.1103744194,-1.1834900196,1.0132965857e+58,164.691176471,0.633224400871
liqueur,18,0.0324324324324,0.49419285237,-5.4587417155,-2.08055288004,1.62783179403e+56,181.166666667,0.888888888889
egg_yolk,156,0.281081081081,0.580274713328,-2.2248852021,-1.20543878078,9.15880250537e+57,140.769230769,0.453267162945
soybean,89,0.16036036036,0.538988110918,-3.78424901715,-1.31852310783,5.44087734753e+57,192.382022472,0.774259448417
duck,141,0.254054054054,0.570104950311,-3.0694809022,-1.1641605981,1.10763170946e+58,166.304964539,0.638905775076
pork_tenderloin,94,0.169369369369,0.543757917209,-3.80921168472,-1.29038986524,6.19348649405e+57,195.510638298,0.775108670785
herring,21,0.0378378378378,0.502272299548,-4.83036340564,-1.8732489305,4.22875142117e+56,274.333333333,0.9
broccoli_rabe,18,0.0324324324324,0.500454119278,0,-1.94107359141,3.09430976332e+56,267.277777778,1.0
lime,415,0.747747747748,0.797982397982,-1.22436463252,-0.933948978355,3.19759545017e+58,85.4289156627,0.192258890635
sake,43,0.0774774774775,0.511565034044,-3.78610660365,-1.6786640971,1.03606803951e+57,167.418604651,0.702104097453
dried_apricot,35,0.0630630630631,0.505948583533,-4.11929820454,-1.76619219567,6.92355911404e+56,187.228571429,0.702521008403
five_spice_powder,26,0.0468468468468,0.506876078645,-4.80576539901,-1.78421248742,6.37216412164e+56,252.384615385,0.895384615385
flank_steak,70,0.126126126126,0.5302030698,-4.69145173349,-1.37120214955,4.26883568981e+57,225.171428571,0.911801242236
Savoy_cabbage,33,0.0594594594595,0.510620315606,-5.6029735405,-1.66457603111,1.10550288715e+57,261.151515152,0.954545454545
blueberry,16,0.0288288288288,0.481708886587,-4.23714664775,-2.25009529675,7.45633956935e+55,137.25,0.691666666667
chestnut,7,0.0126126126126,0.475905165062,0,-2.3284008343,5.19886713494e+55,280.857142857,1.0
anchovy_paste,29,0.0522522522523,0.502728910729,-5.19254949195,-1.75809530857,7.18656350897e+56,239.724137931,0.92118226601
tangerine,72,0.12972972973,0.532244275074,-3.61560168067,-1.43420872983,3.19372633938e+57,185.791666667,0.713615023474
pecan,19,0.0342342342342,0.503644628235,0,-1.8872122706,3.96539421168e+56,287.473684211,1.0
rabbit,23,0.0414414414414,0.493751608752,-5.51467731318,-1.82503155485,5.2801737958e+56,262.173913043,0.928853754941
Brussels_sprouts,10,0.018018018018,0.482128859461,0,-2.21427010578,8.79370372078e+55,248.5,1.0
iced_tea,10,0.018018018018,0.477137016222,0,-2.41420970079,3.50181842581e+55,163.3,1.0
chipotle,12,0.0216216216216,0.485089299826,0,-2.07502345538,1.66979819612e+56,285.166666667,1.0
whisky,55,0.0990990990991,0.521208107259,-4.37627121413,-1.4806112048,2.57923356297e+57,228.145454545,0.872727272727
suckling_pig,13,0.0234234234234,0.485089299826,0,-2.07327951502,1.68326825247e+56,252.307692308,1.0
salad,15,0.027027027027,0.498649054826,0,-2.02227654669,2.12891623384e+56,259.733333333,1.0
blade,21,0.0378378378378,0.498199821443,0,-1.86156844169,4.46245989535e+56,266.952380952,1.0
tapioca,129,0.232432432432,0.564287552859,-2.94849497881,-1.21447839211,8.78535757387e+57,165.255813953,0.611312984496
