node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
whiting,9,0.0170454545455,0.487084870849,0,-2.1310293038,3.23250682512e+53,327.0,1.0
mackerel,80,0.151515151515,0.538775510204,-3.39423642064,-1.34140161113,1.22682866555e+55,184.3,0.737974683544
roe,19,0.0359848484848,0.502857142857,-5.81561370214,-1.8710019327,1.07050890041e+54,266.894736842,0.953216374269
barbecue,22,0.0416666666667,0.498583569405,-5.392287123,-1.84441397263,1.20994060527e+54,233.772727273,0.909090909091
poppy_seed,15,0.0284090909091,0.485740570377,0,-2.03998623389,4.91604179013e+53,203.266666667,1.0
fish_steak,24,0.0454545454545,0.506717850288,-5.18472442185,-1.77333995738,1.67846810445e+54,255.5,0.93115942029
anise_seed,29,0.0549242424242,0.506232023011,-5.21735539179,-1.71623626889,2.18332738133e+54,232.689655172,0.931034482759
freshwater_fish,24,0.0454545454545,0.49530956848,-4.88509503581,-1.81705082983,1.37242831452e+54,223.125,0.913043478261
honeydew_melon,18,0.0340909090909,0.502378686965,-4.29804968058,-2.01742325416,5.45435545248e+53,193.166666667,0.738562091503
corn cob,9,0.0170454545455,0.464788732394,0,-2.2377060379,1.97777663971e+53,213.444444444,1.0
grape,53,0.100378787879,0.521739130435,-4.41791642585,-1.48125561934,6.44284346709e+54,207.622641509,0.861393323657
peanut,246,0.465909090909,0.651048088779,-2.03008333835,-1.0070093919,5.72216117733e+55,114.410569106,0.368010618882
sashimi,17,0.032196969697,0.502378686965,0,-1.94897538339,7.47553605035e+53,245.352941176,1.0
melon,30,0.0568181818182,0.511627906977,-5.48658403466,-1.6823319728,2.55228103542e+54,248.7,0.951724137931
suckling_pig,11,0.0208333333333,0.476104598738,0,-2.13064976554,3.23810530321e+53,230.181818182,1.0
pork_belly,76,0.143939393939,0.537678207739,-4.18361556402,-1.32673950517,1.31252775918e+55,200.934210526,0.861052631579
ingredient,114,0.215909090909,0.559915164369,-2.85289569872,-1.23600626372,1.99329905286e+55,160.043859649,0.606427573358
lima_bean,10,0.0189393939394,0.487534626039,0,-2.13515941833,3.17157804554e+53,276.4,1.0
castor_sugar,201,0.380681818182,0.616822429907,-1.87317851417,-1.11029619676,3.55622547298e+55,116.218905473,0.366368159204
peanut_butter,117,0.221590909091,0.561105207226,-3.09081340149,-1.22123400517,2.13361578388e+55,159.094017094,0.627468317123
Boston_lettuce,28,0.0530303030303,0.508180943215,-5.59037622217,-1.71651591379,2.18051898064e+54,243.321428571,0.944444444444
