node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
whiting,0,0.0,0.0,0,0,1.0,0.0,0.0
mackerel,3,0.00540540540541,0.197768520494,-2.74604913271,-4.82134521267,4.04832079662,4.0,0.0
roe,2,0.0036036036036,0.191406847137,0,-4.59087931368,5.34559689286,7.5,1.0
barbecue,5,0.00900900900901,0.238730606233,-2.07372490251,-2.86325437299,141.910029618,9.2,0.1
poppy_seed,5,0.00900900900901,0.241149356043,-2.68519855769,-1.77825945253,19037.8177371,16.2,0.4
fish_steak,2,0.0036036036036,0.214620752403,0,-2.4681545479,816.031435655,14.0,1.0
anise_seed,5,0.00900900900901,0.216376740377,-2.40293854748,-2.86647656297,136.958592371,6.6,0.3
freshwater_fish,5,0.00900900900901,0.215008504439,-2.48777008421,-2.36097091894,1297.88234242,6.4,0.3
honeydew_melon,4,0.00720720720721,0.209059652538,-3.22137416801,-3.77772185527,415.619661927,10.75,0.333333333333
corn cob,3,0.00540540540541,0.221614911,-2.78987762016,-2.96497888207,90.0867093272,10.0,0.0
grape,7,0.0126126126126,0.247287703288,-2.03376249239,-2.93086722134,348.636828955,7.0,0.0952380952381
peanut,13,0.0234234234234,0.257452043715,-2.17157109854,-0.981221582852,740542.030297,18.0,0.410256410256
sashimi,5,0.00900900900901,0.23461253269,-2.18896616729,-3.68228369221,298.060467027,9.0,0.2
melon,3,0.00540540540541,0.210725466502,-2.78424002234,-3.35378575676,21.8163274465,6.0,0.333333333333
cress,6,0.0108108108108,0.244996823895,-2.02368411391,-1.98542788694,7364.31905372,10.0,0.133333333333
pork_belly,1,0.0018018018018,0.178287950872,0,-4.58515360308,2.07156453382,7.0,0.0
ingredient,0,0.0,0.0,0,0,1.0,0.0,0.0
lima_bean,2,0.0036036036036,0.235541231484,-2.38135426672,-2.96188196059,388.542258685,18.0,0.0
castor_sugar,24,0.0432432432432,0.276760946994,-1.67105637367,-2.20784545829,149904.13115,16.6666666667,0.347826086957
peanut_butter,9,0.0162162162162,0.242500676938,-1.9438638965,-1.76437496914,20122.5986846,7.55555555556,0.0833333333333
Boston_lettuce,1,0.0018018018018,0.19654369481,0,-2.95729658074,85.187966791,11.0,0.0
nectar,10,0.018018018018,0.251733912654,-2.00247848438,-3.17757804056,893.649945126,8.4,0.2
asparagus,5,0.00900900900901,0.229522096832,-2.75029633587,-2.80840380926,269.109934645,10.2,0.3
egg_noodle,7,0.0126126126126,0.242995828907,-1.97664302014,-1.93360914057,9277.3068119,8.57142857143,0.0952380952381
