field,count
Afternoon_tea,8
Appetizers_/_starters,203
Asian,7
Australian,2
Baked_&_steamed_desserts,13
Beverages_/_drinks_(no-alcohol),26
Bread_&_buns__sweet,1
Bread_&_rolls__savory,2
Breakfast_/_brunch,10
Burmese,1
Cakes__large,8
Cakes__small,2
Cambodian,25
Canapés_/_hors_d'oeuvre,5
Candy_/_sweets,2
Children_&_baby_food,1
Chinese,19
Chutneys__pickles_&_relishes,32
Cocktails_/_drinks_(with_alcohol),5
Cookies__biscuits_&_crackers,6
Cooking_ahead,46
Cooking_for_1_or_2,3
Crumbles__cobblers__crisps_&_bettys,1
Curry,44
Dairy-free,7
Dessert,120
Dinner_parties/entertaining,27
Dips__spreads_&_salsas,36
Dressings_&_marinades,87
Egg_dishes,18
French,56
Fried_doughs,15
Grills_&_BBQ,152
Ice_cream_&_frozen_desserts,21
Indian,1
Indonesian,3
Italian,6
Jams__jellies_&_preserves,2
Korean,2
Lunch,5
Main_course,947
Malaysian,26
Mousses__trifles__custards_&_creams,24
North_American,5
Pancakes__waffles_&_crêpes,24
Pasta__doughs_&_sauces,46
Picnics_&_outdoors,2
Pies__tarts_&_pastries,5
Portuguese,2
Quick_/_easy,12
Rice_dishes,107
Russian,1
Salads,163
Sandwiches_&_burgers,23
Sauces_for_desserts,11
Sauces_for_fish,16
Sauces_for_meat,7
Sauces_for_poultry,8
Sauces__general,132
Side_dish,153
Singaporean,1
Small_plates_-_tapas__meze,3
Snacks,55
Soups,224
Spanish,1
Spice_/_herb_blends_&_rubs,30
Spring,1
Stews_&_one-pot_meals,93
Stir-fries,210
Stocks,29
Stuffing,6
Summer,8
Thai,118
Vegan,170
Vegetarian,260
Vietnamese,1779
Winter,2
