node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
mackerel,42,0.102941176471,0.51213001124,-4.50514870838,-1.39573075427,5.28810788007e+41,165.714285714,0.895470383275
barbecue,25,0.0612745098039,0.498168598294,-5.39870286772,-1.60961472325,1.97484578516e+41,175.64,0.95
mascarpone,3,0.00735294117647,0.376073020415,0,-3.0228820513,2.94437282405e+38,53.0,1.0
anise_seed,8,0.0196078431373,0.468557178116,0,-2.08585820899,2.20316406648e+40,188.125,1.0
milk,49,0.120098039216,0.524148707723,-2.60707891765,-1.44031215089,4.30661484097e+41,127.0,0.617346938776
honeydew_melon,6,0.0147058823529,0.439849079676,0,-2.40831379448,4.99036152147e+39,113.833333333,1.0
grape,26,0.0637254901961,0.493278599783,-4.41811512762,-1.64924430608,1.64540478754e+41,150.346153846,0.836923076923
peanut,187,0.458333333333,0.64016251405,-1.76883251497,-0.963007491182,3.87918044976e+42,87.2032085561,0.358461273072
sashimi,17,0.0416666666667,0.487299465241,-4.70890367969,-1.83260305819,7.0722399424e+40,159.352941176,0.867647058824
melon,12,0.0294117647059,0.47020123839,0,-1.87175902693,5.90536735934e+40,207.75,1.0
black_olive,5,0.0122549019608,0.45221828889,0,-2.43248399114,4.46470373007e+39,133.2,1.0
cress,10,0.0245098039216,0.479168127322,0,-2.02886374483,2.86442167486e+40,180.0,1.0
pork_belly,80,0.196078431373,0.546225623402,-3.14829192073,-1.19305591811,1.34476795637e+42,131.8,0.689873417722
ingredient,96,0.235294117647,0.560700221511,-1.94109874274,-1.17807661795,1.440806055e+42,113.052083333,0.525877192982
peanut_butter,50,0.122549019608,0.520080283083,-3.79387497276,-1.34602289619,6.64837132358e+41,153.84,0.829387755102
Boston_lettuce,36,0.0882352941176,0.508245333532,-3.98282995694,-1.45792539977,3.97111014826e+41,172.305555556,0.9
plantain,5,0.0122549019608,0.422292078596,0,-2.45301186066,4.06195096035e+39,113.2,1.0
asparagus,45,0.110294117647,0.51607452994,-3.90719869261,-1.42509574787,4.61921832579e+41,140.6,0.752525252525
egg_noodle,84,0.205882352941,0.546968787515,-3.25564757274,-1.17590310945,1.4552998942e+42,128.25,0.682444061962
mandarin_orange,40,0.0980392156863,0.510180277695,-3.73119669227,-1.49089284828,3.41173409645e+41,140.925,0.737179487179
smoked_haddock,12,0.0294117647059,0.483781057549,0,-1.8883044342,5.47212392537e+40,205.0,1.0
haricot,4,0.00980392156863,0.411486242399,0,-2.52236377744,2.95140066344e+39,118.0,1.0
coconut_water,184,0.450980392157,0.642207761699,-1.631224738,-0.974386242358,3.68114505181e+42,87.2717391304,0.355547636018
cocoa_powder,6,0.0147058823529,0.423181114551,-5.27844469216,-2.45826951779,3.96478269909e+39,97.8333333333,0.933333333333
Pernod,16,0.0392156862745,0.468557178116,0,-1.93927755664,4.32716747442e+40,119.0625,1.0
pork,213,0.522058823529,0.667810728943,-1.64418767045,-0.939085042179,4.33096054808e+42,80.1830985915,0.306138719107
sultana,15,0.0367647058824,0.474082616537,-3.58188640492,-1.98817010928,3.45477638708e+40,119.333333333,0.704761904762
taro_root,75,0.183823529412,0.541079486976,-2.93868810561,-1.2243692453,1.16418083426e+42,129.093333333,0.694774774775
seasoning,43,0.105392156863,0.509533661373,-4.35822645658,-1.41282304505,4.88781387381e+41,152.209302326,0.868217054264
tea,3,0.00735294117647,0.438888710506,-6.16643569982,-2.56985437452,2.37167044645e+39,166.666666667,0.666666666667
almond,23,0.0563725490196,0.483781057549,-3.13222023491,-1.93993265648,4.31412720301e+40,85.5217391304,0.703557312253
bacon,41,0.100490196078,0.508245333532,-3.47415023264,-1.47268826282,3.71009684575e+41,144.707317073,0.757317073171
