Cuisine, IngredsPerRecipe, CCDF
indian,1,1
indian,2,0.92703
indian,3,0.86959
indian,4,0.79387
indian,5,0.70507
indian,6,0.59617
indian,7,0.48452
indian,8,0.38232
indian,9,0.29028
indian,10,0.21669
indian,11,0.15838
indian,12,0.11181
indian,13,0.076196
indian,14,0.052084
indian,15,0.035616
indian,16,0.023402
indian,17,0.015286
indian,18,0.0099283
indian,19,0.0070916
indian,20,0.0052005
indian,21,0.0032306
indian,22,0.0022851
indian,23,0.0017335
indian,24,0.0013395
indian,25,0.00086676
indian,26,0.00063037
indian,27,0.00055157
indian,28,0.00047278
indian,29,0.00039398
indian,30,0.00031518
indian,31,0.00023639
indian,32,0.00015759
indian,33,0.00015759
indian,34,7.8796e-05
indian,35,7.8796e-05
indian,36,2.2204e-16
indian,37,2.2204e-16
indian,38,2.2204e-16
indian,39,2.2204e-16
chinese,1,1
chinese,2,0.90658
chinese,3,0.8214
chinese,4,0.72769
chinese,5,0.61566
chinese,6,0.50392
chinese,7,0.39694
chinese,8,0.30061
chinese,9,0.21998
chinese,10,0.15079
chinese,11,0.10447
chinese,12,0.06803
chinese,13,0.045353
chinese,14,0.030042
chinese,15,0.019382
chinese,16,0.01221
chinese,17,0.0089156
chinese,18,0.0064929
chinese,19,0.0046516
chinese,20,0.003198
chinese,21,0.002132
chinese,22,0.0015505
chinese,23,0.00087218
chinese,24,0.00058145
chinese,25,0.00038763
chinese,26,0.00029073
chinese,27,9.6909e-05
chinese,28,-6.6613e-16
chinese,29,-6.6613e-16
chinese,30,-6.6613e-16
chinese,31,-6.6613e-16
chinese,32,-6.6613e-16
chinese,33,-6.6613e-16
chinese,34,-6.6613e-16
chinese,35,-6.6613e-16
chinese,36,-6.6613e-16
chinese,37,-6.6613e-16
chinese,38,-6.6613e-16
chinese,39,-6.6613e-16
mexican,1,1
mexican,2,0.88301
mexican,3,0.7663
mexican,4,0.64614
mexican,5,0.52253
mexican,6,0.41972
mexican,7,0.32699
mexican,8,0.25021
mexican,9,0.19097
mexican,10,0.13854
mexican,11,0.10029
mexican,12,0.072302
mexican,13,0.051591
mexican,14,0.03713
mexican,15,0.025749
mexican,16,0.017632
mexican,17,0.011755
mexican,18,0.0084896
mexican,19,0.0048512
mexican,20,0.0031719
mexican,21,0.0023323
mexican,22,0.0014927
mexican,23,0.0011195
mexican,24,0.00065305
mexican,25,0.00046646
mexican,26,0.00027988
mexican,27,0.00018658
mexican,28,9.3292e-05
mexican,29,9.3292e-05
mexican,30,9.3292e-05
mexican,31,0
mexican,32,0
mexican,33,0
mexican,34,0
mexican,35,0
mexican,36,0
mexican,37,0
mexican,38,0
mexican,39,0
spanish,1,1
spanish,2,0.88209
spanish,3,0.75706
spanish,4,0.62393
spanish,5,0.49006
spanish,6,0.37951
spanish,7,0.28883
spanish,8,0.21362
spanish,9,0.15779
spanish,10,0.11571
spanish,11,0.084908
spanish,12,0.059509
spanish,13,0.042822
spanish,14,0.031288
spanish,15,0.024172
spanish,16,0.018037
spanish,17,0.013865
spanish,18,0.01092
spanish,19,0.0082209
spanish,20,0.0066258
spanish,21,0.0056442
spanish,22,0.0047853
spanish,23,0.0038037
spanish,24,0.0033129
spanish,25,0.002454
spanish,26,0.0019632
spanish,27,0.0014724
spanish,28,0.0011043
spanish,29,0.0007362
spanish,30,0.0003681
spanish,31,0.0001227
spanish,32,0.0001227
spanish,33,0.0001227
spanish,34,1.1102e-16
spanish,35,1.1102e-16
spanish,36,1.1102e-16
spanish,37,1.1102e-16
spanish,38,1.1102e-16
spanish,39,1.1102e-16
french,1,1
french,2,0.81966
french,3,0.67354
french,4,0.531
french,5,0.40515
french,6,0.30543
french,7,0.22739
french,8,0.16857
french,9,0.12436
french,10,0.090993
french,11,0.066142
french,12,0.048511
french,13,0.034342
french,14,0.024526
french,15,0.017631
french,16,0.013358
french,17,0.010276
french,18,0.0075985
french,19,0.0056516
french,20,0.0041643
french,21,0.003272
french,22,0.0025418
french,23,0.0020551
french,24,0.0017036
french,25,0.0014332
french,26,0.0011898
french,27,0.00094643
french,28,0.00078419
french,29,0.0005949
french,30,0.00040561
french,31,0.00032449
french,32,0.00029745
french,33,0.00024337
french,34,0.00018929
french,35,0.0001352
french,36,0.00010816
french,37,2.7041e-05
french,38,2.7041e-05
french,39,1.1102e-16
italian,1,1
italian,2,0.85826
italian,3,0.71274
italian,4,0.56189
italian,5,0.4204
italian,6,0.30561
italian,7,0.21585
italian,8,0.15066
italian,9,0.10301
italian,10,0.068575
italian,11,0.04521
italian,12,0.030812
italian,13,0.021103
italian,14,0.013904
italian,15,0.0089062
italian,16,0.00615
italian,17,0.003908
italian,18,0.0025299
italian,19,0.0016455
italian,20,0.0010284
italian,21,0.00065819
italian,22,0.00041137
italian,23,0.00026739
italian,24,0.00018512
italian,25,0.00012341
italian,26,0.00012341
italian,27,6.1706e-05
italian,28,6.1706e-05
italian,29,4.1137e-05
italian,30,2.0569e-05
italian,31,2.0569e-05
italian,32,2.0569e-05
italian,33,0
italian,34,0
italian,35,0
italian,36,0
italian,37,0
italian,38,0
italian,39,0
