Cuisine, Edges, Nodes
indian,100,26
indian,250,43
indian,500,69
indian,1000,99
indian,2500,195
indian,5000,294
indian,10000,453
indian,15000,558
indian,20000,661
indian,25000,694
indian,27648,696
chinese,100,31
chinese,250,54
chinese,500,76
chinese,1000,120
chinese,2500,208
chinese,5000,305
chinese,10000,468
chinese,15000,633
chinese,20000,703
chinese,24742,709
mexican,100,30
mexican,250,65
mexican,500,86
mexican,1000,133
mexican,2500,229
mexican,5000,328
mexican,10000,469
mexican,15000,593
mexican,20000,709
mexican,25000,785
mexican,30000,793
mexican,31498,793
spanish,100,36
spanish,250,59
spanish,500,84
spanish,1000,118
spanish,2500,204
spanish,5000,313
spanish,10000,455
spanish,15000,580
spanish,20000,706
spanish,25000,722
spanish,27221,723
italian,100,33
italian,250,60
italian,500,83
italian,1000,119
italian,2500,216
italian,5000,317
italian,10000,450
italian,15000,551
italian,20000,658
italian,25000,726
italian,30000,783
italian,35000,866
italian,40000,916
italian,45000,925
italian,50000,935
italian,51217,935
french,100,30
french,250,51
french,500,78
french,1000,131
french,2500,222
french,5000,345
french,10000,486
french,15000,592
french,20000,674
french,25000,736
french,30000,816
french,35000,848
french,40000,933
french,45000,967
french,50000,973
french,55000,977
french,57285,977
