Cuisine, Rank, Value
spanish,1,0.095604
spanish,2,0.086447
spanish,3,0.075702
spanish,4,0.074359
spanish,5,0.072405
spanish,6,0.062637
spanish,7,0.060806
spanish,8,0.06044
spanish,9,0.060195
spanish,10,0.057875
spanish,11,0.056777
spanish,12,0.05641
spanish,13,0.052503
spanish,14,0.051893
spanish,15,0.051893
spanish,16,0.051648
spanish,17,0.051282
spanish,18,0.049084
spanish,19,0.047009
spanish,20,0.047009
spanish,21,0.04591
spanish,22,0.043101
spanish,23,0.042247
spanish,24,0.041758
spanish,25,0.041148
spanish,26,0.040415
spanish,27,0.039683
spanish,28,0.038095
spanish,29,0.037363
spanish,30,0.036996
spanish,31,0.036752
spanish,32,0.036508
spanish,33,0.036508
spanish,34,0.035775
spanish,35,0.035531
spanish,36,0.035287
spanish,37,0.03431
spanish,38,0.034066
spanish,39,0.033455
spanish,40,0.033333
spanish,41,0.033089
spanish,42,0.032967
spanish,43,0.032967
spanish,44,0.032845
spanish,45,0.032357
spanish,46,0.031746
spanish,47,0.02967
spanish,48,0.029426
spanish,49,0.029426
spanish,50,0.029304
spanish,51,0.029182
spanish,52,0.029182
spanish,53,0.02906
spanish,54,0.028938
spanish,55,0.028571
spanish,56,0.028571
spanish,57,0.028327
spanish,58,0.027961
spanish,59,0.027839
spanish,60,0.027228
spanish,61,0.026862
spanish,62,0.02674
spanish,63,0.02674
spanish,64,0.026252
spanish,65,0.026129
spanish,66,0.026007
spanish,67,0.026007
spanish,68,0.025519
spanish,69,0.025153
spanish,70,0.025031
spanish,71,0.025031
spanish,72,0.024908
spanish,73,0.024786
spanish,74,0.024786
spanish,75,0.024664
spanish,76,0.024542
spanish,77,0.02442
spanish,78,0.02442
spanish,79,0.023932
spanish,80,0.023932
spanish,81,0.02381
spanish,82,0.023565
spanish,83,0.023565
spanish,84,0.023565
spanish,85,0.023565
spanish,86,0.023321
spanish,87,0.023321
spanish,88,0.023077
spanish,89,0.022344
spanish,90,0.021856
spanish,91,0.021734
spanish,92,0.021734
spanish,93,0.021734
spanish,94,0.021368
spanish,95,0.021001
spanish,96,0.020879
spanish,97,0.020757
spanish,98,0.020757
spanish,99,0.020757
spanish,100,0.020513
spanish,101,0.020513
spanish,102,0.020391
spanish,103,0.019658
spanish,104,0.019658
spanish,105,0.019658
spanish,106,0.019536
spanish,107,0.019292
spanish,108,0.018926
spanish,109,0.018926
spanish,110,0.018926
spanish,111,0.018926
spanish,112,0.018803
spanish,113,0.018803
spanish,114,0.018803
spanish,115,0.018803
spanish,116,0.018803
spanish,117,0.018315
spanish,118,0.018193
spanish,119,0.018193
spanish,120,0.018071
spanish,121,0.018071
spanish,122,0.018071
spanish,123,0.017827
spanish,124,0.017827
spanish,125,0.017705
spanish,126,0.017582
spanish,127,0.01746
spanish,128,0.017338
spanish,129,0.017216
spanish,130,0.017216
spanish,131,0.017216
spanish,132,0.017094
spanish,133,0.017094
spanish,134,0.016972
spanish,135,0.016606
spanish,136,0.016606
spanish,137,0.016484
spanish,138,0.016361
spanish,139,0.016361
spanish,140,0.016361
spanish,141,0.016239
spanish,142,0.016239
spanish,143,0.016239
spanish,144,0.016117
spanish,145,0.016117
spanish,146,0.015995
spanish,147,0.015995
spanish,148,0.015873
spanish,149,0.015873
spanish,150,0.015751
spanish,151,0.015751
spanish,152,0.015751
spanish,153,0.015751
spanish,154,0.015629
spanish,155,0.015629
spanish,156,0.015629
spanish,157,0.015507
spanish,158,0.015507
spanish,159,0.015385
spanish,160,0.015385
spanish,161,0.015385
spanish,162,0.015263
spanish,163,0.01514
spanish,164,0.01514
spanish,165,0.01514
spanish,166,0.01514
spanish,167,0.015018
spanish,168,0.015018
spanish,169,0.014896
spanish,170,0.014896
spanish,171,0.014896
spanish,172,0.014896
spanish,173,0.014896
spanish,174,0.014896
spanish,175,0.014896
spanish,176,0.014774
spanish,177,0.014774
spanish,178,0.014774
spanish,179,0.014652
spanish,180,0.01453
spanish,181,0.01453
spanish,182,0.01453
spanish,183,0.014408
spanish,184,0.014408
spanish,185,0.014408
spanish,186,0.014286
