Cuisine, Rank, Value
indian,1,0.50098
indian,2,0.46447
indian,3,0.44127
indian,4,0.42625
indian,5,0.40269
indian,6,0.38034
indian,7,0.37643
indian,8,0.36777
indian,9,0.3398
indian,10,0.30672
indian,11,0.25079
indian,12,0.221
indian,13,0.21429
indian,14,0.2127
indian,15,0.20952
indian,16,0.20855
indian,17,0.19951
indian,18,0.19206
indian,19,0.19158
indian,20,0.18584
indian,21,0.18352
indian,22,0.17924
indian,23,0.17375
indian,24,0.17302
indian,25,0.16935
indian,26,0.1652
indian,27,0.16386
indian,28,0.16361
indian,29,0.16215
indian,30,0.16093
indian,31,0.16068
indian,32,0.15849
indian,33,0.15665
indian,34,0.15665
indian,35,0.15519
indian,36,0.15495
indian,37,0.15275
indian,38,0.14933
indian,39,0.14652
indian,40,0.14505
indian,41,0.14371
indian,42,0.13687
indian,43,0.13626
indian,44,0.13541
indian,45,0.13016
indian,46,0.12723
indian,47,0.12637
indian,48,0.12418
indian,49,0.12247
indian,50,0.11954
indian,51,0.11832
indian,52,0.1177
indian,53,0.11746
indian,54,0.11648
indian,55,0.11636
indian,56,0.11319
indian,57,0.1116
indian,58,0.10952
indian,59,0.10855
indian,60,0.10696
indian,61,0.10391
indian,62,0.10379
indian,63,0.10269
indian,64,0.097924
indian,65,0.097436
indian,66,0.097314
indian,67,0.093407
indian,68,0.092796
indian,69,0.092063
indian,70,0.089621
indian,71,0.089499
indian,72,0.089133
indian,73,0.089133
indian,74,0.088523
indian,75,0.087912
indian,76,0.084371
indian,77,0.083639
indian,78,0.083028
indian,79,0.082906
indian,80,0.082784
indian,81,0.08254
indian,82,0.080342
indian,83,0.079121
indian,84,0.078999
indian,85,0.07851
indian,86,0.077534
indian,87,0.077045
indian,88,0.076679
indian,89,0.075824
indian,90,0.075702
indian,91,0.075214
indian,92,0.074969
indian,93,0.073993
indian,94,0.073504
indian,95,0.073382
indian,96,0.072772
indian,97,0.07265
indian,98,0.072161
indian,99,0.071429
indian,100,0.071062
indian,101,0.07094
indian,102,0.070085
indian,103,0.069109
indian,104,0.068864
indian,105,0.068742
indian,106,0.068742
indian,107,0.067766
indian,108,0.067766
indian,109,0.067766
indian,110,0.067643
indian,111,0.067521
indian,112,0.066911
indian,113,0.065934
indian,114,0.065934
indian,115,0.065812
indian,116,0.065568
indian,117,0.064957
indian,118,0.064835
indian,119,0.064713
indian,120,0.064225
indian,121,0.063736
indian,122,0.063736
indian,123,0.063614
indian,124,0.063492
indian,125,0.06337
indian,126,0.063248
indian,127,0.063004
indian,128,0.062882
indian,129,0.062637
indian,130,0.062027
indian,131,0.061294
indian,132,0.061172
indian,133,0.061172
indian,134,0.06044
indian,135,0.060073
indian,136,0.059829
indian,137,0.059707
indian,138,0.059585
indian,139,0.058974
indian,140,0.058486
indian,141,0.058486
indian,142,0.058364
indian,143,0.057143
indian,144,0.057021
indian,145,0.056899
indian,146,0.056532
indian,147,0.055922
indian,148,0.0558
indian,149,0.055678
indian,150,0.055556
indian,151,0.055067
indian,152,0.054335
indian,153,0.054212
indian,154,0.05409
indian,155,0.053968
indian,156,0.053602
indian,157,0.052991
indian,158,0.052991
indian,159,0.052503
indian,160,0.052381
indian,161,0.052259
indian,162,0.052137
indian,163,0.051282
indian,164,0.051282
indian,165,0.050916
indian,166,0.050672
indian,167,0.050427
indian,168,0.050305
indian,169,0.049573
indian,170,0.049451
indian,171,0.049451
indian,172,0.049206
indian,173,0.048596
indian,174,0.048352
indian,175,0.047619
indian,176,0.047619
indian,177,0.047375
indian,178,0.047009
indian,179,0.04652
indian,180,0.04652
indian,181,0.046154
indian,182,0.046032
indian,183,0.045543
indian,184,0.045421
indian,185,0.045299
indian,186,0.044444
indian,187,0.044444
indian,188,0.044078
indian,189,0.043956
indian,190,0.043956
indian,191,0.043834
indian,192,0.043712
indian,193,0.04359
indian,194,0.043468
indian,195,0.043346
indian,196,0.043346
indian,197,0.043223
indian,198,0.043101
indian,199,0.043101
indian,200,0.042857
indian,201,0.042735
indian,202,0.042735
indian,203,0.042735
indian,204,0.042735
indian,205,0.042369
indian,206,0.042369
indian,207,0.042002
indian,208,0.041636
indian,209,0.041392
indian,210,0.041392
indian,211,0.041026
indian,212,0.040904
indian,213,0.040171
indian,214,0.040049
indian,215,0.040049
indian,216,0.039805
indian,217,0.039683
indian,218,0.03956
indian,219,0.039438
indian,220,0.039438
indian,221,0.039316
indian,222,0.039194
indian,223,0.039194
indian,224,0.039072
indian,225,0.03895
indian,226,0.03895
indian,227,0.038828
indian,228,0.038462
indian,229,0.038462
indian,230,0.038339
indian,231,0.038095
