Cuisine,Rank,NormalizedFrequency
indian,1,0.50189
indian,2,0.47902
indian,3,0.43054
indian,4,0.42653
indian,5,0.35777
indian,6,0.21515
indian,7,0.21507
indian,8,0.19142
indian,9,0.19103
indian,10,0.18568
indian,11,0.18152
indian,12,0.1581
indian,13,0.15229
indian,14,0.12738
indian,15,0.11677
indian,16,0.1148
indian,17,0.11347
indian,18,0.11158
indian,19,0.11009
indian,20,0.098696
indian,21,0.087694
indian,22,0.077322
indian,23,0.075986
indian,24,0.074965
indian,25,0.073
indian,26,0.068757
indian,27,0.067107
indian,28,0.058542
indian,29,0.058149
indian,30,0.057992
indian,31,0.056891
indian,32,0.055791
indian,33,0.05422
indian,34,0.052962
indian,35,0.051155
indian,36,0.049741
indian,37,0.048248
indian,38,0.046676
indian,39,0.045576
indian,40,0.04314
indian,41,0.043061
indian,42,0.042747
indian,43,0.04094
indian,44,0.035282
indian,45,0.035204
indian,46,0.034182
indian,47,0.034025
indian,48,0.033711
indian,49,0.033318
indian,50,0.031667
indian,51,0.030646
indian,52,0.029624
indian,53,0.028131
indian,54,0.02766
indian,55,0.027424
indian,56,0.02656
indian,57,0.026245
indian,58,0.024517
indian,59,0.023967
indian,60,0.02381
indian,61,0.022788
indian,62,0.022552
indian,63,0.021845
indian,64,0.021374
indian,65,0.019723
indian,65,0.019723
indian,66,0.019645
indian,67,0.018466
indian,68,0.017995
indian,69,0.016502
indian,70,0.016344
indian,71,0.016266
indian,72,0.01603
indian,72,0.01603
indian,73,0.015952
indian,74,0.015323
indian,75,0.015244
indian,76,0.014459
indian,77,0.01383
indian,77,0.01383
indian,78,0.013673
indian,79,0.013437
indian,80,0.013358
indian,81,0.012573
indian,82,0.012494
indian,83,0.01218
indian,84,0.012101
indian,85,0.012023
indian,86,0.011787
indian,86,0.011787
indian,87,0.011708
indian,88,0.011473
indian,89,0.011001
indian,90,0.010765
indian,91,0.010294
indian,92,0.010137
indian,93,0.010058
indian,94,0.0099796
indian,95,0.0098224
indian,96,0.0096653
indian,97,0.0095867
indian,98,0.0095081
indian,99,0.0094295
indian,99,0.0094295
indian,100,0.0091938
indian,101,0.0088795
indian,102,0.0088009
indian,103,0.0085651
indian,104,0.0084866
indian,105,0.0082508
indian,106,0.0081722
indian,107,0.0079365
indian,108,0.0077793
indian,109,0.0075436
indian,110,0.007465
indian,111,0.0073865
indian,112,0.0073079
indian,113,0.0072293
indian,113,0.0072293
indian,114,0.0070721
indian,115,0.0069936
indian,115,0.0069936
indian,115,0.0069936
indian,116,0.0068364
indian,117,0.0066792
indian,118,0.0066007
indian,119,0.0063649
indian,119,0.0063649
indian,119,0.0063649
indian,120,0.0062863
indian,121,0.0061292
indian,122,0.0060506
indian,122,0.0060506
indian,123,0.0058149
indian,124,0.005422
indian,125,0.0053434
indian,125,0.0053434
indian,126,0.0052648
indian,127,0.0051862
indian,127,0.0051862
indian,127,0.0051862
indian,127,0.0051862
indian,128,0.0050291
indian,128,0.0050291
indian,129,0.0049505
indian,130,0.0047933
indian,130,0.0047933
indian,131,0.0047148
indian,132,0.0046362
indian,132,0.0046362
indian,133,0.0045576
indian,133,0.0045576
indian,134,0.0044004
indian,134,0.0044004
indian,135,0.0043219
indian,135,0.0043219
indian,136,0.0042433
indian,136,0.0042433
indian,137,0.0041647
indian,137,0.0041647
indian,138,0.0040861
indian,138,0.0040861
indian,138,0.0040861
indian,139,0.003929
indian,139,0.003929
indian,140,0.0038504
indian,140,0.0038504
indian,141,0.0037718
indian,141,0.0037718
indian,141,0.0037718
indian,141,0.0037718
indian,142,0.0036932
indian,142,0.0036932
indian,142,0.0036932
indian,143,0.0035361
indian,143,0.0035361
indian,144,0.0034575
indian,145,0.0033789
indian,146,0.0033003
indian,146,0.0033003
indian,147,0.0032218
indian,147,0.0032218
indian,147,0.0032218
indian,148,0.0031432
indian,148,0.0031432
indian,148,0.0031432
indian,148,0.0031432
indian,148,0.0031432
indian,149,0.0030646
indian,150,0.002986
indian,151,0.0029074
indian,152,0.0028289
indian,152,0.0028289
indian,152,0.0028289
indian,152,0.0028289
indian,153,0.0027503
indian,153,0.0027503
indian,153,0.0027503
indian,154,0.0026717
indian,154,0.0026717
indian,154,0.0026717
indian,154,0.0026717
indian,154,0.0026717
indian,155,0.0025931
indian,155,0.0025931
indian,156,0.0025145
indian,156,0.0025145
indian,156,0.0025145
indian,156,0.0025145
indian,156,0.0025145
indian,156,0.0025145
indian,156,0.0025145
indian,157,0.002436
indian,157,0.002436
indian,157,0.002436
indian,158,0.0023574
indian,158,0.0023574
indian,159,0.0022788
indian,159,0.0022788
indian,160,0.0022002
indian,160,0.0022002
indian,160,0.0022002
indian,160,0.0022002
indian,160,0.0022002
indian,161,0.0021216
indian,161,0.0021216
indian,161,0.0021216
indian,162,0.0020431
indian,162,0.0020431
indian,163,0.0019645
indian,163,0.0019645
indian,163,0.0019645
indian,163,0.0019645
indian,163,0.0019645
indian,163,0.0019645
indian,164,0.0018859
indian,164,0.0018859
indian,164,0.0018859
indian,165,0.0018073
indian,165,0.0018073
indian,165,0.0018073
indian,166,0.0017287
indian,166,0.0017287
indian,167,0.0016502
indian,167,0.0016502
indian,167,0.0016502
indian,168,0.0015716
indian,168,0.0015716
indian,168,0.0015716
indian,168,0.0015716
indian,169,0.001493
indian,169,0.001493
indian,169,0.001493
indian,169,0.001493
indian,169,0.001493
indian,170,0.0014144
indian,170,0.0014144
indian,170,0.0014144
indian,170,0.0014144
indian,171,0.0013358
indian,171,0.0013358
indian,171,0.0013358
indian,171,0.0013358
indian,171,0.0013358
indian,171,0.0013358
indian,171,0.0013358
indian,171,0.0013358
indian,171,0.0013358
indian,172,0.0012573
indian,172,0.0012573
indian,172,0.0012573
indian,172,0.0012573
indian,172,0.0012573
indian,172,0.0012573
indian,172,0.0012573
indian,172,0.0012573
indian,172,0.0012573
indian,172,0.0012573
indian,172,0.0012573
indian,172,0.0012573
indian,173,0.0011787
indian,173,0.0011787
indian,173,0.0011787
indian,173,0.0011787
indian,173,0.0011787
indian,173,0.0011787
indian,173,0.0011787
indian,173,0.0011787
indian,173,0.0011787
indian,173,0.0011787
indian,174,0.0011001
indian,174,0.0011001
indian,174,0.0011001
indian,174,0.0011001
indian,174,0.0011001
indian,174,0.0011001
indian,174,0.0011001
indian,174,0.0011001
indian,174,0.0011001
