Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
soy_sauce,0,27,22,7
ginger,1,23,18,7
spring_onion,2,21,30,7
sesame_oil,3,20,27,7
peanut_oil,4,10,8,7
chilli,5,9,6,7
rice,6,9,6,7
chicken,7,7,2,7
garlic,8,6,2,6
vinegar,9,6,2,6
pork,10,5,2,5
shrimp,11,5,2,5
wine,12,5,2,5
coriander_seed,13,4,2,4
carrot,14,4,2,4
sherry,15,4,2,4
chicken_stock,16,4,2,4
oyster,17,4,2,4
white_pepper,18,4,2,4
mushroom,19,4,2,4
bean,20,3,2,3
red_pepper,21,3,2,3
star_anise,22,2,2,2
sesame,23,2,1,3
bamboo_shoot,24,1,1,2
white,25,1,1,2
vegetable_oil,26,1,1,2
peppercorn,27,1,1,2
beef,28,1,1,2
noodle,29,1,1,2
tofu,30,1,1,2
