node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
pheasant,7,0.00909090909091,0.384032904451,1.3342513965e-07,0.00352214943779,3.91339217104e+39,119.571428571,0.8
whiting,18,0.0233766233766,0.437300348265,8.72867040977e-06,0.012071624119,4.5969924787e+40,163.722222222,0.641666666667
sunflower_oil,16,0.0207792207792,0.42880357984,5.85338155186e-06,0.0102148979634,3.29158897484e+40,152.75,0.626373626374
mackerel,8,0.0103896103896,0.399320100888,1.09767764665e-06,0.00458038848299,6.6181318893e+39,140.625,0.533333333333
roe,53,0.0688311688312,0.465592635213,0.000267651843012,0.0340499263771,3.65731821223e+41,145.924528302,0.508235294118
olive,15,0.0194805194805,0.437878787879,1.17133874085e-05,0.00899980445237,2.55494505312e+40,146.4,0.551282051282
fish_steak,26,0.0337662337662,0.454408186186,2.93457617788e-05,0.0194512927921,1.19348573314e+41,179.346153846,0.619565217391
hominy_grits,4,0.00519480519481,0.352166344294,0.0,0.00134474168378,5.70397480979e+38,78.25,1.0
freshwater_fish,9,0.0116883116883,0.420898110154,8.81905284989e-07,0.00652760533341,1.34407823782e+40,179.555555556,0.571428571429
liquorice,37,0.0480519480519,0.460412188646,9.42187547771e-05,0.0215069019791,1.45902777778e+41,132.297297297,0.505882352941
grape,70,0.0909090909091,0.476997642127,0.000389094827245,0.0426862799355,5.74758257536e+41,135.157142857,0.415715539947
peanut,144,0.187012987013,0.511253071253,0.00258991858377,0.0770819959354,1.87422275284e+42,112.5,0.320946958346
dumpling,32,0.0415584415584,0.452544584602,1.96918855534e-05,0.0236275526748,1.76106557075e+41,170.40625,0.67816091954
sashimi,29,0.0376623376623,0.453474470735,2.15131558731e-05,0.0208110833547,1.36617120047e+41,163.862068966,0.712250712251
couscous,28,0.0363636363636,0.434716170238,5.8083771526e-05,0.0164759477472,8.56235144884e+40,131.821428571,0.612307692308
black_olive,42,0.0545454545455,0.45945366223,8.40573810257e-05,0.0283031663918,2.52687412469e+41,151.547619048,0.528205128205
cress,24,0.0311688311688,0.438458759783,1.87010176097e-05,0.0144333376569,6.57141024381e+40,135.166666667,0.69696969697
purple_amaranth,6,0.00779220779221,0.37028676022,1.5670417207e-07,0.00212351088324,1.42245168885e+39,83.3333333333,0.833333333333
pork_belly,81,0.105194805195,0.479068543613,0.000715834512437,0.0422521060414,5.63140929551e+41,111.654320988,0.336903602726
ingredient,173,0.224675324675,0.510071438577,0.0170976082308,0.0537018635927,9.09611934353e+41,66.0404624277,0.129480564155
lima_bean,37,0.0480519480519,0.447044380333,9.55096191693e-05,0.0206962822269,1.35111828064e+41,123.162162162,0.413445378151
peanut_butter,105,0.136363636364,0.493715680293,0.00121254982127,0.0608188806642,1.16678967853e+42,123.476190476,0.381496287836
