src,dest,wt
pheasant,bean_sprout,9.64134207482e-05
pheasant,white,9.64134207482e-05
pheasant,rice,9.64134207482e-05
pheasant,wine,9.64134207482e-05
pheasant,lard,9.64134207482e-05
whiting,peanut_oil,0.000289240262245
whiting,vinegar,9.64134207482e-05
whiting,chicken_stock,0.000192826841496
whiting,mushroom,0.000192826841496
whiting,sesame_oil,9.64134207482e-05
whiting,red_pepper,9.64134207482e-05
whiting,chilli,9.64134207482e-05
whiting,shallot,9.64134207482e-05
whiting,lima_bean,9.64134207482e-05
whiting,soy_sauce,0.000192826841496
whiting,tofu,0.000289240262245
whiting,ginger,0.000482067103741
whiting,shrimp,9.64134207482e-05
whiting,bamboo_shoot,0.000192826841496
whiting,spring_onion,0.000385653682993
whiting,oyster mushroom,9.64134207482e-05
whiting,sherry,0.000289240262245
whiting,white,9.64134207482e-05
whiting,rice,9.64134207482e-05
whiting,chicken,9.64134207482e-05
whiting,ham,9.64134207482e-05
perch,pork,0.000192826841496
perch,green_pepper,9.64134207482e-05
perch,roe,9.64134207482e-05
perch,ginger,0.000289240262245
perch,juice,9.64134207482e-05
perch,carrot,9.64134207482e-05
perch,chicken,9.64134207482e-05
perch,chicken_liver,9.64134207482e-05
perch,soy_sauce,9.64134207482e-05
perch,spring_onion,0.000192826841496
perch,lard,0.000192826841496
perch,vegetable_oil,0.000192826841496
perch,white,9.64134207482e-05
perch,rice,0.000482067103741
perch,star_anise,9.64134207482e-05
perch,sesame_oil,0.000192826841496
perch,bean,9.64134207482e-05
perch,cabbage,9.64134207482e-05
perch,paste,9.64134207482e-05
perch,chilli,9.64134207482e-05
perch,crabmeat,9.64134207482e-05
perch,white_pepper,9.64134207482e-05
perch,wine,0.000482067103741
perch,chicken_stock,9.64134207482e-05
mackerel,peanut_oil,0.000385653682993
mackerel,chilli,0.000192826841496
mackerel,sesame_oil,9.64134207482e-05
mackerel,spinach,9.64134207482e-05
mackerel,soy_sauce,0.000289240262245
mackerel,ginger,0.000192826841496
mackerel,sesame_seed,9.64134207482e-05
mackerel,salt,0.000192826841496
mackerel,spring_onion,0.000192826841496
roe,peanut_oil,0.000578480524489
roe,pork,0.000192826841496
roe,radish,9.64134207482e-05
roe,fish,0.000192826841496
roe,tofu,9.64134207482e-05
roe,coriander_seed,0.000192826841496
roe,ginger,0.000771307365985
roe,scallop,9.64134207482e-05
roe,cherry tomato,9.64134207482e-05
roe,chicken,0.000192826841496
roe,pea,9.64134207482e-05
roe,caper,9.64134207482e-05
roe,heavy_cream,9.64134207482e-05
roe,lemon,9.64134207482e-05
roe,cauliflower,9.64134207482e-05
roe,soy_sauce,0.000867720786734
roe,mustard_greens,9.64134207482e-05
roe,chilli,9.64134207482e-05
roe,celery,9.64134207482e-05
roe,bamboo_shoot,0.000192826841496
roe,spring_onion,0.000674893945237
roe,sherry,9.64134207482e-05
roe,white,0.000385653682993
roe,rice,0.000578480524489
roe,sauce,0.000482067103741
roe,sea_scallop,0.000385653682993
roe,sesame_oil,0.000964134207482
roe,mushroom,0.000192826841496
roe,vinegar,0.000192826841496
roe,shallot,0.000385653682993
roe,salmon,0.000289240262245
roe,wasabi,9.64134207482e-05
roe,water,9.64134207482e-05
roe,bean,0.000192826841496
roe,garlic,9.64134207482e-05
roe,mung_bean,9.64134207482e-05
roe,vegetable_oil,0.000192826841496
roe,tuna,9.64134207482e-05
roe,paste,9.64134207482e-05
roe,slug,9.64134207482e-05
roe,oyster,0.000385653682993
roe,smoked_salmon,9.64134207482e-05
roe,wonton,9.64134207482e-05
roe,salad,9.64134207482e-05
roe,crabmeat,0.000192826841496
roe,jelly,9.64134207482e-05
roe,shrimp,0.000964134207482
roe,sesame,0.000192826841496
roe,white_pepper,0.000385653682993
roe,pork_belly,9.64134207482e-05
roe,cucumber,9.64134207482e-05
roe,snow_pea,9.64134207482e-05
roe,chicken_stock,9.64134207482e-05
roe,egg,9.64134207482e-05
roe,sour_cream,9.64134207482e-05
roe,wine,0.000482067103741
olive,peanut_oil,9.64134207482e-05
olive,vinegar,9.64134207482e-05
olive,pimiento,9.64134207482e-05
olive,soy_sauce,9.64134207482e-05
olive,parsley,9.64134207482e-05
olive,ginger,9.64134207482e-05
olive,coriander_seed,9.64134207482e-05
olive,fillet,9.64134207482e-05
olive,eggplant,9.64134207482e-05
olive,goat_cheese,9.64134207482e-05
olive,sherry,9.64134207482e-05
olive,black_olive,9.64134207482e-05
olive,paste,9.64134207482e-05
olive,ingredient,9.64134207482e-05
fish_steak,peanut_oil,9.64134207482e-05
fish_steak,plum_sauce,9.64134207482e-05
fish_steak,tofu,9.64134207482e-05
fish_steak,coriander_seed,0.000192826841496
fish_steak,ginger,0.000482067103741
fish_steak,carrot,9.64134207482e-05
fish_steak,lime,9.64134207482e-05
fish_steak,red_onion,9.64134207482e-05
fish_steak,soy_sauce,0.000289240262245
fish_steak,cumin_seed,9.64134207482e-05
fish_steak,spring_onion,0.000289240262245
fish_steak,yogurt,9.64134207482e-05
fish_steak,sherry,0.000192826841496
fish_steak,rice,0.000192826841496
fish_steak,sauce,9.64134207482e-05
fish_steak,ingredient,9.64134207482e-05
fish_steak,mushroom,9.64134207482e-05
fish_steak,chilli,0.000289240262245
fish_steak,green_pepper,9.64134207482e-05
fish_steak,chutney,9.64134207482e-05
fish_steak,tomato,0.000192826841496
fish_steak,vinegar,0.000192826841496
fish_steak,red_pepper,9.64134207482e-05
fish_steak,mango,9.64134207482e-05
fish_steak,chicken_stock,9.64134207482e-05
fish_steak,wine,9.64134207482e-05
hominy_grits,cheddar_cheese,9.64134207482e-05
hominy_grits,red_pepper,9.64134207482e-05
freshwater_fish,tomato,9.64134207482e-05
freshwater_fish,vinegar,9.64134207482e-05
freshwater_fish,red_pepper,9.64134207482e-05
freshwater_fish,celery,9.64134207482e-05
freshwater_fish,peanut_oil,9.64134207482e-05
freshwater_fish,rice,9.64134207482e-05
freshwater_fish,star_anise,9.64134207482e-05
liquorice,peanut_oil,0.000289240262245
liquorice,pork,0.000674893945237
liquorice,fennel_seed,0.000867720786734
liquorice,sweet,9.64134207482e-05
liquorice,coriander_seed,9.64134207482e-05
liquorice,ginger,0.00115696104898
liquorice,honey,9.64134207482e-05
liquorice,carrot,9.64134207482e-05
liquorice,double_cream,9.64134207482e-05
liquorice,pastry,9.64134207482e-05
liquorice,duck,0.000192826841496
liquorice,chicken,0.000674893945237
liquorice,rib,9.64134207482e-05
liquorice,beef,9.64134207482e-05
liquorice,soy_sauce,0.00106054762823
liquorice,brisket,9.64134207482e-05
liquorice,sugar,0.000867720786734
liquorice,spring_onion,0.000385653682993
liquorice,radish,9.64134207482e-05
liquorice,sherry,9.64134207482e-05
liquorice,rice,0.000289240262245
liquorice,star_anise,0.00144620131122
liquorice,ingredient,0.000192826841496
liquorice,sesame_oil,0.000385653682993
liquorice,chilli,9.64134207482e-05
liquorice,cardamom,0.000289240262245
liquorice,vermicelli,9.64134207482e-05
liquorice,galangal,0.000192826841496
liquorice,tangerine,0.000192826841496
liquorice,demerara_sugar,0.000192826841496
liquorice,stick,0.00115696104898
liquorice,gin,0.000289240262245
liquorice,peppercorn,9.64134207482e-05
liquorice,shoulder,9.64134207482e-05
liquorice,vinegar,0.000192826841496
liquorice,pak_choi,9.64134207482e-05
liquorice,noodle,9.64134207482e-05
liquorice,red_pepper,0.000192826841496
liquorice,black_bean,9.64134207482e-05
liquorice,aniseed,0.000192826841496
liquorice,nutmeg,0.000289240262245
liquorice,cinnamon,0.00106054762823
liquorice,salt,9.64134207482e-05
liquorice,chicken_stock,9.64134207482e-05
grape,peanut_oil,0.000385653682993
grape,vodka,9.64134207482e-05
grape,sultana,9.64134207482e-05
grape,pine_nut,9.64134207482e-05
grape,almond,9.64134207482e-05
grape,tofu,9.64134207482e-05
grape,white_pepper,0.000192826841496
grape,ginger,0.000674893945237
grape,honey,9.64134207482e-05
grape,juice,9.64134207482e-05
grape,chilli,0.000385653682993
grape,artichoke,9.64134207482e-05
grape,soybean,9.64134207482e-05
grape,cumin_seed,9.64134207482e-05
grape,red_pepper,0.000289240262245
grape,hoisin_sauce,9.64134207482e-05
grape,pasta,0.000192826841496
grape,broccoli_rabe,9.64134207482e-05
grape,allspice,9.64134207482e-05
grape,lamb,9.64134207482e-05
grape,red_onion,9.64134207482e-05
grape,bay_scallop,9.64134207482e-05
grape,cauliflower,9.64134207482e-05
