node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
pheasant,5,0.00649350649351,0.400285808508,0.0,0.0026241491276,3.3948902148e+63,278.4,1.0
whiting,21,0.0272727272727,0.447951777586,5.09200841187e-07,0.0120107976557,7.11206597441e+64,336.666666667,0.909523809524
sunflower_oil,14,0.0181818181818,0.439915433404,2.39447774668e-08,0.00734781376888,2.66174411843e+64,298.428571429,0.967032967033
mackerel,9,0.0116883116883,0.432727272727,1.6631893508e-07,0.00532944169057,1.40028737702e+64,372.444444444,0.722222222222
roe,57,0.074025974026,0.469888379895,7.1614042673e-05,0.0264563636418,3.45070892286e+65,246.070175439,0.775062656642
olive,14,0.0181818181818,0.44404609475,1.18594396387e-06,0.00691752623936,2.35912741724e+64,283.142857143,0.868131868132
fish_steak,26,0.0337662337662,0.456916996047,1.60334582186e-06,0.0140554595941,9.73959034579e+64,310.461538462,0.916923076923
hominy_grits,2,0.0025974025974,0.37320897817,0.0,0.00073084480083,2.63329760647e+62,204.0,1.0
freshwater_fish,7,0.00909090909091,0.429359745313,1.9927059986e-08,0.00423797736581,8.85460694454e+63,354.428571429,0.952380952381
liquorice,44,0.0571428571429,0.469555125725,2.54912744197e-05,0.0202344323959,2.01850423086e+65,247.340909091,0.807610993658
grape,77,0.1,0.482560296846,0.000131443322778,0.032863572918,5.32446206667e+65,219.831168831,0.700956937799
peanut,200,0.25974025974,0.537833247175,0.00135235670524,0.0730464877236,2.63051757056e+66,172.19,0.531909547739
dumpling,41,0.0532467532468,0.46298792117,1.10502010633e-06,0.0227461925243,2.55074703389e+65,305.487804878,0.962195121951
sashimi,27,0.0350649350649,0.455659137834,2.25608068555e-06,0.0127416313823,8.00383680298e+64,258.444444444,0.925925925926
couscous,29,0.0376623376623,0.453785282572,1.68948416985e-05,0.0121901775217,7.32599487874e+64,222.896551724,0.810344827586
black_olive,44,0.0571428571429,0.464938712972,2.09255256371e-05,0.0210887375976,2.19254617222e+65,252.045454545,0.845665961945
cress,22,0.0285714285714,0.441971112999,7.54081114135e-06,0.00881789589407,3.83333673634e+64,212.0,0.844155844156
purple_amaranth,4,0.00519480519481,0.385374113663,0.0,0.00150009590747,1.10938872062e+63,189.25,1.0
pork_belly,123,0.15974025974,0.503094777563,0.000332878987068,0.0513050007396,1.29766931402e+66,205.089430894,0.689057710249
ingredient,309,0.401298701299,0.591664635632,0.0172788364846,0.0893506933862,3.9358312174e+66,132.097087379,0.327848526878
lima_bean,55,0.0714285714286,0.469222343921,3.01226272761e-05,0.0260126775746,3.33593648886e+65,250.054545455,0.812794612795
peanut_butter,125,0.162337662338,0.504244270581,0.000516252497053,0.0502108911573,1.24291269115e+66,198.696,0.635483870968
self-rising_flour,34,0.0441558441558,0.464938712972,5.07551335865e-05,0.0131292760956,8.49823560051e+64,212.705882353,0.675579322638
ouzo,13,0.0168831168831,0.409698469847,6.83775516514e-06,0.00448079714567,9.8981301859e+63,163.615384615,0.730769230769
pak_choi,130,0.168831168831,0.506171809842,0.000236519440843,0.0552463303001,1.50470491252e+66,207.176923077,0.714967203339
red_snapper,61,0.0792207792208,0.477685950413,3.1586506826e-05,0.0296178388417,4.3246807611e+65,255.68852459,0.849726775956
nectar,24,0.0311688311688,0.453164084376,8.20192296762e-05,0.00933182553923,4.2932100101e+64,222.875,0.630434782609
asparagus,153,0.198701298701,0.517244318182,0.000794020745266,0.059857832253,1.76638659803e+66,188.784313725,0.609821121431
egg_noodle,111,0.144155844156,0.49519276535,0.000124949198803,0.0484902447444,1.15918789194e+66,215.117117117,0.753808353808
