src,dest,wt
pheasant,white,0.001
pheasant,rice,1.0
pheasant,wine,0.001
perch,pork,0.001
perch,sesame_oil,0.001
perch,soy_sauce,0.2
perch,roe,0.071
perch,spring_onion,0.4
perch,white_pepper,0.001
perch,vegetable_oil,0.003
perch,white,0.001
perch,rice,0.002
perch,star_anise,0.002
perch,wine,0.006
mackerel,peanut_oil,0.8
mackerel,sesame_oil,0.2
mackerel,spinach,0.2
mackerel,soy_sauce,0.6
mackerel,spring_onion,0.4
mackerel,salt,0.014
mackerel,sesame_seed,0.2
roe,tofu,0.002
roe,scallop,0.071
roe,soy_sauce,0.643
roe,spring_onion,0.5
roe,sherry,0.071
roe,white,0.006
roe,sauce,0.357
roe,sea_scallop,0.286
roe,sesame_oil,0.714
roe,vinegar,0.002
roe,shallot,0.286
roe,salmon,0.214
roe,wasabi,0.091
roe,water,0.002
roe,vegetable_oil,0.003
roe,tuna,0.091
roe,slug,0.071
roe,smoked_salmon,0.071
roe,wonton,0.006
roe,salad,0.071
roe,shrimp,0.714
roe,sesame,0.143
roe,white_pepper,0.005
roe,snow_pea,0.071
roe,sour_cream,0.071
roe,wine,0.006
olive,peanut_oil,0.5
olive,pimiento,0.5
olive,vinegar,0.001
olive,soy_sauce,0.5
olive,parsley,0.5
olive,sherry,0.001
olive,paste,0.5
fish_steak,tomato,0.005
fish_steak,vinegar,0.002
fish_steak,red_onion,0.167
fish_steak,rice,0.333
fish_steak,red_pepper,0.167
fish_steak,mushroom,0.167
fish_steak,plum_sauce,0.167
fish_steak,tofu,0.002
fish_steak,soy_sauce,0.5
fish_steak,green_pepper,0.167
fish_steak,ginger,0.833
fish_steak,mango,0.167
fish_steak,spring_onion,0.5
fish_steak,peanut_oil,0.167
fish_steak,wine,0.001
fish_steak,yogurt,0.027
fish_steak,sherry,0.333
fish_steak,ingredient,0.167
fish_steak,sauce,0.167
fish_steak,lime,0.167
hominy_grits,red_pepper,0.001
freshwater_fish,tomato,0.002
freshwater_fish,vinegar,0.001
freshwater_fish,red_pepper,1.0
freshwater_fish,peanut_oil,1.0
freshwater_fish,rice,1.0
freshwater_fish,star_anise,1.0
liquorice,peanut_oil,0.2
liquorice,pork,0.005
liquorice,sweet,0.067
liquorice,pastry,0.067
liquorice,rib,0.014
liquorice,soy_sauce,0.733
liquorice,sugar,0.6
liquorice,spring_onion,0.267
liquorice,radish,0.008
liquorice,sherry,0.067
liquorice,rice,0.001
liquorice,star_anise,1.0
liquorice,sesame_oil,0.267
liquorice,tangerine,0.133
liquorice,vermicelli,0.023
liquorice,stick,0.8
liquorice,peppercorn,0.067
liquorice,shoulder,0.067
liquorice,vinegar,0.002
liquorice,pak_choi,0.067
liquorice,noodle,0.067
liquorice,red_pepper,0.003
liquorice,nutmeg,0.2
liquorice,salt,0.007
grape,peanut_oil,0.25
grape,vodka,0.02
grape,white_pepper,0.002
grape,sultana,0.062
grape,pine_nut,0.062
grape,tofu,0.002
grape,persian_melons,0.062
grape,honey,0.062
grape,peppercorn,0.125
grape,soybean,0.062
grape,hoisin_sauce,0.062
grape,lime,0.125
grape,lamb,0.062
grape,red_onion,0.062
grape,lemon,0.062
grape,tarragon,0.062
grape,peanut,0.062
grape,soy_sauce,0.562
grape,scallop,0.062
grape,parsley,0.062
grape,grapefruit,0.062
grape,sesame_seed,0.062
grape,orange,0.062
grape,white,0.001
grape,lemongrass,0.125
grape,sauce,0.125
grape,pea,0.062
grape,spring_onion,0.312
grape,sesame_oil,0.188
grape,mushroom,0.125
grape,mustard_greens,0.062
grape,shallot,0.25
grape,tangerine,0.062
grape,pasta,0.125
grape,oyster,0.062
grape,soybean_oil,0.125
grape,tomato,0.027
grape,vinegar,0.004
grape,rice,0.438
grape,red_pepper,0.188
grape,salad,0.062
grape,juice,0.062
grape,kaffir,0.062
grape,shrimp,0.125
grape,green,0.062
grape,halibut,0.062
grape,ingredient,0.062
grape,rosemary,0.062
grape,wine,0.004
peanut,peanut_oil,0.314
peanut,pork,0.013
peanut,soybean,0.026
peanut,tomato_sauce,0.029
peanut,sirloin,0.083
peanut,plum_sauce,0.013
peanut,sweet,0.03
peanut,pine_nut,0.004
peanut,squid,0.019
peanut,tofu,0.04
peanut,rolled_oats,1.0
peanut,white_wine,0.018
peanut,scallop,0.014
peanut,rump,0.12
peanut,sweet_potato,0.059
peanut,rump_steak,0.231
peanut,tamarind,0.273
peanut,sugar,0.03
peanut,top_round,0.071
peanut,turkey,0.03
peanut,pimiento,0.022
peanut,red_onion,0.027
peanut,spinach,0.017
peanut,turmeric,0.111
peanut,sesame_seed,0.07
peanut,soy_sauce,0.024
peanut,romaine_lettuce,0.031
peanut,wine_vinegar,0.04
peanut,radicchio,0.1
peanut,pork_loin,0.026
peanut,walnut,0.049
peanut,yam,0.077
peanut,spring_roll,0.051
peanut,spring_onion,0.024
peanut,radish,0.046
peanut,vegetable,0.028
peanut,vegetable_oil,0.037
peanut,white,0.023
peanut,sesame,0.051
peanut,sauce,0.027
peanut,star_anise,0.031
peanut,stock,0.007
peanut,sea_scallop,0.019
peanut,tomato,0.005
peanut,sesame_oil,0.026
peanut,yellow_bean,0.011
peanut,vinegar,0.034
peanut,shallot,0.037
peanut,tangerine,0.019
peanut,vermicelli,0.047
peanut,water,0.021
peanut,sherry,0.013
peanut,shoulder,0.021
peanut,peanut_butter,0.105
peanut,rabbit,0.222
peanut,shrimp,0.016
