Cuisine,closeness,betweeness
indian,0.50499,0
indian,0.4989,2.06e-07
indian,0.43541,0
indian,0.54296,0.00030599
indian,0.49189,0
indian,0.60667,0.028225
indian,0.455,1.0415e-06
indian,0.43541,0
indian,0.51412,0.00024001
indian,0.55966,0.0010755
indian,0.48199,0
indian,0.47895,0
indian,0.47694,0
indian,0.47895,0
indian,0.4903,0
indian,0.56452,0.0019649
indian,0.48507,0
indian,0.50952,1.6389e-05
indian,0.34706,0
indian,0.49618,5.5142e-06
indian,0.47594,0
indian,0.34444,0
indian,0.4596,0
indian,0.47996,0
indian,0.47844,0
indian,0.52419,0.00048137
indian,0.51763,2.7588e-05
indian,0.52419,3.2577e-05
indian,0.59555,0.0058076
indian,0.48663,0
indian,0.49672,0
indian,0.4882,0
indian,0.49727,1.257e-06
indian,0.40991,0
indian,0.41553,0
indian,0.40018,0
indian,0.61737,0.0068656
indian,0.49836,0.0043996
indian,0.51181,1.0047e-05
indian,0.50725,8.8703e-05
indian,0.5391,0.0015349
indian,0.52601,9.6754e-05
indian,0.49457,1.1469e-06
indian,0.40053,0
indian,0.52059,4.1384e-05
indian,0.50276,7.1369e-06
indian,0.53467,0.00023794
indian,0.5254,3.0241e-05
indian,0.47694,0
indian,0.53341,8.8674e-05
indian,0.49242,0
indian,0.52,0.00011225
indian,0.52359,0.0002471
indian,0.49945,6.571e-07
indian,0.48097,0
indian,0.56034,0.0009233
indian,0.47844,4.6131e-07
indian,0.47544,0
indian,0.33285,0
indian,0.5254,0.00029562
indian,0.66038,0.017127
indian,0.46476,0
indian,0.50165,1.2709e-05
indian,0.54296,0.00079162
indian,0.52299,0.00012919
indian,0.50165,5.4359e-05
indian,0.4882,3.7238e-07
indian,0.51066,5.6046e-06
indian,0.47744,0
indian,0.65374,0.016671
indian,0.38171,0
indian,0.51705,3.9299e-05
indian,0.325,1.2001e-05
indian,0.47945,0
indian,0.49727,5.0334e-05
indian,0.54231,0.002334
indian,0.53467,0.00017696
indian,0.50556,4.5175e-07
indian,0.49349,0
indian,0.48148,0
indian,0.46524,4.4009e-07
indian,0.40516,0
indian,0.47945,0
indian,0.51124,2.3834e-05
indian,0.50952,2.2919e-06
indian,0.49136,6.0217e-07
indian,0.47495,0
indian,0.38494,0
indian,0.42925,1.4238e-07
indian,0.49618,9.205e-06
indian,0.54361,0.001097
indian,0.61156,0.0094585
indian,0.47396,0
indian,0.47744,0
indian,0.56875,0.00099535
indian,0.55556,0.0027433
indian,0.383,0
indian,0.51066,9.616e-06
indian,0.52359,1.0923e-05
indian,0.49296,7.7982e-06
indian,0.49781,5.1512e-07
indian,0.47495,0
indian,0.48456,0
indian,0.51822,5.1263e-06
indian,0.68012,0.03273
indian,0.52299,9.862e-05
indian,0.53279,0.00020528
indian,0.48404,0
indian,0.44132,0
indian,0.69572,0.031487
indian,0.45867,0
indian,0.47694,0
indian,0.59399,0.0055796
indian,0.50556,3.8004e-06
indian,0.4825,4.4009e-07
indian,0.52662,4.4737e-05
indian,0.5576,0.0028027
indian,0.71654,0.040485
indian,0.46571,0
indian,0.51941,0.00030175
indian,0.48872,0
indian,0.50556,7.6122e-06
indian,0.5254,1.7724e-05
indian,0.58408,0.0021663
indian,0.50221,5.8186e-06
indian,0.53092,0.0054603
indian,0.53592,0.000425
indian,0.54952,0.00034503
indian,0.47844,0
indian,0.51009,1.572e-05
indian,0.57888,0.011382
indian,0.51066,9.6562e-06
indian,0.55218,0.00039562
indian,0.41743,0.0001066
indian,0.63725,0.023922
indian,0.48925,3.6153e-07
indian,0.51471,8.868e-05
indian,0.51412,3.4611e-05
indian,0.50055,0
indian,0.53467,0.00077807
indian,0.47844,0
indian,0.48925,4.3627e-07
indian,0.52723,6.1813e-05
indian,0.49136,0
indian,0.49564,0
indian,0.53092,0.00065871
indian,0.49672,1.7289e-07
indian,0.51471,3.7589e-05
indian,0.54952,0.00041006
indian,0.53846,0.00010365
indian,0.40053,0
indian,0.52059,5.6253e-05
indian,0.48199,0
indian,0.4825,1.6975e-05
indian,0.47694,4.0341e-07
indian,0.48767,0
indian,0.48046,0.00017847
indian,0.5576,0.00083825
indian,0.58634,0.0026214
indian,0.41781,0
indian,0.51297,4.9335e-06
indian,0.48404,0
indian,0.4825,0
indian,0.86502,0.16759
indian,0.46715,0
indian,0.58483,0.0024607
indian,0.54885,0.00046747
indian,0.50838,0
indian,0.39394,0
indian,0.52662,3.0546e-05
indian,0.38203,3.2273e-06
indian,0.51354,1.7902e-05
indian,0.48097,0
indian,0.48507,0
indian,0.59947,0.0032748
indian,0.37791,0
indian,0.49083,0
indian,0.57595,0.0015072
indian,0.47694,0
indian,0.51822,9.2053e-05
indian,0.47794,0
indian,0.56382,0.0010341
indian,0.50276,4.0807e-07
indian,0.54426,0.0013023
indian,0.57814,0.0030476
indian,0.50055,8.5056e-06
indian,0.47996,0
indian,0.46429,0
indian,0.48507,4.9204e-07
indian,0.41326,0
indian,0.55828,0.00077625
indian,0.50556,0
indian,0.48715,0
indian,0.5248,0.0044563
indian,0.41401,0
indian,0.48199,0
indian,0.44783,4.1938e-06
indian,0.52119,1.9977e-05
indian,0.54952,0.0003912
indian,0.49836,0.00018595
indian,0.61653,0.005549
indian,0.8125,0.08667
indian,0.5254,0.0004945
indian,0.5248,0.0002749
indian,0.37791,0
indian,0.625,0.012753
indian,0.50725,0.00011196
indian,0.48456,0
indian,0.53719,6.1436e-05
indian,0.46907,0
indian,0.48872,1.0096e-05
indian,0.52,1.5517e-05
indian,0.48559,0
indian,0.49296,2.3419e-05
indian,0.48507,1.543e-06
indian,0.50952,1.5237e-06
indian,0.56663,0.00072408
indian,0.65942,0.012796
indian,0.49457,1.6693e-07
indian,0.48663,1.2506e-06
indian,0.70543,0.027139
indian,0.65562,0.013464
indian,0.47396,0
indian,0.53279,0.00052307
indian,0.46429,0
indian,0.52299,0.00035533
indian,0.47396,0
indian,0.55828,0.0046255
indian,0.51822,1.4553e-05
indian,0.48353,0
indian,0.46429,0
indian,0.49136,2.0171e-07
indian,0.53846,9.8309e-05
indian,0.48404,2.5698e-06
indian,0.59168,0.0023081
indian,0.46193,0
indian,0.47053,0
indian,0.48872,0
indian,0.49349,0
indian,0.33729,0
indian,0.57595,0.0058455
indian,0.55018,0.0007004
indian,0.52601,2.1449e-05
indian,0.61653,0.0054224
indian,0.52969,4.5958e-05
indian,0.51181,9.6634e-07
indian,0.60586,0.003496
indian,0.5391,0.00053115
indian,0.49945,2.719e-07
indian,0.49083,0.00011213
indian,0.51763,0.00012396
indian,0.50055,1.6137e-07
indian,0.51066,2.0109e-05
indian,0.47895,0
indian,0.47694,0
indian,0.51354,3.473e-05
indian,0.59245,0.002301
indian,0.50612,1.9235e-06
indian,0.48715,5.8855e-06
indian,0.47445,0
indian,0.48404,0
indian,0.47644,2.4826e-07
indian,0.50499,1.8619e-07
indian,0.46006,0
indian,0.54819,0.0014009
indian,0.46429,0
indian,0.38723,0
indian,0.66423,0.018761
indian,0.47844,0
indian,0.50276,1.0527e-05
indian,0.41102,0
indian,0.48872,0
indian,0.56242,0.00050081
indian,0.4882,3.1232e-07
indian,0.49242,0
indian,0.40265,0
indian,0.49781,0
indian,0.54231,0.00034072
indian,0.47996,0
indian,0.46956,0
indian,0.62672,0.0060475
indian,0.39157,0
indian,0.48456,1.447e-05
indian,0.54819,0.0005253
indian,0.50388,3.5826e-06
indian,0.55897,0.00066784
indian,0.49727,4.2041e-05
indian,0.46006,0
indian,0.4825,0
indian,0.51239,4.042e-06
indian,0.47844,0
indian,0.4989,3.9496e-07
indian,0.50952,7.8693e-06
indian,0.49296,0
indian,0.5254,4.5908e-05
indian,0.51124,0.00029832
indian,0.47996,0
indian,0.47495,0
indian,0.51239,5.9428e-06
indian,0.54038,0.0011203
indian,0.56034,0.0012077
indian,0.49836,7.1839e-06
indian,0.50838,7.4036e-06
indian,0.52784,0.00016154
indian,0.48097,0
indian,0.48715,1.2413e-07
indian,0.48301,3.066e-06
indian,0.58862,0.0047477
indian,0.54688,0.0032539
indian,0.50221,1.7738e-06
indian,0.51822,0.00014599
indian,0.47101,0
indian,0.49564,0
indian,0.49618,1.0815e-06
indian,0.50443,4.0125e-06
indian,0.50499,5.0372e-07
indian,0.48301,0
indian,0.48456,0
indian,0.40373,0
indian,0.4951,1.5518e-06
indian,0.50781,1.2489e-06
indian,0.49672,0
indian,0.4715,0
indian,0.46381,0
indian,0.46099,0
indian,0.76988,0.065776
indian,0.41858,0
indian,0.54361,0.00017931
indian,0.53719,0.00015087
indian,0.48611,0
indian,0.48199,0
indian,0.49136,0
indian,0.54167,0.0009068
indian,0.39947,0
indian,0.66912,0.016497
indian,0.49136,4.5983e-06
indian,0.48456,0
indian,0.50443,2.4826e-07
indian,0.51646,2.5319e-05
indian,0.48507,0
indian,0.55018,0.0037648
indian,0.53341,0.00011996
indian,0.5011,5.1642e-06
indian,0.51529,8.8966e-06
indian,0.48925,0
indian,0.48767,0
indian,0.47945,0
indian,0.47594,0
indian,0.6157,0.0073133
indian,0.48611,0
indian,0.48611,0
indian,0.84572,0.12769
indian,0.52601,5.9659e-05
indian,0.4715,2.8469e-05
indian,0.50952,2.1916e-06
indian,0.4825,0
indian,0.61821,0.013362
indian,0.46429,0
indian,0.49618,0
indian,0.56522,0.0035541
indian,0.52969,0.00010615
indian,0.50055,2.3338e-06
indian,0.52969,6.1813e-05
indian,0.48977,9.7215e-07
indian,0.68731,0.023941
indian,0.48148,1.9271e-05
indian,0.5254,2.9442e-05
indian,0.37854,0.00012058
indian,0.51181,6.3847e-06
indian,0.49349,1.4614e-05
indian,0.46956,0
indian,0.37822,0
indian,0.47396,0
indian,0.50668,3.6923e-06
indian,0.48611,0
indian,0.46429,0
indian,0.48507,0
indian,0.45637,1.9945e-05
indian,0.48715,0
indian,0.48404,0
indian,0.46859,0
indian,0.47347,0
indian,0.50388,4.6065e-06
indian,0.5,5.9578e-07
indian,0.5871,0.001907
indian,0.47844,0
indian,0.49189,0
indian,0.47945,2.6894e-07
indian,0.56242,0.00059774
indian,0.48046,0
indian,0.47495,0
indian,0.47445,7.9346e-06
indian,0.51181,0.00083167
indian,0.47101,0.0018918
indian,0.51587,9.4703e-06
indian,0.50165,1.8999e-07
indian,0.56592,0.001332
indian,0.47945,1.4403e-05
indian,0.50221,4.1635e-05
indian,0.52969,0.00061232
indian,0.4989,1.0518e-05
indian,0.47396,0
indian,0.62759,0.0080916
indian,0.48715,0
indian,0.39497,4.5639e-06
indian,0.49836,3.6171e-06
indian,0.51881,7.9182e-05
indian,0.48046,0
indian,0.39497,0
indian,0.45867,0
indian,0.4903,5.3857e-06
indian,0.4903,0
indian,0.48404,0
indian,0.56312,0.00093022
indian,0.40088,0.0002083
indian,0.51297,3.6506e-06
indian,0.46429,0
indian,0.49403,0
indian,0.47347,0
indian,0.48507,0
indian,0.4825,0
indian,0.48977,3.2273e-06
indian,0.50895,1.1844e-05
indian,0.48353,0
