Cuisine, Degree, Avg Neig Degree
indian,0.50499,1
indian,0.4989,0.99567
indian,0.43541,0
indian,0.54296,0.74784
indian,0.49189,1
indian,0.60667,0.38931
indian,0.455,0.9
indian,0.43541,0
indian,0.51412,0.77436
indian,0.55966,0.65624
indian,0.48199,1
indian,0.47895,1
indian,0.47694,1
indian,0.47895,1
indian,0.4903,1
indian,0.56452,0.5948
indian,0.48507,1
indian,0.50952,0.92269
indian,0.34706,0
indian,0.49618,0.95789
indian,0.47594,1
indian,0.34444,0
indian,0.4596,1
indian,0.47996,1
indian,0.47844,1
indian,0.52419,0.71525
indian,0.51763,0.91521
indian,0.52419,0.92081
indian,0.59555,0.45532
indian,0.48663,1
indian,0.49672,1
indian,0.4882,1
indian,0.49727,0.97076
indian,0.40991,1
indian,0.41553,1
indian,0.40018,1
indian,0.61737,0.41032
indian,0.49836,0.8619
indian,0.51181,0.93968
indian,0.50725,0.84879
indian,0.5391,0.59331
indian,0.52601,0.87208
indian,0.49457,0.98571
indian,0.40053,1
indian,0.52059,0.88898
indian,0.50276,0.94587
indian,0.53467,0.81635
indian,0.5254,0.90857
indian,0.47694,1
indian,0.53341,0.85714
indian,0.49242,1
indian,0.52,0.76855
indian,0.52359,0.77333
indian,0.49945,0.99134
indian,0.48097,1
indian,0.56034,0.65657
indian,0.47844,0.98095
indian,0.47544,1
indian,0.33285,0
indian,0.5254,0.72235
indian,0.66038,0.30534
indian,0.46476,1
indian,0.50165,0.95333
indian,0.54296,0.67808
indian,0.52299,0.86792
indian,0.50165,0.917
indian,0.4882,0.98182
indian,0.51066,0.9563
indian,0.47744,1
indian,0.65374,0.32092
indian,0.38171,1
indian,0.51705,0.89701
indian,0.325,0.33333
indian,0.47945,1
indian,0.49727,0.825
indian,0.54231,0.68524
indian,0.53467,0.78227
indian,0.50556,0.98913
indian,0.49349,1
indian,0.48148,1
indian,0.46524,0.66667
indian,0.40516,0
indian,0.47945,1
indian,0.51124,0.92443
indian,0.50952,0.98319
indian,0.49136,0.97222
indian,0.47495,1
indian,0.38494,0
indian,0.42925,0.98485
indian,0.49618,0.92641
indian,0.54361,0.67999
indian,0.61156,0.43314
indian,0.47396,1
indian,0.47744,1
indian,0.56875,0.60763
indian,0.55556,0.65398
indian,0.383,1
indian,0.51066,0.95126
indian,0.52359,0.9539
indian,0.49296,0.94505
indian,0.49781,0.98701
indian,0.47495,1
indian,0.48456,1
indian,0.51822,0.96538
indian,0.68012,0.27204
indian,0.52299,0.87057
indian,0.53279,0.86251
indian,0.48404,1
indian,0.44132,1
indian,0.69572,0.24402
indian,0.45867,0
indian,0.47694,1
indian,0.59399,0.47979
indian,0.50556,0.98006
indian,0.4825,0.97222
indian,0.52662,0.90325
indian,0.5576,0.65821
indian,0.71654,0.21789
indian,0.46571,1
indian,0.51941,0.75899
indian,0.48872,1
indian,0.50556,0.94129
indian,0.5254,0.94344
indian,0.58408,0.53742
indian,0.50221,0.93333
indian,0.53092,0.75395
indian,0.53592,0.74639
indian,0.54952,0.73212
indian,0.47844,1
indian,0.51009,0.9072
indian,0.57888,0.41424
indian,0.51066,0.93103
indian,0.55218,0.77228
indian,0.41743,0.66667
indian,0.63725,0.33897
indian,0.48925,0.98095
indian,0.51471,0.83422
indian,0.51412,0.92235
indian,0.50055,1
indian,0.53467,0.74717
indian,0.47844,1
indian,0.48925,0.98485
indian,0.52723,0.89293
indian,0.49136,1
indian,0.49564,1
indian,0.53092,0.74757
indian,0.49672,0.99605
indian,0.51471,0.92941
indian,0.54952,0.73323
indian,0.53846,0.8619
indian,0.40053,1
indian,0.52059,0.87755
indian,0.48199,1
indian,0.4825,0.85714
indian,0.47694,0.9
indian,0.48767,1
indian,0.48046,0.6
indian,0.5576,0.65467
indian,0.58634,0.52259
indian,0.41781,0
indian,0.51297,0.97436
indian,0.48404,1
indian,0.4825,1
indian,0.86502,0.12576
indian,0.46715,1
indian,0.58483,0.50087
indian,0.54885,0.71586
indian,0.50838,1
indian,0.39394,1
indian,0.52662,0.9178
indian,0.38203,0.83333
indian,0.51354,0.92888
indian,0.48097,1
indian,0.48507,1
indian,0.59947,0.46031
indian,0.37791,0
indian,0.49083,1
indian,0.57595,0.59639
indian,0.47694,1
indian,0.51822,0.86822
indian,0.47794,1
indian,0.56382,0.67008
indian,0.50276,0.9943
indian,0.54426,0.73718
indian,0.57814,0.55069
indian,0.50055,0.90643
indian,0.47996,1
indian,0.46429,0
indian,0.48507,0.94444
indian,0.41326,1
indian,0.55828,0.67512
indian,0.50556,1
indian,0.48715,1
indian,0.5248,0.85143
indian,0.41401,1
indian,0.48199,1
indian,0.44783,0.87619
indian,0.52119,0.94149
indian,0.54952,0.7594
indian,0.49836,0.85714
indian,0.61653,0.41471
indian,0.8125,0.1517
indian,0.5254,0.73235
indian,0.5248,0.80612
indian,0.37791,0
indian,0.625,0.39699
indian,0.50725,0.849
indian,0.48456,1
indian,0.53719,0.89421
indian,0.46907,1
indian,0.48872,0.92308
indian,0.52,0.94106
indian,0.48559,1
indian,0.49296,0.82333
indian,0.48507,0.93333
indian,0.50952,0.98106
indian,0.56663,0.65771
indian,0.65942,0.30978
indian,0.49457,0.97778
indian,0.48663,0.96154
indian,0.70543,0.23618
indian,0.65562,0.31176
indian,0.47396,1
indian,0.53279,0.71073
indian,0.46429,0
indian,0.52299,0.91156
indian,0.47396,1
indian,0.55828,0.69025
indian,0.51822,0.92567
indian,0.48353,1
indian,0.46429,0
indian,0.49136,0.98718
indian,0.53846,0.84185
indian,0.48404,0.92857
indian,0.59168,0.52943
indian,0.46193,1
indian,0.47053,1
indian,0.48872,1
indian,0.49349,1
indian,0.33729,0
indian,0.57595,0.52352
indian,0.55018,0.65002
indian,0.52601,0.94209
indian,0.61653,0.42708
indian,0.52969,0.90383
indian,0.51181,0.99194
indian,0.60586,0.45687
indian,0.5391,0.78913
indian,0.49945,0.98947
indian,0.49083,0.87273
indian,0.51763,0.79918
indian,0.50055,0.99567
indian,0.51066,0.89677
indian,0.47895,1
indian,0.47694,1
indian,0.51354,0.92308
indian,0.59245,0.52389
indian,0.50612,0.98268
indian,0.48715,0.87619
indian,0.47445,1
indian,0.48404,1
indian,0.47644,0.97222
indian,0.50499,0.99715
indian,0.46006,1
indian,0.54819,0.76772
indian,0.46429,0
indian,0.38723,1
indian,0.66423,0.30077
indian,0.47844,1
indian,0.50276,0.93846
indian,0.41102,1
indian,0.48872,1
indian,0.56242,0.69326
indian,0.4882,0.96429
indian,0.49242,1
indian,0.40265,1
indian,0.49781,1
indian,0.54231,0.76421
indian,0.47996,1
indian,0.46956,1
indian,0.62672,0.39106
indian,0.39157,1
indian,0.48456,0.92857
indian,0.54819,0.79289
indian,0.50388,0.97537
indian,0.55897,0.68792
indian,0.49727,0.875
indian,0.46006,1
indian,0.4825,1
indian,0.51239,0.97297
indian,0.47844,1
indian,0.4989,0.99
indian,0.50952,0.94624
indian,0.49296,1
indian,0.5254,0.88612
indian,0.51124,0.91494
indian,0.47996,1
indian,0.47495,1
indian,0.51239,0.95544
indian,0.54038,0.68797
indian,0.56034,0.5968
indian,0.49836,0.92754
indian,0.50838,0.95565
indian,0.52784,0.87083
indian,0.48097,1
indian,0.48715,0.96429
indian,0.48301,0.96429
indian,0.58862,0.50624
indian,0.54688,0.70965
indian,0.50221,0.98
indian,0.51822,0.89641
indian,0.47101,1
indian,0.49564,1
indian,0.49618,0.97794
indian,0.50443,0.95402
indian,0.50499,0.9943
indian,0.48301,1
indian,0.48456,1
indian,0.40373,1
indian,0.4951,0.96703
indian,0.50781,0.98387
indian,0.49672,1
indian,0.4715,1
indian,0.46381,1
indian,0.46099,1
indian,0.76988,0.17539
indian,0.41858,1
indian,0.54361,0.83493
indian,0.53719,0.83627
indian,0.48611,1
indian,0.48199,1
indian,0.49136,1
indian,0.54167,0.76712
indian,0.39947,0
indian,0.66912,0.28559
indian,0.49136,0.95455
indian,0.48456,1
indian,0.50443,0.99638
indian,0.51646,0.94309
indian,0.48507,1
indian,0.55018,0.63009
indian,0.53341,0.84241
indian,0.5011,0.94872
indian,0.51529,0.96728
indian,0.48925,1
indian,0.48767,1
indian,0.47945,1
indian,0.47594,1
indian,0.6157,0.4223
indian,0.48611,1
indian,0.48611,1
indian,0.84572,0.1336
indian,0.52601,0.8987
indian,0.4715,0.85897
indian,0.50952,0.97581
indian,0.4825,1
indian,0.61821,0.39965
indian,0.46429,0
indian,0.49618,1
indian,0.56522,0.58498
indian,0.52969,0.86341
indian,0.50055,0.97
indian,0.52969,0.87235
indian,0.48977,0.97802
indian,0.68731,0.25399
indian,0.48148,0.80952
indian,0.5254,0.93312
indian,0.37854,0
indian,0.51181,0.96613
indian,0.49349,0.91429
indian,0.46956,1
indian,0.37822,1
indian,0.47396,1
indian,0.50668,0.97634
indian,0.48611,1
indian,0.46429,0
indian,0.48507,1
indian,0.45637,0.90952
indian,0.48715,1
indian,0.48404,1
indian,0.46859,1
indian,0.47347,1
indian,0.50388,0.95157
indian,0.5,0.97794
indian,0.5871,0.55052
indian,0.47844,1
indian,0.49189,1
indian,0.47945,0.95238
indian,0.56242,0.69066
indian,0.48046,1
indian,0.47495,1
indian,0.47445,0.8
indian,0.51181,0.86809
indian,0.47101,0.69118
indian,0.51587,0.95349
indian,0.50165,0.99474
indian,0.56592,0.58902
indian,0.47945,0.86667
indian,0.50221,0.8498
indian,0.52969,0.79486
indian,0.4989,0.90643
indian,0.47396,1
indian,0.62759,0.37621
indian,0.48715,1
indian,0.39497,0.66667
indian,0.49836,0.96667
indian,0.51881,0.91585
indian,0.48046,1
indian,0.39497,1
indian,0.45867,0
indian,0.4903,0.95833
indian,0.4903,1
indian,0.48404,1
indian,0.56312,0.66926
indian,0.40088,0.71429
indian,0.51297,0.97647
indian,0.46429,0
indian,0.49403,1
indian,0.47347,1
indian,0.48507,1
indian,0.4825,1
indian,0.48977,0.95455
indian,0.50895,0.91872
indian,0.48353,1
indian,0.49945,0.96316
indian,0.63459,0.35787
indian,0.47744,0.71014
indian,0.41065,0
indian,0.49618,1
indian,0.5871,0.52872
indian,0.46381,0.97222
indian,0.55152,0.74632
indian,0.48559,1
indian,0.50725,0.96782
indian,0.53974,0.75381
indian,0.61074,0.43023
indian,0.48404,0.85714
indian,0.50838,0.76303
indian,0.46429,0
indian,0.59014,0.49086
indian,0.47794,1
indian,0.48559,1
indian,0.4903,0.98095
indian,0.54952,0.72815
indian,0.48977,0.96364
indian,0.51181,0.92513
indian,0.48559,1
indian,0.50952,0.85027
indian,0.46956,1
indian,0.49296,0.99346
indian,0.5254,0.9461
indian,0.46476,1
indian,0.36111,0
indian,0.64175,0.34512
indian,0.59399,0.47945
indian,0.5,0.99605
chinese,0.4639,1
chinese,0.44539,1
chinese,0.47906,0.98901
chinese,0.4676,1
chinese,0.52815,0.64414
chinese,0.48351,0.93333
chinese,0.484,1
chinese,0.54726,0.69304
chinese,0.48251,0.99346
chinese,0.49735,0.98864
chinese,0.42025,1
chinese,0.52111,0.81999
chinese,0.46344,1
chinese,0.50539,0.92283
chinese,0.44038,1
chinese,0.52053,0.89661
chinese,0.44709,0.5
chinese,0.53114,0.75391
chinese,0.51201,0.93816
chinese,0.34384,0.33333
chinese,0.47278,1
chinese,0.47566,1
chinese,0.34209,0
chinese,0.63636,0.33543
chinese,0.48753,0.97835
chinese,0.53723,0.64835
chinese,0.52053,0.88022
chinese,0.34209,0
chinese,0.40997,0.4697
chinese,0.54918,0.68779
chinese,0.51823,0.82745
chinese,0.47374,0.98718
chinese,0.32123,0
chinese,0.77649,0.15715
chinese,0.52697,0.83011
chinese,0.47808,1
chinese,0.49473,0.86333
chinese,0.48551,0.94211
chinese,0.47711,0.95455
chinese,0.51425,0.9151
chinese,0.50593,0.90592
chinese,0.46482,1
chinese,0.57405,0.54564
chinese,0.48753,0.97826
chinese,0.43832,0.92857
chinese,0.67,0.26202
chinese,0.45623,1
chinese,0.51652,0.56078
chinese,0.40085,0.66667
chinese,0.58846,0.42057
chinese,0.46116,1
chinese,0.49735,0.95269
chinese,0.39915,1
chinese,0.49213,0.62154
chinese,0.42367,1
chinese,0.53846,0.76129
chinese,0.5397,0.68087
chinese,0.51482,0.86348
chinese,0.56848,0.51258
chinese,0.51089,0.94352
chinese,0.40747,1
chinese,0.5678,0.51416
chinese,0.49473,0.98276
chinese,0.48956,0.75263
chinese,0.44329,1
chinese,0.51652,0.91558
chinese,0.44966,1
chinese,0.38601,0
chinese,0.51369,0.88384
chinese,0.46574,1
chinese,0.52344,0.78306
chinese,0.56235,0.56717
chinese,0.43107,0.66667
chinese,0.47857,1
chinese,0.37193,0.8
chinese,0.41578,1
chinese,0.45623,1
chinese,0.43955,1
chinese,0.44795,1
chinese,0.51938,0.86933
chinese,0.50376,0.86349
chinese,0.46161,1
chinese,0.38889,1
chinese,0.50868,0.91787
chinese,0.47278,0.625
chinese,0.54854,0.64585
chinese,0.58261,0.4889
chinese,0.6532,0.29538
chinese,0.45712,1
chinese,0.53478,0.70475
chinese,0.53175,0.53819
chinese,0.38696,1
chinese,0.50214,0.87344
chinese,0.45712,1
chinese,0.41431,0
chinese,0.54662,0.69144
chinese,0.46482,1
chinese,0.39379,0.8
chinese,0.49213,0.95157
chinese,0.49947,0.80952
chinese,0.48753,0.8366
chinese,0.5637,0.63193
chinese,0.49473,0.99524
chinese,0.46116,1
chinese,0.60516,0.39645
chinese,0.41875,1
chinese,0.48103,0.99346
chinese,0.49265,0.97826
chinese,0.32145,0
chinese,0.52227,0.66038
chinese,0.51034,0.84921
chinese,0.47183,1
chinese,0.47614,1
chinese,0.58333,0.4991
chinese,0.60205,0.38277
chinese,0.68268,0.23083
chinese,0.47614,0.98182
chinese,0.51766,0.77358
chinese,0.40431,0
chinese,0.4963,0.97011
chinese,0.43386,0.8
chinese,0.52111,0.91073
chinese,0.4662,1
chinese,0.39181,1
chinese,0.50053,0.99053
chinese,0.47041,1
chinese,0.52994,0.69271
chinese,0.51034,0.88792
chinese,0.50376,0.98655
chinese,0.45801,1
chinese,0.33912,0
chinese,0.35131,1
chinese,0.48501,1
chinese,0.62784,0.30836
chinese,0.48053,0.94118
chinese,0.47614,0.92424
chinese,0.56574,0.58856
chinese,0.50539,0.79144
chinese,0.55967,0.53645
chinese,0.51257,0.68707
chinese,0.37222,0.83333
chinese,0.48004,0.99167
chinese,0.4911,0.98947
chinese,0.363,0
chinese,0.49265,0.86325
chinese,0.49368,0.80871
chinese,0.4639,1
chinese,0.49682,0.73333
chinese,0.43832,0
chinese,0.56848,0.57972
chinese,0.41578,1
chinese,0.4963,0.92333
chinese,0.49265,1
chinese,0.4676,1
chinese,0.54157,0.67298
chinese,0.48351,0.99346
chinese,0.44923,1
chinese,0.45935,1
chinese,0.40606,0
chinese,0.45314,1
chinese,0.42792,0.66667
chinese,0.44966,1
chinese,0.34844,1
chinese,0.40154,0.8
chinese,0.71277,0.20318
chinese,0.52697,0.79917
chinese,0.49735,0.98
chinese,0.484,1
chinese,0.46252,1
chinese,0.48152,1
chinese,0.67775,0.24647
chinese,0.47808,0.9697
chinese,0.50539,0.61862
chinese,0.54282,0.72063
chinese,0.63464,0.34445
chinese,0.37281,0
chinese,0.49265,0.71345
chinese,0.45846,1
chinese,0.48103,0.75163
chinese,0.47136,1
chinese,0.54095,0.71722
chinese,0.46026,1
chinese,0.4845,0.96324
chinese,0.47136,1
chinese,0.5252,0.62295
chinese,0.55635,0.64237
chinese,0.42025,1
chinese,0.48501,1
chinese,0.60205,0.42811
chinese,0.4747,0.7033
chinese,0.50539,0.73992
chinese,0.52053,0.69562
chinese,0.6083,0.40144
chinese,0.50107,0.94872
chinese,0.45183,1
chinese,0.46713,1
chinese,0.47326,1
chinese,0.42063,0.46429
chinese,0.50539,0.92982
chinese,0.47422,0.9359
chinese,0.4676,1
chinese,0.40017,0.93333
chinese,0.63636,0.33125
chinese,0.46713,0.74026
chinese,0.51201,0.72938
chinese,0.79357,0.14852
chinese,0.52285,0.83942
chinese,0.48803,0.64706
chinese,0.54918,0.62927
chinese,0.4911,0.99048
chinese,0.40961,1
chinese,0.46528,1
chinese,0.53846,0.75301
chinese,0.47808,1
chinese,0.47326,1
chinese,0.4911,0.97403
chinese,0.43832,0
chinese,0.61792,0.35725
chinese,0.45935,1
chinese,0.50703,0.87429
chinese,0.48501,1
chinese,0.60128,0.42864
chinese,0.50813,0.89852
chinese,0.60516,0.40608
chinese,0.52285,0.71121
chinese,0.4662,0.92857
chinese,0.62869,0.35451
chinese,0.45446,1
chinese,0.45935,1
chinese,0.47711,1
chinese,0.50978,0.86667
chinese,0.4942,0.84828
chinese,0.4776,1
chinese,0.53235,0.66479
