Cuisine, Degree, Avg Neig Degree
indian,0.50499,0.028784
indian,0.4989,0.02417
indian,0.43541,0.0012911
indian,0.54296,0.065698
indian,0.49189,0.018322
indian,0.60667,0.094824
indian,0.455,0.003851
indian,0.43541,0.0012911
indian,0.51412,0.031817
indian,0.55966,0.080119
indian,0.48199,0.0063018
indian,0.47895,0.0060193
indian,0.47694,0.0039474
indian,0.47895,0.0085858
indian,0.4903,0.016759
indian,0.56452,0.078501
indian,0.48507,0.010155
indian,0.50952,0.034086
indian,0.34706,0.00047187
indian,0.49618,0.021008
indian,0.47594,0.0048249
indian,0.34444,0.00043798
indian,0.4596,0.0026112
indian,0.47996,0.0076696
indian,0.47844,0.0051774
indian,0.52419,0.048379
indian,0.51763,0.040046
indian,0.52419,0.049292
indian,0.59555,0.093361
indian,0.48663,0.011754
indian,0.49672,0.012863
indian,0.4882,0.0099152
indian,0.49727,0.019354
indian,0.40991,0.0022016
indian,0.41553,0.0053005
indian,0.40018,0.0020867
indian,0.61737,0.10735
indian,0.49836,0.017124
indian,0.51181,0.035496
indian,0.50725,0.028746
indian,0.5391,0.056403
indian,0.52601,0.051409
indian,0.49457,0.021531
indian,0.40053,0.0021069
indian,0.52059,0.04642
indian,0.50276,0.024228
indian,0.53467,0.056649
indian,0.5254,0.046374
indian,0.47694,0.0062347
indian,0.53341,0.056431
indian,0.49242,0.014253
indian,0.52,0.035873
indian,0.52359,0.041996
indian,0.49945,0.023532
indian,0.48097,0.0078587
indian,0.56034,0.077398
indian,0.47844,0.014025
indian,0.47544,0.0060817
indian,0.33285,0.00016441
indian,0.5254,0.040811
indian,0.66038,0.1192
indian,0.46476,0.0023915
indian,0.50165,0.025958
indian,0.54296,0.055922
indian,0.52299,0.048312
indian,0.50165,0.021631
indian,0.4882,0.01272
indian,0.51066,0.034554
indian,0.47744,0.0087024
indian,0.65374,0.11666
indian,0.38171,0.0017145
indian,0.51705,0.040133
indian,0.325,0.00026273
indian,0.47945,0.0039765
indian,0.49727,0.01276
indian,0.54231,0.060487
indian,0.53467,0.057174
indian,0.50556,0.02477
indian,0.49349,0.011041
indian,0.48148,0.0070673
indian,0.46524,0.0026778
indian,0.40516,0.0011796
indian,0.47945,0.0039765
indian,0.51124,0.037595
indian,0.50952,0.035356
indian,0.49136,0.010263
indian,0.47495,0.0046907
indian,0.38494,0.0010526
indian,0.42925,0.0097923
indian,0.49618,0.021906
indian,0.54361,0.060579
indian,0.61156,0.10573
indian,0.47396,0.0026563
indian,0.47744,0.0039409
indian,0.56875,0.08402
indian,0.55556,0.07199
indian,0.383,0.0015026
indian,0.51066,0.034578
indian,0.52359,0.046733
indian,0.49296,0.01447
indian,0.49781,0.024005
indian,0.47495,0.003687
indian,0.48456,0.0075127
indian,0.51822,0.04022
indian,0.68012,0.12287
indian,0.52299,0.042891
indian,0.53279,0.055156
indian,0.48404,0.0088876
indian,0.44132,0.002501
indian,0.69572,0.12603
indian,0.45867,0.0013267
indian,0.47694,0.0050717
indian,0.59399,0.09411
indian,0.50556,0.028512
indian,0.4825,0.0097568
indian,0.52662,0.051351
indian,0.5576,0.07554
indian,0.71654,0.12812
indian,0.46571,0.0038478
indian,0.51941,0.034164
indian,0.48872,0.015377
indian,0.50556,0.032625
indian,0.5254,0.049676
indian,0.58408,0.092635
indian,0.50221,0.02128
indian,0.53092,0.049147
indian,0.53592,0.053987
indian,0.54952,0.071543
indian,0.47844,0.0085678
indian,0.51009,0.030312
indian,0.57888,0.073397
indian,0.51066,0.027868
indian,0.55218,0.07412
indian,0.41743,0.0032435
indian,0.63725,0.11091
indian,0.48925,0.016763
indian,0.51471,0.040808
indian,0.51412,0.032795
indian,0.50055,0.024544
indian,0.53467,0.054445
indian,0.47844,0.0072245
indian,0.48925,0.011935
indian,0.52723,0.050458
indian,0.49136,0.012581
indian,0.49564,0.021088
indian,0.53092,0.051339
indian,0.49672,0.02509
indian,0.51471,0.034954
indian,0.54952,0.069779
indian,0.53846,0.064842
indian,0.40053,0.0021069
indian,0.52059,0.043603
indian,0.48199,0.007209
indian,0.4825,0.0079821
indian,0.47694,0.0040897
indian,0.48767,0.011884
indian,0.48046,0.0049268
indian,0.5576,0.077581
indian,0.58634,0.093592
indian,0.41781,0.00123
indian,0.51297,0.039412
indian,0.48404,0.009793
indian,0.4825,0.0070206
indian,0.86502,0.1385
indian,0.46715,0.0055573
indian,0.58483,0.090007
indian,0.54885,0.071326
indian,0.50838,0.029306
indian,0.39394,0.0019931
indian,0.52662,0.049059
indian,0.38203,0.0023873
indian,0.51354,0.036676
indian,0.48097,0.0052065
indian,0.48507,0.0088272
indian,0.59947,0.10189
indian,0.37791,0.00091039
indian,0.49083,0.012717
indian,0.57595,0.090057
indian,0.47694,0.0037393
indian,0.51822,0.038605
indian,0.47794,0.0056458
indian,0.56382,0.081832
indian,0.50276,0.029124
indian,0.54426,0.062021
indian,0.57814,0.08862
indian,0.50055,0.017561
indian,0.47996,0.0051684
indian,0.46429,0.0013297
indian,0.48507,0.0086726
indian,0.41326,0.0026708
indian,0.55828,0.076333
indian,0.50556,0.02747
