Cuisine, Degree, Avg Neig Degree
indian,0.057143,221.9615
indian,0.048352,224.2273
indian,0.0021978,320
indian,0.17802,136.3086
indian,0.035165,245.0625
indian,0.35604,90.8704
indian,0.010989,155.2
indian,0.0021978,320
indian,0.087912,149.375
indian,0.23297,123.0943
indian,0.010989,312
indian,0.010989,283.2
indian,0.0065934,359.3333
indian,0.015385,280.5714
indian,0.030769,265.2143
indian,0.23956,117.9266
indian,0.021978,221.2
indian,0.076923,186
indian,0.0021978,59
indian,0.043956,216.7
indian,0.010989,211
indian,0.0021978,50
indian,0.0043956,335
indian,0.015385,235.2857
indian,0.0087912,338.75
indian,0.13187,142.7167
indian,0.092308,177.7857
indian,0.11429,170.6346
indian,0.32527,98.4392
indian,0.026374,207.9167
indian,0.024176,262.8182
indian,0.01978,259.4444
indian,0.041758,205.4211
indian,0.0043956,209.5
indian,0.013187,147
indian,0.0043956,188
indian,0.38681,92
indian,0.046154,165.2857
indian,0.079121,186.3333
indian,0.07033,170.4062
indian,0.17363,120.7595
indian,0.12308,164.6964
indian,0.046154,208.5714
indian,0.0065934,126.3333
indian,0.10989,167.8
indian,0.059341,168.7407
indian,0.14286,152.9231
indian,0.10989,166.68
indian,0.013187,220.5
indian,0.13846,157.7937
indian,0.026374,264.5
indian,0.094505,153.6512
indian,0.11209,146.1765
indian,0.048352,218.7273
indian,0.015385,251.2857
indian,0.22418,124.5392
indian,0.032967,172.8667
indian,0.010989,281.2
indian,0.0021978,21
indian,0.11209,144.2745
indian,0.49011,78.5561
indian,0.0043956,286
indian,0.054945,209.36
indian,0.16044,133.9589
indian,0.11648,164.1887
indian,0.050549,180.5217
indian,0.024176,264.7273
indian,0.076923,187.7429
indian,0.015385,291.7143
indian,0.47033,80.6869
indian,0.0065934,87.6667
indian,0.094505,173.814
indian,0.0065934,14.3333
indian,0.0065934,369.3333
indian,0.035165,162.1875
indian,0.16923,136.039
indian,0.14945,145.1324
indian,0.052747,202.0833
indian,0.021978,237.6
indian,0.013187,276
indian,0.0065934,208.6667
indian,0.0021978,242
indian,0.0065934,369.3333
indian,0.085714,181.5128
indian,0.076923,190.2286
indian,0.01978,257.4444
indian,0.0087912,270.75
indian,0.0021978,183
indian,0.026374,132.6667
indian,0.048352,200.1818
indian,0.17143,133.9872
indian,0.37363,94.7176
indian,0.0043956,379
indian,0.0065934,351.6667
indian,0.25275,116.8
indian,0.20879,126.5263
indian,0.0043956,123.5
indian,0.076923,188.9714
indian,0.10549,178.0625
indian,0.030769,225.1429
indian,0.048352,223.0455
indian,0.0065934,311.3333
indian,0.013187,312.5
indian,0.087912,189.325
indian,0.53187,73.9711
indian,0.10549,164.8958
indian,0.13626,156.1452
indian,0.015385,314.8571
indian,0.0043956,289.5
indian,0.56923,69.9459
indian,0.0021978,373
indian,0.0087912,315.75
indian,0.31868,101.4207
indian,0.059341,209.3333
indian,0.01978,242.3333
indian,0.12308,162.8393
indian,0.21758,126.9596
indian,0.60879,65.9928
indian,0.0065934,323.3333
indian,0.096703,144.0455
indian,0.028571,261.0769
indian,0.072527,187.9697
indian,0.11429,172.6731
indian,0.2967,107.563
indian,0.046154,207.1905
indian,0.12967,150.1017
indian,0.14505,143.697
indian,0.1956,133.191
indian,0.015385,281.4286
indian,0.072527,174.0606
indian,0.27253,96.9677
indian,0.063736,186
indian,0.1978,136.8556
indian,0.0087912,157.25
indian,0.43736,83.2161
indian,0.032967,243.2667
indian,0.10549,150.6667
indian,0.072527,192.8788
indian,0.048352,227.0909
indian,0.14725,141.4328
indian,0.013187,269.6667
indian,0.026374,213.75
indian,0.12088,164
indian,0.026374,215.9167
indian,0.041758,231.6842
indian,0.13846,142.3016
indian,0.050549,220.8696
indian,0.076923,194.3714
indian,0.19121,134.3793
indian,0.16264,148.8378
indian,0.0065934,126.3333
indian,0.10769,160.5102
indian,0.013187,288.1667
indian,0.017582,222.375
indian,0.010989,168.2
indian,0.021978,269.5
indian,0.013187,194.5
indian,0.22637,122.6311
indian,0.3033,105.6884
indian,0.0021978,277
indian,0.085714,190.3846
indian,0.017582,288.625
indian,0.013187,292.6667
indian,0.84615,50.0883
indian,0.010989,250.8
indian,0.2989,104.0147
indian,0.1978,131.5778
indian,0.057143,229.3846
indian,0.0043956,169.5
indian,0.11429,170.8654
indian,0.0087912,87
indian,0.083516,181.4211
indian,0.0087912,346.25
indian,0.017582,233.5
indian,0.34945,97.8176
indian,0.0021978,162
indian,0.024176,257.4545
indian,0.27473,113.728
indian,0.0065934,301.3333
indian,0.094505,163.9302
indian,0.013187,215.6667
indian,0.23516,124.1402
indian,0.059341,213.7407
indian,0.16923,139.3636
indian,0.28132,109.8906
indian,0.041758,182.6842
indian,0.0087912,339.75
indian,0.0021978,385
indian,0.01978,192.8889
indian,0.0065934,160.3333
indian,0.21758,126.5556
indian,0.054945,222.64
indian,0.015385,289.8571
indian,0.10989,166.96
indian,0.0087912,146.25
indian,0.010989,338.8
indian,0.032967,129.0667
indian,0.10549,174.9167
indian,0.19341,137.7841
indian,0.048352,203.7727
indian,0.38462,92.5657
indian,0.76923,55.0257
indian,0.11868,153.1111
indian,0.10769,164.898
indian,0.0021978,162
indian,0.4022,90.3279
indian,0.059341,169.2963
indian,0.015385,318.5714
indian,0.14945,156.2941
indian,0.013187,283.6667
indian,0.028571,244.7692
indian,0.1011,180.2609
indian,0.01978,267.5556
indian,0.054945,142.24
indian,0.021978,185.7
indian,0.072527,204.2121
indian,0.24176,122.0455
indian,0.49011,79.0628
indian,0.021978,245.8
indian,0.028571,181.3077
indian,0.58462,68.7932
indian,0.48132,79.3379
indian,0.0043956,379
indian,0.13187,140.15
indian,0.0021978,385
indian,0.10769,172.898
indian,0.0043956,379
indian,0.22857,125.6731
indian,0.092308,170.7143
indian,0.017582,223.625
indian,0.0021978,385
indian,0.028571,241
indian,0.15604,151.7887
indian,0.017582,208.875
indian,0.31648,106.1389
indian,0.017582,139.5
indian,0.0065934,304.3333
indian,0.01978,284.5556
indian,0.026374,269.5
indian,0.0021978,35
indian,0.27033,108.7398
indian,0.2022,123.6739
indian,0.12088,168.2909
indian,0.38242,93.8563
indian,0.13407,159.3607
indian,0.07033,202.0312
indian,0.35604,96.9321
indian,0.15604,148.0704
indian,0.043956,225.85
indian,0.024176,239.6364
indian,0.10989,155.32
indian,0.048352,213.9545
indian,0.068132,184.0323
indian,0.0087912,281.75
indian,0.0065934,359.3333
indian,0.085714,179.1026
indian,0.31648,105.5764
indian,0.048352,217.1818
indian,0.032967,158.8
indian,0.0065934,255
indian,0.013187,317
indian,0.01978,173.1111
indian,0.059341,207.5185
indian,0.0043956,316
indian,0.18901,137.2907
indian,0.0021978,385
indian,0.0087912,121.5
indian,0.4989,77.8194
indian,0.010989,291.4
indian,0.057143,196.7692
indian,0.0065934,173.6667
indian,0.017582,302.75
indian,0.23297,125.5377
indian,0.017582,215.5
indian,0.028571,266.2308
indian,0.0043956,186.5
indian,0.037363,236.7647
indian,0.16703,141.9605
indian,0.0087912,296.75
indian,0.0043956,292
indian,0.41099,89.2781
indian,0.0087912,109.25
indian,0.017582,242.75
indian,0.18462,141.869
indian,0.063736,205.1034
indian,0.22198,126.1584
indian,0.035165,204.875
indian,0.0043956,316
indian,0.013187,290.5
indian,0.081319,184.2973
indian,0.010989,276.2
indian,0.054945,219.24
indian,0.068132,193.1613
indian,0.035165,236.6875
indian,0.11429,166.2115
indian,0.065934,187.7667
indian,0.0087912,331.75
