Cuisine,degree,betweeness
indian,0.057143,0
indian,0.048352,2.06e-07
indian,0.0021978,0
indian,0.17802,0.00030599
indian,0.035165,0
indian,0.35604,0.028225
indian,0.010989,1.0415e-06
indian,0.0021978,0
indian,0.087912,0.00024001
indian,0.23297,0.0010755
indian,0.010989,0
indian,0.010989,0
indian,0.0065934,0
indian,0.015385,0
indian,0.030769,0
indian,0.23956,0.0019649
indian,0.021978,0
indian,0.076923,1.6389e-05
indian,0.0021978,0
indian,0.043956,5.5142e-06
indian,0.010989,0
indian,0.0021978,0
indian,0.0043956,0
indian,0.015385,0
indian,0.0087912,0
indian,0.13187,0.00048137
indian,0.092308,2.7588e-05
indian,0.11429,3.2577e-05
indian,0.32527,0.0058076
indian,0.026374,0
indian,0.024176,0
indian,0.01978,0
indian,0.041758,1.257e-06
indian,0.0043956,0
indian,0.013187,0
indian,0.0043956,0
indian,0.38681,0.0068656
indian,0.046154,0.0043996
indian,0.079121,1.0047e-05
indian,0.07033,8.8703e-05
indian,0.17363,0.0015349
indian,0.12308,9.6754e-05
indian,0.046154,1.1469e-06
indian,0.0065934,0
indian,0.10989,4.1384e-05
indian,0.059341,7.1369e-06
indian,0.14286,0.00023794
indian,0.10989,3.0241e-05
indian,0.013187,0
indian,0.13846,8.8674e-05
indian,0.026374,0
indian,0.094505,0.00011225
indian,0.11209,0.0002471
indian,0.048352,6.571e-07
indian,0.015385,0
indian,0.22418,0.0009233
indian,0.032967,4.6131e-07
indian,0.010989,0
indian,0.0021978,0
indian,0.11209,0.00029562
indian,0.49011,0.017127
indian,0.0043956,0
indian,0.054945,1.2709e-05
indian,0.16044,0.00079162
indian,0.11648,0.00012919
indian,0.050549,5.4359e-05
indian,0.024176,3.7238e-07
indian,0.076923,5.6046e-06
indian,0.015385,0
indian,0.47033,0.016671
indian,0.0065934,0
indian,0.094505,3.9299e-05
indian,0.0065934,1.2001e-05
indian,0.0065934,0
indian,0.035165,5.0334e-05
indian,0.16923,0.002334
indian,0.14945,0.00017696
indian,0.052747,4.5175e-07
indian,0.021978,0
indian,0.013187,0
indian,0.0065934,4.4009e-07
indian,0.0021978,0
indian,0.0065934,0
indian,0.085714,2.3834e-05
indian,0.076923,2.2919e-06
indian,0.01978,6.0217e-07
indian,0.0087912,0
indian,0.0021978,0
indian,0.026374,1.4238e-07
indian,0.048352,9.205e-06
indian,0.17143,0.001097
indian,0.37363,0.0094585
indian,0.0043956,0
indian,0.0065934,0
