Cuisine,degree,closeness
indian,0.057143,0.50499
indian,0.048352,0.4989
indian,0.0021978,0.43541
indian,0.17802,0.54296
indian,0.035165,0.49189
indian,0.35604,0.60667
indian,0.010989,0.455
indian,0.0021978,0.43541
indian,0.087912,0.51412
indian,0.23297,0.55966
indian,0.010989,0.48199
indian,0.010989,0.47895
indian,0.0065934,0.47694
indian,0.015385,0.47895
indian,0.030769,0.4903
indian,0.23956,0.56452
indian,0.021978,0.48507
indian,0.076923,0.50952
indian,0.0021978,0.34706
indian,0.043956,0.49618
indian,0.010989,0.47594
indian,0.0021978,0.34444
indian,0.0043956,0.4596
indian,0.015385,0.47996
indian,0.0087912,0.47844
indian,0.13187,0.52419
indian,0.092308,0.51763
indian,0.11429,0.52419
indian,0.32527,0.59555
indian,0.026374,0.48663
indian,0.024176,0.49672
indian,0.01978,0.4882
indian,0.041758,0.49727
indian,0.0043956,0.40991
indian,0.013187,0.41553
indian,0.0043956,0.40018
indian,0.38681,0.61737
indian,0.046154,0.49836
indian,0.079121,0.51181
indian,0.07033,0.50725
indian,0.17363,0.5391
indian,0.12308,0.52601
indian,0.046154,0.49457
indian,0.0065934,0.40053
indian,0.10989,0.52059
indian,0.059341,0.50276
indian,0.14286,0.53467
indian,0.10989,0.5254
indian,0.013187,0.47694
indian,0.13846,0.53341
indian,0.026374,0.49242
indian,0.094505,0.52
indian,0.11209,0.52359
indian,0.048352,0.49945
indian,0.015385,0.48097
indian,0.22418,0.56034
indian,0.032967,0.47844
indian,0.010989,0.47544
indian,0.0021978,0.33285
indian,0.11209,0.5254
indian,0.49011,0.66038
indian,0.0043956,0.46476
indian,0.054945,0.50165
indian,0.16044,0.54296
indian,0.11648,0.52299
indian,0.050549,0.50165
indian,0.024176,0.4882
indian,0.076923,0.51066
indian,0.015385,0.47744
indian,0.47033,0.65374
indian,0.0065934,0.38171
indian,0.094505,0.51705
indian,0.0065934,0.325
indian,0.0065934,0.47945
indian,0.035165,0.49727
indian,0.16923,0.54231
indian,0.14945,0.53467
indian,0.052747,0.50556
indian,0.021978,0.49349
indian,0.013187,0.48148
indian,0.0065934,0.46524
indian,0.0021978,0.40516
indian,0.0065934,0.47945
indian,0.085714,0.51124
indian,0.076923,0.50952
indian,0.01978,0.49136
indian,0.0087912,0.47495
indian,0.0021978,0.38494
indian,0.026374,0.42925
indian,0.048352,0.49618
indian,0.17143,0.54361
indian,0.37363,0.61156
indian,0.0043956,0.47396
indian,0.0065934,0.47744
indian,0.25275,0.56875
indian,0.20879,0.55556
indian,0.0043956,0.383
indian,0.076923,0.51066
indian,0.10549,0.52359
indian,0.030769,0.49296
indian,0.048352,0.49781
indian,0.0065934,0.47495
indian,0.013187,0.48456
indian,0.087912,0.51822
indian,0.53187,0.68012
indian,0.10549,0.52299
indian,0.13626,0.53279
indian,0.015385,0.48404
indian,0.0043956,0.44132
indian,0.56923,0.69572
indian,0.0021978,0.45867
indian,0.0087912,0.47694
indian,0.31868,0.59399
indian,0.059341,0.50556
indian,0.01978,0.4825
indian,0.12308,0.52662
indian,0.21758,0.5576
indian,0.60879,0.71654
indian,0.0065934,0.46571
indian,0.096703,0.51941
indian,0.028571,0.48872
indian,0.072527,0.50556
indian,0.11429,0.5254
indian,0.2967,0.58408
indian,0.046154,0.50221
indian,0.12967,0.53092
indian,0.14505,0.53592
indian,0.1956,0.54952
indian,0.015385,0.47844
indian,0.072527,0.51009
indian,0.27253,0.57888
indian,0.063736,0.51066
indian,0.1978,0.55218
indian,0.0087912,0.41743
indian,0.43736,0.63725
indian,0.032967,0.48925
indian,0.10549,0.51471
indian,0.072527,0.51412
indian,0.048352,0.50055
indian,0.14725,0.53467
indian,0.013187,0.47844
indian,0.026374,0.48925
indian,0.12088,0.52723
indian,0.026374,0.49136
indian,0.041758,0.49564
indian,0.13846,0.53092
indian,0.050549,0.49672
indian,0.076923,0.51471
indian,0.19121,0.54952
indian,0.16264,0.53846
indian,0.0065934,0.40053
indian,0.10769,0.52059
indian,0.013187,0.48199
indian,0.017582,0.4825
indian,0.010989,0.47694
indian,0.021978,0.48767
indian,0.013187,0.48046
indian,0.22637,0.5576
indian,0.3033,0.58634
indian,0.0021978,0.41781
indian,0.085714,0.51297
indian,0.017582,0.48404
indian,0.013187,0.4825
indian,0.84615,0.86502
indian,0.010989,0.46715
indian,0.2989,0.58483
indian,0.1978,0.54885
indian,0.057143,0.50838
indian,0.0043956,0.39394
indian,0.11429,0.52662
indian,0.0087912,0.38203
indian,0.083516,0.51354
indian,0.0087912,0.48097
indian,0.017582,0.48507
indian,0.34945,0.59947
indian,0.0021978,0.37791
indian,0.024176,0.49083
indian,0.27473,0.57595
indian,0.0065934,0.47694
indian,0.094505,0.51822
indian,0.013187,0.47794
indian,0.23516,0.56382
indian,0.059341,0.50276
indian,0.16923,0.54426
indian,0.28132,0.57814
indian,0.041758,0.50055
indian,0.0087912,0.47996
indian,0.0021978,0.46429
indian,0.01978,0.48507
indian,0.0065934,0.41326
indian,0.21758,0.55828
indian,0.054945,0.50556
indian,0.015385,0.48715
indian,0.10989,0.5248
indian,0.0087912,0.41401
indian,0.010989,0.48199
indian,0.032967,0.44783
indian,0.10549,0.52119
indian,0.19341,0.54952
indian,0.048352,0.49836
indian,0.38462,0.61653
indian,0.76923,0.8125
indian,0.11868,0.5254
indian,0.10769,0.5248
indian,0.0021978,0.37791
indian,0.4022,0.625
indian,0.059341,0.50725
indian,0.015385,0.48456
indian,0.14945,0.53719
indian,0.013187,0.46907
