Cuisine,degree,clusCoeff
indian,26,1
indian,22,0.99567
indian,1,0
indian,81,0.74784
indian,16,1
indian,162,0.38931
indian,5,0.9
indian,1,0
indian,40,0.77436
indian,106,0.65624
indian,5,1
indian,5,1
indian,3,1
indian,7,1
indian,14,1
indian,109,0.5948
indian,10,1
indian,35,0.92269
indian,1,0
indian,20,0.95789
indian,5,1
indian,1,0
indian,2,1
indian,7,1
indian,4,1
indian,60,0.71525
indian,42,0.91521
indian,52,0.92081
indian,148,0.45532
indian,12,1
indian,11,1
indian,9,1
indian,19,0.97076
indian,2,1
indian,6,1
indian,2,1
indian,176,0.41032
indian,21,0.8619
indian,36,0.93968
indian,32,0.84879
indian,79,0.59331
indian,56,0.87208
indian,21,0.98571
indian,3,1
indian,50,0.88898
indian,27,0.94587
indian,65,0.81635
indian,50,0.90857
indian,6,1
indian,63,0.85714
indian,12,1
indian,43,0.76855
indian,51,0.77333
indian,22,0.99134
indian,7,1
indian,102,0.65657
indian,15,0.98095
indian,5,1
indian,1,0
indian,51,0.72235
indian,223,0.30534
indian,2,1
indian,25,0.95333
indian,73,0.67808
indian,53,0.86792
indian,23,0.917
indian,11,0.98182
indian,35,0.9563
indian,7,1
indian,214,0.32092
indian,3,1
indian,43,0.89701
indian,3,0.33333
indian,3,1
indian,16,0.825
indian,77,0.68524
indian,68,0.78227
indian,24,0.98913
indian,10,1
indian,6,1
indian,3,0.66667
indian,1,0
indian,3,1
indian,39,0.92443
indian,35,0.98319
indian,9,0.97222
indian,4,1
indian,1,0
indian,12,0.98485
indian,22,0.92641
indian,78,0.67999
indian,170,0.43314
indian,2,1
indian,3,1
indian,115,0.60763
indian,95,0.65398
indian,2,1
indian,35,0.95126
indian,48,0.9539
indian,14,0.94505
indian,22,0.98701
indian,3,1
indian,6,1
indian,40,0.96538
indian,242,0.27204
indian,48,0.87057
indian,62,0.86251
indian,7,1
indian,2,1
indian,259,0.24402
indian,1,0
indian,4,1
indian,145,0.47979
indian,27,0.98006
indian,9,0.97222
indian,56,0.90325
indian,99,0.65821
indian,277,0.21789
indian,3,1
indian,44,0.75899
indian,13,1
indian,33,0.94129
indian,52,0.94344
indian,135,0.53742
indian,21,0.93333
indian,59,0.75395
indian,66,0.74639
indian,89,0.73212
indian,7,1
indian,33,0.9072
indian,124,0.41424
indian,29,0.93103
indian,90,0.77228
indian,4,0.66667
indian,199,0.33897
indian,15,0.98095
indian,48,0.83422
indian,33,0.92235
indian,22,1
indian,67,0.74717
indian,6,1
indian,12,0.98485
indian,55,0.89293
indian,12,1
indian,19,1
indian,63,0.74757
indian,23,0.99605
indian,35,0.92941
indian,87,0.73323
indian,74,0.8619
indian,3,1
indian,49,0.87755
indian,6,1
indian,8,0.85714
indian,5,0.9
indian,10,1
indian,6,0.6
indian,103,0.65467
indian,138,0.52259
indian,1,0
indian,39,0.97436
indian,8,1
indian,6,1
indian,385,0.12576
indian,5,1
indian,136,0.50087
indian,90,0.71586
indian,26,1
indian,2,1
indian,52,0.9178
indian,4,0.83333
indian,38,0.92888
indian,4,1
indian,8,1
indian,159,0.46031
indian,1,0
indian,11,1
indian,125,0.59639
indian,3,1
indian,43,0.86822
indian,6,1
indian,107,0.67008
indian,27,0.9943
indian,77,0.73718
indian,128,0.55069
indian,19,0.90643
indian,4,1
indian,1,0
indian,9,0.94444
indian,3,1
indian,99,0.67512
indian,25,1
indian,7,1
indian,50,0.85143
indian,4,1
indian,5,1
indian,15,0.87619
indian,48,0.94149
indian,88,0.7594
indian,22,0.85714
indian,175,0.41471
indian,350,0.1517
indian,54,0.73235
indian,49,0.80612
indian,1,0
indian,183,0.39699
indian,27,0.849
indian,7,1
indian,68,0.89421
indian,6,1
indian,13,0.92308
indian,46,0.94106
indian,9,1
indian,25,0.82333
indian,10,0.93333
indian,33,0.98106
indian,110,0.65771
indian,223,0.30978
indian,10,0.97778
indian,13,0.96154
indian,266,0.23618
indian,219,0.31176
indian,2,1
indian,60,0.71073
indian,1,0
indian,49,0.91156
indian,2,1
indian,104,0.69025
indian,42,0.92567
indian,8,1
indian,1,0
indian,13,0.98718
indian,71,0.84185
indian,8,0.92857
indian,144,0.52943
indian,8,1
indian,3,1
indian,9,1
indian,12,1
indian,1,0
indian,123,0.52352
indian,92,0.65002
indian,55,0.94209
indian,174,0.42708
indian,61,0.90383
indian,32,0.99194
indian,162,0.45687
indian,71,0.78913
indian,20,0.98947
indian,11,0.87273
indian,50,0.79918
indian,22,0.99567
indian,31,0.89677
indian,4,1
indian,3,1
indian,39,0.92308
indian,144,0.52389
indian,22,0.98268
indian,15,0.87619
indian,3,1
indian,6,1
indian,9,0.97222
indian,27,0.99715
indian,2,1
indian,86,0.76772
indian,1,0
indian,4,1
indian,227,0.30077
indian,5,1
indian,26,0.93846
indian,3,1
indian,8,1
indian,106,0.69326
indian,8,0.96429
indian,13,1
indian,2,1
indian,17,1
indian,76,0.76421
indian,4,1
indian,2,1
indian,187,0.39106
indian,4,1
indian,8,0.92857
indian,84,0.79289
indian,29,0.97537
indian,101,0.68792
indian,16,0.875
indian,2,1
indian,6,1
indian,37,0.97297
indian,5,1
indian,25,0.99
indian,31,0.94624
indian,16,1
indian,52,0.88612
indian,30,0.91494
indian,4,1
indian,4,1
indian,34,0.95544
indian,77,0.68797
indian,103,0.5968
indian,24,0.92754
indian,32,0.95565
indian,53,0.87083
indian,4,1
indian,8,0.96429
indian,8,0.96429
indian,142,0.50624
indian,89,0.70965
indian,25,0.98
indian,44,0.89641
indian,3,1
indian,16,1
indian,17,0.97794
indian,30,0.95402
indian,27,0.9943
indian,5,1
indian,6,1
indian,3,1
indian,14,0.96703
indian,32,0.98387
indian,17,1
indian,7,1
indian,3,1
indian,3,1
indian,320,0.17539
indian,2,1
indian,77,0.83493
indian,67,0.83627
indian,13,1
indian,8,1
indian,12,1
indian,73,0.76712
indian,1,0
indian,233,0.28559
indian,12,0.95455
indian,9,1
indian,24,0.99638
indian,42,0.94309
indian,8,1
indian,88,0.63009
indian,62,0.84241
indian,27,0.94872
indian,38,0.96728
indian,15,1
indian,15,1
indian,5,1
indian,6,1
indian,174,0.4223
indian,10,1
indian,8,1
indian,373,0.1336
indian,56,0.8987
indian,13,0.85897
indian,32,0.97581
indian,7,1
indian,177,0.39965
indian,1,0
indian,16,1
indian,108,0.58498
indian,57,0.86341
indian,25,0.97
indian,58,0.87235
indian,14,0.97802
indian,251,0.25399
indian,7,0.80952
indian,56,0.93312
indian,2,0
indian,34,0.96613
indian,15,0.91429
indian,6,1
indian,2,1
indian,2,1
indian,31,0.97634
indian,9,1
indian,1,0
indian,10,1
indian,21,0.90952
indian,10,1
indian,7,1
indian,3,1
indian,5,1
indian,27,0.95157
indian,17,0.97794
indian,139,0.55052
indian,4,1
indian,14,1
indian,7,0.95238
indian,105,0.69066
