Cuisine,degree,comm
indian,0.057143,0.043195
indian,0.048352,0.030456
indian,0.0021978,8.5492e-05
indian,0.17802,0.22502
indian,0.035165,0.0175
indian,0.35604,0.46877
indian,0.010989,0.00077177
indian,0.0021978,8.5492e-05
indian,0.087912,0.052774
indian,0.23297,0.33465
indian,0.010989,0.002069
indian,0.010989,0.0018875
indian,0.0065934,0.00081097
indian,0.015385,0.0038418
indian,0.030769,0.014642
indian,0.23956,0.32127
indian,0.021978,0.0053745
indian,0.076923,0.060573
indian,0.0021978,1.0199e-05
indian,0.043956,0.023007
indian,0.010989,0.0012123
indian,0.0021978,8.5912e-06
indian,0.0043956,0.00035407
indian,0.015385,0.0030653
indian,0.0087912,0.0013961
indian,0.13187,0.12202
indian,0.092308,0.083606
indian,0.11429,0.12667
indian,0.32527,0.45441
indian,0.026374,0.007201
indian,0.024176,0.0086244
indian,0.01978,0.0051241
indian,0.041758,0.019528
indian,0.0043956,0.00025128
indian,0.013187,0.0014633
indian,0.0043956,0.0002256
indian,0.38681,0.60083
indian,0.046154,0.015286
indian,0.079121,0.065688
indian,0.07033,0.043078
indian,0.17363,0.16585
indian,0.12308,0.13779
indian,0.046154,0.024167
indian,0.0065934,0.00023002
indian,0.10989,0.11234
indian,0.059341,0.030603
indian,0.14286,0.1673
indian,0.10989,0.11212
indian,0.013187,0.0020251
indian,0.13846,0.16602
indian,0.026374,0.01059
indian,0.094505,0.067088
indian,0.11209,0.091948
indian,0.048352,0.028868
indian,0.015385,0.0032184
indian,0.22418,0.3123
indian,0.032967,0.010253
indian,0.010989,0.0019269
indian,0.0021978,0
indian,0.11209,0.086831
indian,0.49011,0.74079
indian,0.0043956,0.00029676
indian,0.054945,0.035127
indian,0.16044,0.16303
indian,0.11648,0.12169
indian,0.050549,0.024393
indian,0.024176,0.0084342
indian,0.076923,0.062246
indian,0.015385,0.0039469
indian,0.47033,0.70951
indian,0.0065934,0.00015184
indian,0.094505,0.083968
indian,0.0065934,2.1896e-06
indian,0.0065934,0.00082298
indian,0.035165,0.0084865
indian,0.16923,0.19074
indian,0.14945,0.17042
indian,0.052747,0.031985
