Cuisine,degree,eigen
indian,0.057143,0.028784
indian,0.048352,0.02417
indian,0.0021978,0.0012911
indian,0.17802,0.065698
indian,0.035165,0.018322
indian,0.35604,0.094824
indian,0.010989,0.003851
indian,0.0021978,0.0012911
indian,0.087912,0.031817
indian,0.23297,0.080119
indian,0.010989,0.0063018
indian,0.010989,0.0060193
indian,0.0065934,0.0039474
indian,0.015385,0.0085858
indian,0.030769,0.016759
indian,0.23956,0.078501
indian,0.021978,0.010155
indian,0.076923,0.034086
indian,0.0021978,0.00047187
indian,0.043956,0.021008
indian,0.010989,0.0048249
indian,0.0021978,0.00043798
indian,0.0043956,0.0026112
indian,0.015385,0.0076696
indian,0.0087912,0.0051774
indian,0.13187,0.048379
indian,0.092308,0.040046
indian,0.11429,0.049292
indian,0.32527,0.093361
indian,0.026374,0.011754
indian,0.024176,0.012863
indian,0.01978,0.0099152
indian,0.041758,0.019354
indian,0.0043956,0.0022016
indian,0.013187,0.0053005
indian,0.0043956,0.0020867
indian,0.38681,0.10735
indian,0.046154,0.017124
indian,0.079121,0.035496
indian,0.07033,0.028746
indian,0.17363,0.056403
indian,0.12308,0.051409
indian,0.046154,0.021531
indian,0.0065934,0.0021069
indian,0.10989,0.04642
indian,0.059341,0.024228
indian,0.14286,0.056649
indian,0.10989,0.046374
indian,0.013187,0.0062347
indian,0.13846,0.056431
indian,0.026374,0.014253
indian,0.094505,0.035873
indian,0.11209,0.041996
indian,0.048352,0.023532
indian,0.015385,0.0078587
indian,0.22418,0.077398
indian,0.032967,0.014025
indian,0.010989,0.0060817
indian,0.0021978,0.00016441
indian,0.11209,0.040811
indian,0.49011,0.1192
indian,0.0043956,0.0023915
indian,0.054945,0.025958
indian,0.16044,0.055922
indian,0.11648,0.048312
indian,0.050549,0.021631
indian,0.024176,0.01272
indian,0.076923,0.034554
indian,0.015385,0.0087024
indian,0.47033,0.11666
indian,0.0065934,0.0017145
indian,0.094505,0.040133
indian,0.0065934,0.00026273
indian,0.0065934,0.0039765
indian,0.035165,0.01276
indian,0.16923,0.060487
indian,0.14945,0.057174
indian,0.052747,0.02477
indian,0.021978,0.011041
indian,0.013187,0.0070673
indian,0.0065934,0.0026778
indian,0.0021978,0.0011796
indian,0.0065934,0.0039765
indian,0.085714,0.037595
indian,0.076923,0.035356
indian,0.01978,0.010263
indian,0.0087912,0.0046907
indian,0.0021978,0.0010526
indian,0.026374,0.0097923
indian,0.048352,0.021906
indian,0.17143,0.060579
indian,0.37363,0.10573
indian,0.0043956,0.0026563
indian,0.0065934,0.0039409
indian,0.25275,0.08402
indian,0.20879,0.07199
indian,0.0043956,0.0015026
indian,0.076923,0.034578
indian,0.10549,0.046733
indian,0.030769,0.01447
indian,0.048352,0.024005
indian,0.0065934,0.003687
indian,0.013187,0.0075127
indian,0.087912,0.04022
indian,0.53187,0.12287
indian,0.10549,0.042891
indian,0.13626,0.055156
indian,0.015385,0.0088876
indian,0.0043956,0.002501
indian,0.56923,0.12603
indian,0.0021978,0.0013267
indian,0.0087912,0.0050717
indian,0.31868,0.09411
indian,0.059341,0.028512
indian,0.01978,0.0097568
indian,0.12308,0.051351
indian,0.21758,0.07554
indian,0.60879,0.12812
indian,0.0065934,0.0038478
indian,0.096703,0.034164
indian,0.028571,0.015377
indian,0.072527,0.032625
indian,0.11429,0.049676
indian,0.2967,0.092635
indian,0.046154,0.02128
indian,0.12967,0.049147
indian,0.14505,0.053987
indian,0.1956,0.071543
indian,0.015385,0.0085678
indian,0.072527,0.030312
indian,0.27253,0.073397
indian,0.063736,0.027868
indian,0.1978,0.07412
indian,0.0087912,0.0032435
indian,0.43736,0.11091
indian,0.032967,0.016763
indian,0.10549,0.040808
indian,0.072527,0.032795
indian,0.048352,0.024544
indian,0.14725,0.054445
indian,0.013187,0.0072245
indian,0.026374,0.011935
indian,0.12088,0.050458
indian,0.026374,0.012581
indian,0.041758,0.021088
indian,0.13846,0.051339
indian,0.050549,0.02509
indian,0.076923,0.034954
indian,0.19121,0.069779
indian,0.16264,0.064842
indian,0.0065934,0.0021069
indian,0.10769,0.043603
indian,0.013187,0.007209
indian,0.017582,0.0079821
indian,0.010989,0.0040897
indian,0.021978,0.011884
indian,0.013187,0.0049268
indian,0.22637,0.077581
indian,0.3033,0.093592
indian,0.0021978,0.00123
indian,0.085714,0.039412
indian,0.017582,0.009793
indian,0.013187,0.0070206
indian,0.84615,0.1385
indian,0.010989,0.0055573
indian,0.2989,0.090007
indian,0.1978,0.071326
indian,0.057143,0.029306
indian,0.0043956,0.0019931
indian,0.11429,0.049059
indian,0.0087912,0.0023873
indian,0.083516,0.036676
indian,0.0087912,0.0052065
indian,0.017582,0.0088272
indian,0.34945,0.10189
indian,0.0021978,0.00091039
indian,0.024176,0.012717
indian,0.27473,0.090057
indian,0.0065934,0.0037393
indian,0.094505,0.038605
indian,0.013187,0.0056458
indian,0.23516,0.081832
indian,0.059341,0.029124
indian,0.16923,0.062021
indian,0.28132,0.08862
indian,0.041758,0.017561
indian,0.0087912,0.0051684
indian,0.0021978,0.0013297
indian,0.01978,0.0086726
indian,0.0065934,0.0026708
indian,0.21758,0.076333
indian,0.054945,0.02747
indian,0.015385,0.0084558
indian,0.10989,0.045618
indian,0.0087912,0.0034121
indian,0.010989,0.0064911
indian,0.032967,0.011714
indian,0.10549,0.046159
indian,0.19341,0.072302
indian,0.048352,0.021898
indian,0.38462,0.10713
indian,0.76923,0.1375
indian,0.11868,0.045036
indian,0.10769,0.043713
indian,0.0021978,0.00091039
indian,0.4022,0.10964
indian,0.059341,0.023654
indian,0.015385,0.0089311
indian,0.14945,0.061446
indian,0.013187,0.0074096
indian,0.028571,0.014378
indian,0.1011,0.044901
indian,0.01978,0.010496
indian,0.054945,0.019804
indian,0.021978,0.0089055
indian,0.072527,0.034699
indian,0.24176,0.083279
indian,0.49011,0.12055
indian,0.021978,0.011025
indian,0.028571,0.011571
indian,0.58462,0.12744
indian,0.48132,0.11852
