Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
onion,0,148,625,28
parsley,1,144,607,28
thyme,2,128,313,28
carrot,3,116,543,28
bay_leaf,4,113,278,28
shallot,5,105,513,28
tomato,6,105,505,28
butter,7,103,463,28
spring_onion,8,98,448,28
white,9,92,427,28
garlic,10,91,438,28
celery,11,90,455,28
white_wine,12,90,440,28
egg,13,84,324,28
potato,14,80,364,28
flour,15,80,212,28
mushroom,16,78,347,28
lemon,17,74,287,28
peppercorn,18,73,317,28
egg_yolk,19,71,250,28
red_pepper,20,70,294,28
milk,21,66,149,28
heavy_cream,22,66,149,28
orange,23,60,150,25
chicken_stock,24,59,182,28
veal,25,58,211,28
nutmeg,26,56,207,28
bacon,27,55,138,27
tarragon,28,54,199,28
poulet,29,54,198,28
vinegar,30,52,138,27
basil,31,52,84,28
pork,32,52,86,24
sugar,33,52,70,17
cream,34,45,65,28
chive,35,44,77,28
fish,36,43,74,25
chervil,37,41,50,27
tomato_paste,38,41,76,27
boeuf,39,39,52,25
cinnamon,40,38,53,19
bread,41,37,60,28
fennel,42,35,52,24
apple,43,35,38,19
coriander_seed,44,34,38,23
red_wine,45,33,44,21
truffle,46,32,30,25
white_pepper,47,32,18,27
almond,48,32,35,15
rice,49,31,25,23
white_turnip,50,30,20,21
ginger,51,30,38,19
vegetable_oil,52,30,19,23
olive_oil,53,30,28,22
jambon,54,30,18,25
caper,55,29,15,23
stock,56,29,16,23
duck,57,28,22,21
saffron,58,28,20,22
rosemary,59,28,16,22
castor_sugar,60,27,21,14
brandy,61,26,22,20
spinach,62,25,8,23
jelly,63,25,9,20
double_cream,64,23,7,19
oregano,65,22,12,18
pea,66,22,9,17
herb,67,22,6,20
lamb,68,22,8,19
sweet_pepper,69,22,6,20
anchovy,70,21,9,17
mussel,71,21,8,18
shrimp,72,21,6,19
sherry,73,21,4,20
juniper_berry,74,20,7,17
shoulder,75,20,4,19
peanut_oil,76,20,8,18
chilli,77,20,11,16
lobster,78,19,4,18
beef_stock,79,19,8,17
vanilla_bean,80,19,9,14
whipping_cream,81,18,4,16
lime,82,17,7,14
pastry,83,17,10,12
sage,84,17,8,15
fennel_seed,85,17,2,17
allspice,86,17,8,14
rum,87,16,7,13
dark_chocolate,88,16,7,12
wine_vinegar,89,16,4,15
globe_artichoke,90,15,2,15
sausage,91,15,3,14
asparagus,92,15,2,15
black_olive,93,14,4,13
green_bean,94,14,4,13
kirsch,95,14,6,11
apricot,96,14,3,13
honey,97,14,6,10
rabbit,98,14,4,13
vanilla_extract,99,14,5,12
foie_gras,100,13,4,12
pasta,101,13,4,11
raspberry,102,13,5,11
salmon,103,13,2,13
chicken_liver,104,13,4,12
celery_root,105,13,2,13
fillet,106,13,2,13
star_anise,107,13,4,12
strawberry,108,12,6,10
raisin,109,12,2,12
chou,110,12,2,12
watercress,111,12,1,13
lettuce,112,12,3,11
mint,113,12,5,9
soy_sauce,114,11,3,10
cucumber,115,11,3,10
white_bread,116,11,1,12
lard,117,10,4,9
leg,118,10,4,9
liver,119,10,2,10
eggplant,120,10,3,9
cumin_seed,121,10,1,11
pear,122,10,1,11
baguette,123,10,2,10
goose,124,10,2,10
spiny_lobster,125,10,2,10
vegetable_marrow,126,9,2,9
white_bean,127,9,2,9
meat,128,9,2,9
coffee,129,9,2,9
vegetable,130,8,1,9
walnut,131,8,3,7
salt,132,8,4,7
green_pepper,133,7,1,8
savory,134,7,2,7
mace,135,7,2,7
cocoa_powder,136,7,1,8
sole,137,7,1,8
parsnip,138,7,2,7
cocoa,139,6,1,7
demiglace,140,6,1,7
wood_sorrel,141,6,1,7
scallop,142,6,1,7
pork_belly,143,6,2,6
cherry,144,6,1,7
chestnut,145,6,2,6
mayonnaise,146,5,2,5
oyster,147,5,1,6
berry,148,5,2,5
green_olive,149,5,2,5
grain,150,5,1,6
salt_pork,151,5,2,5
plain_flour,152,5,1,6
fatback,153,4,2,4
dill_weed,154,4,2,4
currant,155,4,2,4
salt_cod,156,4,1,5
patty,157,4,1,5
hazelnut,158,3,2,3
almond_extract,159,3,1,4
tuna,160,3,1,4
pie_shell,161,3,2,3
venison,162,3,1,4
peach,163,3,1,4
dry_vermouth,164,3,1,4
curry_powder,165,3,1,4
cider,166,3,1,4
haricot,167,3,1,4
arrowroot,168,2,1,3
soured_cream,169,2,1,3
mustard_greens,170,2,1,3
red_onion,171,2,1,3
rump,172,2,1,3
water,173,2,1,3
fava_bean,174,2,1,3
crabmeat,175,2,1,3
beetroot,176,2,1,3
squid,177,2,1,3
gherkin,178,2,1,3
lentil,179,2,1,3
walnut_oil,180,1,1,2
pine_nut,181,1,1,2
steak,182,1,1,2
tongue,183,1,1,2
red_currant,184,1,1,2
buckwheat,185,1,1,2
fig,186,1,1,2
sauerkraut,187,1,1,2
whole_wheat_flour,188,1,1,2
sweet,189,1,1,2
beer,190,1,1,2
buttermilk,191,1,1,2
loin,192,1,1,2
pork_loin,193,1,1,2
pineapple,194,1,1,2
orange_juice,195,1,1,2
wine,196,1,1,2
orange_peel,197,1,1,2
corn,198,1,1,2
sesame_oil,199,1,1,2
chorizo,200,1,1,2
cauliflower,201,1,1,2
prosciutto,202,1,1,2
eel,203,1,1,2
cherry tomato,204,1,1,2
green,205,1,1,2
instant_coffee,206,1,1,2
macaroni,207,1,1,2
pie,208,1,1,2
tomato_sauce,209,1,1,2
corn_syrup,210,1,1,2
bean,211,1,1,2
goat_cheese,212,1,1,2
snail,213,1,1,2
spaghetti,214,1,1,2
cornmeal,215,1,1,2
cardamon,216,1,1,2
mutton,217,1,1,2
banana,218,1,1,2
icing_sugar,219,1,1,2
tart,220,1,1,2
canola_oil,221,1,1,2
