node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
lemon_juice,15,0.013611615245,0.435636793702,6.52062776671e-08,0.00426648163418,2.7737487604e+101,469.333333333,0.952380952381
pheasant,150,0.13611615245,0.482952254565,0.000560396014632,0.0340562358335,1.76736946472e+103,330.6,0.746308724832
whiting,137,0.124319419238,0.47901085967,9.81103490098e-05,0.0306445787523,1.43100615967e+103,325.532846715,0.753327608416
sunflower_oil,167,0.151542649728,0.487228533521,0.000263989855192,0.0374182573677,2.13354344881e+103,325.269461078,0.712574850299
mackerel,119,0.107985480944,0.472836713251,0.000105036865481,0.0281525024268,1.20772091581e+103,351.74789916,0.786355220054
ale,49,0.0444646098004,0.453825752615,0.00162537586909,0.0124878608988,2.37632068749e+102,403.959183673,0.834183673469
roe,172,0.156079854809,0.488580443991,0.000340522174616,0.036467792207,2.02653429246e+103,306.11627907,0.663742690058
tartar_sauce,30,0.02722323049,0.433491856264,8.8782607906e-06,0.00661267305746,6.66329525203e+101,319.666666667,0.804597701149
wood_sorrel,246,0.223230490018,0.50979847138,0.000516282268342,0.04887647817,3.64030560685e+103,274.31300813,0.590741662519
claret,50,0.0453720508167,0.453125043784,5.19090620078e-06,0.0122424498253,2.28384962157e+102,378.12,0.852244897959
anchovy_sauce,17,0.0154264972777,0.424504320189,0.0,0.00370612207776,2.09302611721e+101,317.764705882,1.0
poppy_seed,81,0.073502722323,0.464112788652,5.43029865079e-05,0.018745233614,5.35444455999e+102,350.172839506,0.762962962963
fish_steak,10,0.00907441016334,0.423891169992,2.0216575083e-07,0.00296963153065,1.3437788553e+101,513.0,0.911111111111
freshwater_fish,29,0.0263157894737,0.443984851272,1.32778805924e-07,0.00896188764542,1.2238346609e+102,522.103448276,0.98275862069
liquorice,34,0.0308529945554,0.447368882151,4.96987649956e-05,0.00899969937471,1.23419441749e+102,429.0,0.877005347594
crystallized_fruit,94,0.0852994555354,0.464847919785,4.70462339235e-05,0.0186166218666,5.28127197734e+102,286.595744681,0.721574010524
corn cob,3,0.002722323049,0.414511280637,0.0,0.00099975444703,1.52302650179e+100,607.333333333,1.0
grape,239,0.216878402904,0.508033444935,0.000991581700693,0.04756839459,3.4480520787e+103,280.686192469,0.585246650962
flounder,88,0.0798548094374,0.464357573878,1.52298860884e-05,0.021756021267,7.2125689162e+102,376.829545455,0.852403343783
peanut,176,0.159709618875,0.489939877614,0.000356772045936,0.0362790132519,2.00560947674e+103,297.903409091,0.633636363636
muscadine,10,0.00907441016334,0.419648217384,4.30797674718e-08,0.00255847514321,9.97453560298e+100,404.1,0.933333333333
sashimi,62,0.0562613430127,0.45289195477,9.87353943807e-06,0.0148662165167,3.36769976969e+102,358.935483871,0.83712321523
geranium,33,0.029945553539,0.444657555592,1.0742559981e-06,0.0085710765895,1.11944008336e+102,403.666666667,0.890151515152
tournedos,51,0.046279491833,0.452659105436,1.33916936972e-06,0.0141247096212,3.04009408064e+102,439.647058824,0.94431372549
starter,30,0.02722323049,0.442868189171,1.43314181731e-05,0.00718136433037,7.85858830812e+101,374.733333333,0.889655172414
couscous,126,0.114337568058,0.475646655901,4.99026069549e-05,0.0291132200776,1.29155959685e+103,337.571428571,0.765333333333
black_olive,294,0.266787658802,0.524372817196,0.0011323725825,0.0549890024313,4.6077716951e+103,253.850340136,0.522114647907
cress,98,0.0889292196007,0.466572315884,1.96107181406e-05,0.0242850219337,8.98687890384e+102,371.153061224,0.847675152535
pork_belly,223,0.202359346642,0.50281094236,0.000254600702613,0.0465010924423,3.29505991056e+103,291.30044843,0.650628206682
ingredient,539,0.489110707804,0.614390760693,0.0117269048398,0.0785547908524,9.40347887549e+103,189.582560297,0.301749763778
lingonberry,8,0.00725952813067,0.416275158427,0.0,0.00224380783856,7.67183236593e+100,475.375,1.0
malmsey,6,0.005444646098,0.37965586894,0.0,0.00117054461663,2.08792567043e+100,269.166666667,1.0
shank,21,0.019056261343,0.433065400921,1.15941761549e-07,0.00614356393671,5.75129567541e+101,487.285714286,0.985714285714
lima_bean,86,0.0780399274047,0.465093481285,4.54028537053e-05,0.0209301133554,6.67534420847e+102,373.523255814,0.799726402189
castor_sugar,356,0.323049001815,0.544815569352,0.00265759148156,0.0607680113029,5.62716314342e+103,232.696629213,0.435068840006
rump_steak,51,0.046279491833,0.453825752615,3.77041218339e-06,0.0134977615044,2.77620764782e+102,418.235294118,0.889411764706
kidney_bean,104,0.0943738656987,0.464112788652,3.17801890203e-05,0.0236290122873,8.5079624041e+102,326.576923077,0.790515309933
quince,109,0.0989110707804,0.470310876107,8.76879605288e-05,0.0237427259453,8.59002972292e+102,325.174311927,0.731396534149
poultry,63,0.057168784029,0.455704948278,4.80855893294e-06,0.0162572641087,4.02739849807e+102,398.936507937,0.911418330773
demiglace,201,0.182395644283,0.496571889494,0.000170261535516,0.0427921554003,2.7903900645e+103,299.189054726,0.674527363184
edible,53,0.0480943738657,0.456177181385,6.97350158056e-06,0.0131560552602,2.63742636994e+102,397.018867925,0.825834542816
