node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
lemon_juice,15,0.013611615245,0.435636793702,2.15902433594e-07,0.00415846903431,8.2404884449e+99,457.066666667,0.685714285714
pheasant,150,0.13611615245,0.482952254565,0.000566364114083,0.0343602692199,5.62589159724e+101,326.92,0.721610738255
whiting,137,0.124319419238,0.47901085967,0.000106392682044,0.0308651680069,4.53957891626e+101,321.671532847,0.726170030056
sunflower_oil,167,0.151542649728,0.487228533521,0.000275725149052,0.0378513719885,6.82717520767e+101,322.101796407,0.694322198976
mackerel,119,0.107985480944,0.472836713251,0.000126582209125,0.0283129502194,3.81988180906e+101,347.302521008,0.75032046717
ale,49,0.0444646098004,0.453825752615,0.00162611196474,0.0123890103187,7.31402889705e+100,396.448979592,0.732142857143
roe,172,0.156079854809,0.488580443991,0.000365529662294,0.036827403437,6.46278312508e+101,302.906976744,0.644974840201
tartar_sauce,30,0.02722323049,0.433491856264,9.40104489045e-06,0.00662949101201,2.09429766301e+100,315.066666667,0.770114942529
wood_sorrel,246,0.223230490018,0.50979847138,0.000536014475377,0.049569704699,1.17086650912e+102,272.069105691,0.581582877053
claret,50,0.0453720508167,0.453125043784,5.83181757551e-06,0.0122226712617,7.11891418596e+100,372.14,0.788571428571
anchovy_sauce,17,0.0154264972777,0.424504320189,6.15692000425e-09,0.0037576045849,6.72820396819e+99,315.058823529,0.992647058824
poppy_seed,81,0.073502722323,0.464112788652,6.02085596792e-05,0.0188610856141,1.6951680924e+101,345.913580247,0.730555555556
fish_steak,10,0.00907441016334,0.423891169992,2.89743755469e-07,0.00288206357476,3.95819628787e+99,499.2,0.577777777778
freshwater_fish,29,0.0263157894737,0.443984851272,8.24489178624e-07,0.00870316833128,3.60947551667e+100,507.827586207,0.605911330049
liquorice,34,0.0308529945554,0.447368882151,5.00749438788e-05,0.00895054111304,3.81753421529e+100,421.558823529,0.778966131907
crystallized_fruit,94,0.0852994555354,0.464847919785,4.81377316741e-05,0.0188260535104,1.68886172611e+101,283.904255319,0.708991077557
corn cob,3,0.002722323049,0.414511280637,1.31349578565e-08,0.000971357599314,4.49624555814e+98,592.0,0.666666666667
grape,239,0.216878402904,0.508033444935,0.0010220220475,0.0482427351086,1.10902008029e+102,278.376569038,0.575542350832
flounder,88,0.0798548094374,0.464357573878,1.69149936493e-05,0.0217251146907,2.24908330755e+101,370.818181818,0.78631138976
peanut,176,0.159709618875,0.489939877614,0.000363461398837,0.0367209094645,6.42545154359e+101,295.159090909,0.62
muscadine,10,0.00907441016334,0.419648217384,6.80954287597e-08,0.0025156266656,3.01561051527e+99,394.9,0.8
sashimi,62,0.0562613430127,0.45289195477,1.04496828333e-05,0.0149887700086,1.07056137183e+101,354.85483871,0.808038075093
geranium,33,0.029945553539,0.444657555592,1.29026453163e-06,0.00856429482482,3.49514539294e+100,397.393939394,0.82196969697
tournedos,51,0.046279491833,0.452659105436,2.19018333175e-06,0.0140228372837,9.37035593376e+100,431.529411765,0.82431372549
starter,30,0.02722323049,0.442868189171,1.56384887545e-05,0.00715754609711,2.44123685832e+100,368.6,0.825287356322
couscous,126,0.114337568058,0.475646655901,5.18491933994e-05,0.0293901680107,4.11606697134e+101,333.920634921,0.741206349206
black_olive,294,0.266787658802,0.524372817196,0.00117037920802,0.055841139361,1.48587468087e+102,251.972789116,0.515706623947
cress,98,0.0889292196007,0.466572315884,2.09434455365e-05,0.0244592497366,2.85079779737e+101,366.693877551,0.811697875026
pork_belly,223,0.202359346642,0.50281094236,0.00026004502455,0.0471463116836,1.05918302398e+102,288.825112108,0.639478043065
ingredient,516,0.468239564428,0.602203803059,0.0112422902524,0.0726577230444,2.51553969293e+102,171.147286822,0.255226913524
lingonberry,8,0.00725952813067,0.416275158427,4.8581819947e-08,0.00216251537015,2.22845937502e+99,461.0,0.642857142857
malmsey,6,0.005444646098,0.37965586894,0.0,0.00120474242975,6.91609935446e+98,269.166666667,1.0
shank,21,0.019056261343,0.433065400921,3.01323400331e-07,0.00603533412405,1.73576171345e+100,476.333333333,0.771428571429
lima_bean,86,0.0780399274047,0.465093481285,5.13772417594e-05,0.0209085009712,2.08318382621e+101,367.639534884,0.736525307798
castor_sugar,356,0.323049001815,0.544815569352,0.00273543148071,0.0617673049973,1.81798584935e+102,231.146067416,0.430701060294
rump_steak,51,0.046279491833,0.453825752615,4.68119637899e-06,0.0133741400365,8.52345680286e+100,410.117647059,0.769411764706
kidney_bean,104,0.0943738656987,0.464112788652,3.28772692812e-05,0.0238591314255,2.71260938595e+101,323.038461538,0.768110530246
quince,109,0.0989110707804,0.470310876107,9.42242791377e-05,0.0238812226405,2.71763896381e+101,321.165137615,0.702344546381
poultry,63,0.057168784029,0.455704948278,5.83716637709e-06,0.0161849398815,1.24825950441e+101,392.0,0.823860727087
demiglace,201,0.182395644283,0.496571889494,0.000173668691266,0.0433570008666,8.95765624923e+101,296.55721393,0.661940298507
edible,53,0.0480943738657,0.456177181385,7.97700375118e-06,0.0130459030595,8.11020090457e+100,389.641509434,0.727140783745
porgy,51,0.046279491833,0.447141676015,5.13974586071e-06,0.0132254199672,8.3349437978e+100,400.490196078,0.821176470588
red_snapper,101,0.0916515426497,0.466819703114,4.04016217342e-05,0.0241915704565,2.78874114415e+101,351.277227723,0.769504950495
nectar,40,0.0362976406534,0.451035840201,2.21525263077e-06,0.0106713196181,5.42650477771e+100,424.225,0.803846153846
asparagus,308,0.279491833031,0.528464561868,0.00119029761309,0.0584788330885,1.62956184605e+102,251.448051948,0.513981132874
ratafia,12,0.010889292196,0.423483386278,2.07597097899e-07,0.00315580175603,4.74574907807e+99,423.5,0.681818181818
cane_sugar,87,0.0789473684211,0.462163758568,3.64811593807e-05,0.0185832739349,1.64559107527e+101,311.126436782,0.715049452018
smoked_haddock,58,0.0526315789474,0.455233691868,2.44988591396e-06,0.0160315122482,1.22471021385e+101,433.465517241,0.826981246219
guar gum,20,0.0181488203267,0.432852487745,8.53608954856e-07,0.00470551469638,1.05510383674e+100,356.2,0.847368421053
prosciutto,229,0.20780399274,0.504829105546,0.000529904793052,0.0483314849274,1.11310469029e+102,289.19650655,0.627710104957
haricot,163,0.147912885662,0.484813854666,0.0001465839987,0.0357423443165,6.0875585926e+101,306.944785276,0.68385972885
quahog,10,0.00907441016334,0.421860067117,1.50269799339e-07,0.00249289220845,2.96137517018e+99,409.8,0.711111111111
beet_green,55,0.0499092558984,0.45405980406,2.94086913628e-06,0.0144752405272,9.984695566e+100,405.527272727,0.806060606061
pea_flour,1,0.000907441016334,0.287343981747,0.0,1.79591121837e-05,1.53677193113e+95,17.0,0.0
porterhouse,26,0.0235934664247,0.440431195634,3.51087615534e-07,0.00707232095753,2.38346817676e+100,438.384615385,0.833846153846
rack,27,0.024500907441,0.437368087468,2.53201969936e-07,0.00799367309753,3.04494425137e+100,477.592592593,0.840455840456
dessert_wine,29,0.0263157894737,0.442200884014,1.50309257785e-06,0.00733808743313,2.56595494302e+100,402.482758621,0.766009852217
king_crab,41,0.0372050816697,0.450574186322,1.51853168326e-06,0.0105816932923,5.33573558832e+100,407.414634146,0.819512195122
pork,396,0.359346642468,0.558643375681,0.00310023539688,0.0681397262802,2.21244534823e+102,223.252525253,0.413706687124
sultana,146,0.132486388385,0.480842140946,0.000113683877896,0.0314550403927,4.71474041787e+101,308.095890411,0.667359470949
tomato_sauce,184,0.166969147005,0.491306897362,0.000273715165938,0.0383788671361,7.01876000587e+101,287.119565217,0.630315989546
lemon_curd,22,0.0199637023593,0.434133116407,6.15136190023e-07,0.00486592615418,1.12826847825e+100,351.545454545,0.835497835498
almond,452,0.410163339383,0.579224973732,0.00673052150552,0.0710099034192,2.40275481996e+102,204.533185841,0.347585503208
bacon,476,0.431941923775,0.588911010082,0.0074480153378,0.0746098644755,2.65254561683e+102,199.470588235,0.336868642194
sirloin_tip,6,0.005444646098,0.39802077761,3.15784332715e-09,0.00144042660303,9.88699757095e+98,368.166666667,0.933333333333
millet,90,0.0816696914701,0.465585383433,4.96034188176e-05,0.0193611659947,1.78624913695e+101,318.933333333,0.675905118602
deviled_egg,15,0.013611615245,0.428429177651,3.57834009395e-08,0.00399042994815,7.58794397689e+99,423.0,0.904761904762
burger,21,0.019056261343,0.428429177651,2.48502615431e-07,0.00530118404588,1.33914719843e+100,384.619047619,0.880952380952
watermelon,78,0.070780399274,0.459990574751,1.42585592019e-05,0.0183184392609,1.599028078e+101,347.128205128,0.767898767899
soft_roll,4,0.00362976406534,0.396944075777,0.0,0.00122924752736,7.20051377877e+98,480.25,1.0
currant,255,0.231397459165,0.512767594684,0.000695349260274,0.048726224647,1.13135863192e+102,261.529411765,0.533580361278
marinade,1,0.000907441016334,0.349096732781,0.0,0.00029065245701,4.02556805885e+97,434.0,0.0
spaghetti,115,0.104355716878,0.472836713251,3.52070776813e-05,0.0285609014586,3.88708370729e+101,363.695652174,0.807780320366
almond_extract,95,0.0862068965517,0.463136223079,7.01059974388e-05,0.0186012193874,1.64876557683e+101,281.578947368,0.681075027996
gnocchi,6,0.005444646098,0.388878957629,0.0,0.00135223694686,8.71329959818e+98,310.833333333,1.0
giblet,37,0.0335753176044,0.437803063189,2.56036055465e-06,0.00896476985149,3.82965635795e+100,364.567567568,0.779279279279
powdered_sugar,24,0.021778584392,0.437368087468,3.88981304159e-07,0.00631902154876,1.9027575729e+100,428.708333333,0.797101449275
red_onion,328,0.297640653358,0.535862422442,0.0023424413467,0.060690569299,1.75515592112e+102,244.722560976,0.484056835981
guava,22,0.0199637023593,0.434776276579,2.75633286559e-07,0.00533042165647,1.35395448438e+100,376.227272727,0.887445887446
ground_beef,112,0.101633393829,0.471570412465,0.000123458691134,0.0266592731375,3.38669878918e+101,347.875,0.745978120978
lemon_mint,15,0.013611615245,0.428429177651,3.52391942271e-08,0.0035112738437,5.87504586093e+99,374.4,0.942857142857
almond_cookie,5,0.00453720508167,0.400191800033,3.65497609041e-09,0.0011573148739,6.38246752217e+98,383.8,0.9
soy_sauce,366,0.332123411978,0.548207945251,0.00249510342382,0.0642219974302,1.96535136823e+102,230.472677596,0.432622202261
mustard_greens,295,0.267695099819,0.524685315895,0.00146086887723,0.0564779218207,1.51995625508e+102,254.389830508,0.522771820593
espresso,71,0.0644283121597,0.45011347652,5.39905803742e-05,0.0124119601691,7.34102296612e+100,253.887323944,0.682897384306
fillet,253,0.229582577132,0.512171006441,0.000455660660627,0.051518291827,1.26473001563e+102,275.932806324,0.591285526068
milk,549,0.498185117967,0.616974043499,0.0142912074263,0.0741655523573,2.62102781402e+102,163.515482696,0.231608897398
salsify,77,0.0698729582577,0.462163758568,7.17854868473e-06,0.0203466060354,1.97272577901e+101,406.194805195,0.811004784689
dill_weed,309,0.280399274047,0.529417895413,0.00158594532769,0.0581171084178,1.60946461873e+102,249.372168285,0.502773925104
applesauce,23,0.0208711433757,0.441978895619,3.65854209856e-07,0.00619365957619,1.82800449497e+100,420.956521739,0.849802371542
lemon_balm,68,0.0617059891107,0.459031261769,2.37782280513e-05,0.0158365181595,1.19508821458e+101,352.044117647,0.739683933275
galangal,27,0.024500907441,0.426561027167,1.94673558663e-05,0.00596331307457,1.69454869219e+100,322.222222222,0.826210826211
cranberry_sauce,24,0.021778584392,0.435421345239,9.1238269203e-07,0.00618978090733,1.82572271699e+100,405.958333333,0.764492753623
gingersnap,27,0.024500907441,0.439332315405,3.88209966795e-06,0.00642607926114,1.9677669901e+100,366.888888889,0.843304843305
beef_neck,35,0.0317604355717,0.442423095514,1.23347126739e-06,0.00952149360367,4.32011804002e+100,432.0,0.781512605042
grapefruit_juice,111,0.100725952813,0.470310876107,9.82905562841e-05,0.0241809208567,2.78627882727e+101,320.27027027,0.665356265356
toast,79,0.0716878402904,0.463136223079,1.07848983704e-05,0.0200678641648,1.91904044387e+101,384.620253165,0.796494644596
plain_flour,233,0.211433756806,0.506280598087,0.000894339363985,0.0477153057356,1.08490359123e+102,282.635193133,0.590683735386
hash,5,0.00453720508167,0.399646827087,3.20699263964e-09,0.00146941589202,1.02890567534e+99,471.8,0.9
