node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
lemon_juice,15,0.0135869565217,0.484609017501,-7.35250866983,-2.4175273109,7.62931165265e+109,513.466666667,0.961904761905
pheasant,160,0.144927536232,0.537561417462,-3.26694212001,-1.48384725258,5.62149638707e+111,363.2125,0.765172955975
whiting,148,0.134057971014,0.533915167537,-4.1395083262,-1.52475202599,4.65631604281e+111,357.304054054,0.764294907152
sunflower_oil,182,0.164855072464,0.542857589063,-3.5380970512,-1.43803540956,6.94186223436e+111,353.43956044,0.71847489527
mackerel,121,0.109601449275,0.525763790934,-3.95536620457,-1.58688297002,3.4976687423e+111,389.842975207,0.802479338843
ale,53,0.0480072463768,0.506434239796,-2.72551436879,-1.92915088915,7.23169651829e+110,426.339622642,0.809143686502
roe,185,0.167572463768,0.544197978171,-3.42490944276,-1.45479811571,6.42615403556e+111,333.097297297,0.668155111633
olive,331,0.29981884058,0.587107568352,-2.9263360858,-1.25975525243,1.5777607218e+112,273.202416918,0.51718392383
tartar_sauce,31,0.0280797101449,0.482065138144,-5.07603236318,-2.20909627131,1.99229882243e+110,352.516129032,0.81935483871
wood_sorrel,265,0.240036231884,0.566290290749,-3.25286503833,-1.32635906443,1.16099943356e+112,299.00754717,0.597341337907
claret,58,0.0525362318841,0.506434239796,-4.93027697704,-1.89810430767,8.34323288356e+110,412.120689655,0.834845735027
anchovy_sauce,18,0.0163043478261,0.471545103037,0,-2.45341847921,6.46711390454e+109,347.055555556,1.0
poppy_seed,87,0.0788043478261,0.517128533926,-4.09882345837,-1.75234499083,1.63250861661e+111,373.114942529,0.753274525528
fish_steak,10,0.00905797101449,0.471948996059,-6.77611745128,-2.57638641694,3.67081702436e+109,561.6,0.911111111111
Irish_whiskey,21,0.0190217391304,0.481223102968,-6.00026402244,-2.39414487333,8.49679001327e+109,364.380952381,0.852380952381
liquorice,37,0.0335144927536,0.498868676232,-4.22515500983,-2.07048030087,3.7720737169e+110,452.0,0.855855855856
crystallized_fruit,100,0.0905797101449,0.516885978329,-4.26436030645,-1.75475382616,1.61451187764e+111,310.51,0.713333333333
corn cob,3,0.00271739130435,0.460125639164,0,-3.04879330861,4.16818508502e+108,667.333333333,1.0
