node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
lemon_juice,15,0.013611615245,0.435399013237,6.52062776671e-08,0.00426649002273,2.77322395695e+101,469.333333333,0.952380952381
pheasant,150,0.13611615245,0.482501487486,0.000560007381669,0.0340562880601,1.76703354624e+103,330.593333333,0.746308724832
whiting,137,0.124319419238,0.478559481869,9.79719777564e-05,0.0306446235237,1.43073396531e+103,325.525547445,0.753327608416
sunflower_oil,167,0.151542649728,0.486778508981,0.000263782842943,0.0374183159346,2.13313806799e+103,325.263473054,0.712574850299
mackerel,119,0.107985480944,0.472638627602,0.000105036865481,0.0281525576234,1.2074923991e+103,351.74789916,0.786355220054
ale,49,0.0444646098004,0.453372140718,0.00162372276517,0.0124878698304,2.37586513565e+102,403.93877551,0.834183673469
roe,172,0.156079854809,0.488130671506,0.000340235011142,0.0364678487025,2.02614917931e+103,306.110465116,0.663742690058
tartar_sauce,30,0.02722323049,0.433252075301,8.8782607906e-06,0.00661268581301,6.66203405136e+101,319.666666667,0.804597701149
wood_sorrel,246,0.223230490018,0.509353744181,0.000515487004634,0.0488765281667,3.63960999213e+103,274.300813008,0.590741662519
claret,50,0.0453720508167,0.45267141098,5.16738294413e-06,0.0122424434318,2.28340614642e+102,378.08,0.852244897959
anchovy_sauce,17,0.0154264972777,0.424256498654,0.0,0.00370612961176,2.09263039256e+101,317.764705882,1.0
poppy_seed,81,0.073502722323,0.463904545254,5.43029865079e-05,0.0187452705807,5.35343155021e+102,350.172839506,0.762962962963
fish_steak,10,0.00907441016334,0.423642820015,2.0216575083e-07,0.00296963714647,1.3435244043e+101,513.0,0.911111111111
freshwater_fish,29,0.0263157894737,0.443755155915,1.32778805924e-07,0.00896190481455,1.22360298268e+102,522.103448276,0.98275862069
liquorice,34,0.0308529945554,0.447142599853,4.96987649956e-05,0.00899971717132,1.23396093133e+102,429.0,0.877005347594
crystallized_fruit,94,0.0852994555354,0.464640512275,4.70462339235e-05,0.0186166602706,5.28027377463e+102,286.595744681,0.721574010524
corn cob,3,0.002722323049,0.414255166766,0.0,0.000999756394854,1.52273828274e+100,607.333333333,1.0
grape,239,0.216878402904,0.507588219937,0.000989694790785,0.0475684291957,3.44739116241e+103,280.669456067,0.585246650962
flounder,88,0.0798548094374,0.463904545254,1.51838132935e-05,0.0217560485937,7.21119403785e+102,376.818181818,0.852403343783
peanut,176,0.159709618875,0.48949036697,0.000356321810006,0.0362790551719,2.00522676102e+103,297.892045455,0.633636363636
muscadine,10,0.00907441016334,0.419396281008,4.30797674718e-08,0.00255848004674,9.97264740299e+100,404.1,0.933333333333
sashimi,62,0.0562613430127,0.452438315505,9.84552407044e-06,0.0148662301082,3.36705550947e+102,358.919354839,0.83712321523
geranium,33,0.029945553539,0.444428532479,1.0742559981e-06,0.00857109362797,1.11922833074e+102,403.666666667,0.890151515152
tournedos,51,0.046279491833,0.452205459965,1.33916936972e-06,0.0141247213855,3.03951199509e+102,439.62745098,0.94431372549
starter,30,0.02722323049,0.442637384741,1.43314181731e-05,0.00718137861498,7.85710180162e+101,374.733333333,0.889655172414
couscous,126,0.114337568058,0.475194812716,4.98151790155e-05,0.0291132308463,1.29131110864e+103,337.547619048,0.765333333333
black_olive,294,0.266787658802,0.523932742225,0.00113062069311,0.0549890495006,4.60688967352e+103,253.836734694,0.522114647907
cress,98,0.0889292196007,0.466366883605,1.96107181406e-05,0.0242850685178,8.98517770413e+102,371.153061224,0.847675152535
pork_belly,223,0.202359346642,0.502364327451,0.000254439001039,0.0465011691812,3.29443440041e+103,291.295964126,0.650628206682
ingredient,539,0.489110707804,0.614000844662,0.0117165477489,0.0785548883692,9.40168611348e+103,189.575139147,0.301749763778
lingonberry,8,0.00725952813067,0.41602045867,0.0,0.00224381231121,7.67038124311e+100,475.375,1.0
malmsey,6,0.005444646098,0.379376169565,0.0,0.00117054684258,2.08753036415e+100,269.166666667,1.0
shank,21,0.019056261343,0.432825225966,1.15941761549e-07,0.00614357577413,5.75020705378e+101,487.285714286,0.985714285714
lima_bean,86,0.0780399274047,0.464640512275,4.52052981439e-05,0.0209301084043,6.67405181155e+102,373.488372093,0.799726402189
castor_sugar,356,0.323049001815,0.54438364852,0.00265430898369,0.0607680887999,5.62609070708e+103,232.688202247,0.435068840006
rump_steak,51,0.046279491833,0.453606199645,3.77041218339e-06,0.0134977875583,2.77568218104e+102,418.235294118,0.889411764706
kidney_bean,104,0.0943738656987,0.463659740745,3.17279684291e-05,0.023629042907,8.50634127981e+102,326.567307692,0.790515309933
quince,109,0.0989110707804,0.470109795993,8.76879605288e-05,0.0237427741251,8.5884055544e+102,325.174311927,0.731396534149
poultry,63,0.057168784029,0.455487407315,4.80855893294e-06,0.0162572957381,4.02663633674e+102,398.936507937,0.911418330773
demiglace,201,0.182395644283,0.496123776799,0.000170058424698,0.0427922092786,2.78985817406e+103,299.179104478,0.674527363184
edible,53,0.0480943738657,0.455960149824,6.97350158056e-06,0.0131560809632,2.63692729452e+102,397.018867925,0.825834542816
porgy,51,0.046279491833,0.446915162112,4.22751663674e-06,0.0133253496751,2.70521680282e+102,408.156862745,0.927843137255
red_snapper,101,0.0916515426497,0.466366883605,3.68430329136e-05,0.0240937820949,8.84419442408e+102,356.04950495,0.811089108911
nectar,40,0.0362976406534,0.450813344644,1.65430425946e-06,0.0107604112236,1.76401450777e+102,432.275,0.920512820513
asparagus,308,0.279491833031,0.528025966774,0.00116057203247,0.0575540487953,5.04669804327e+103,253.227272727,0.519818943272
ratafia,12,0.010889292196,0.423234686277,1.08769320214e-07,0.00323683241313,1.5961899967e+101,435.0,0.909090909091
cane_sugar,87,0.0789473684211,0.461953316883,3.53541145374e-05,0.0184293545143,5.1745317927e+102,314.563218391,0.735899492114
smoked_haddock,58,0.0526315789474,0.455015644076,1.43944869244e-06,0.0161593017647,3.97822417079e+102,441.793103448,0.954022988506
guar gum,20,0.0181488203267,0.432399216886,7.54321895896e-07,0.00471318759823,3.38436380384e+101,361.9,0.9
prosciutto,229,0.20780399274,0.504383013038,0.000507550449084,0.0476499805821,3.45922125658e+103,291.589519651,0.638282387191
haricot,163,0.147912885662,0.484363400613,0.000140716581698,0.0353249215745,1.90113878114e+103,309.895705521,0.699765204878
quahog,10,0.00907441016334,0.421609984986,8.33164761611e-08,0.00256535149657,1.00262136196e+101,421.3,0.933333333333
beet_green,55,0.0499092558984,0.453840500367,2.09600169213e-06,0.0145967061417,3.24605011473e+102,413.472727273,0.921212121212
pea_flour,1,0.000907441016334,0.287135689121,0.0,1.78819403203e-05,4.87219337147e+96,17.0,0.0
porterhouse,26,0.0235934664247,0.440198000356,1.23425257063e-07,0.00715038170098,7.78935400572e+101,447.230769231,0.972307692308
rack,27,0.024500907441,0.437131944633,2.1373409862e-08,0.0080695349777,9.92061234569e+101,486.962962963,0.997150997151
dessert_wine,29,0.0263157894737,0.441969420881,1.127073703e-06,0.00744135802567,8.43626194598e+101,411.206896552,0.901477832512
king_crab,41,0.0372050816697,0.450120496266,9.7335014878e-07,0.0107044668053,1.74572120597e+102,415.780487805,0.94756097561
pork,396,0.359346642468,0.558218048737,0.00299169941167,0.0669942440167,6.83805239678e+103,224.638888889,0.417235647615
sultana,146,0.132486388385,0.480653834087,0.000110179446027,0.0311639807055,1.47964301424e+103,311.404109589,0.68719886632
tomato_sauce,184,0.166969147005,0.490857658498,0.000260126720027,0.0379601917262,2.19537905414e+103,289.967391304,0.645343311951
lemon_curd,22,0.0199637023593,0.43367976738,4.98954864686e-07,0.00492909216779,3.70153105608e+101,358.818181818,0.926406926407
almond,452,0.410163339383,0.578811072932,0.00657017931152,0.0698086380556,7.42464590293e+103,205.743362832,0.350293350078
bacon,476,0.431941923775,0.588503153859,0.00724389211832,0.0733516350509,8.19744890755e+103,200.621848739,0.339310039805
sirloin_tip,6,0.005444646098,0.397752471123,0.0,0.00145681676871,3.2333810083e+100,375.833333333,1.0
millet,90,0.0816696914701,0.465378818173,4.70346246847e-05,0.0193294200088,5.69229163168e+102,323.533333333,0.714107365793
deviled_egg,15,0.013611615245,0.428184799567,0.0,0.00401532883763,2.45632448932e+101,430.666666667,1.0
burger,21,0.019056261343,0.428184799567,1.73719498811e-07,0.00531750877408,4.30786719076e+101,391.19047619,0.952380952381
watermelon,78,0.070780399274,0.45953724305,1.3624534957e-05,0.0181597263945,5.02420644134e+102,350.948717949,0.793872793873
soft_roll,4,0.00362976406534,0.396675037793,0.0,0.00122040497278,2.26908201451e+100,486.0,1.0
currant,255,0.231397459165,0.512323736858,0.000677441007107,0.0480647581164,3.51971365037e+103,263.690196078,0.542102825382
marinade,1,0.000907441016334,0.348803179322,0.0,0.000281731379366,1.20925406959e+99,434.0,0.0
