Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
chilli,0,88,106,21
ginger,1,87,201,21
coriander_seed,2,86,104,21
cumin_seed,3,84,199,21
turmeric,4,74,178,21
red_pepper,5,57,135,21
tomato,6,54,130,21
mustard_seed,7,54,108,21
onion,8,53,120,21
cardamon,9,50,131,21
yogurt,10,48,124,21
cinnamon,11,47,120,21
garlic,12,47,114,21
curry,13,42,51,21
peppercorn,14,41,96,21
potato,15,40,72,21
ghee,16,36,62,21
rice,17,35,44,21
coconut,18,34,32,21
fenugreek_seed,19,34,42,21
tamarind,20,34,38,21
bay_leaf,21,33,51,21
mint,22,30,40,20
lime,23,28,28,20
flour,24,27,23,21
lamb,25,26,30,17
garbanzo,26,24,12,21
paprika,27,24,20,18
chicken,28,24,18,19
pea,29,24,8,21
carrot,30,23,9,19
almond,31,23,22,16
cashew_nut,32,23,11,19
nutmeg,33,22,18,17
coconut_water,34,22,8,19
peanut_oil,35,21,8,18
saffron,36,21,14,15
fennel_seed,37,20,8,18
red_onion,38,20,10,17
mango,39,17,4,16
mace,40,17,6,15
mustard_greens,41,17,2,17
raisin,42,16,8,13
shrimp,43,14,2,14
milk,44,14,5,12
spinach,45,12,2,12
shallot,46,12,2,12
eggplant,47,12,2,12
lemon,48,11,2,11
sesame_seed,49,11,4,10
cauliflower,50,11,2,11
black_mustard,51,11,2,11
vinegar,52,11,3,10
spring_onion,53,11,4,10
tomato_paste,54,10,2,10
sugar,55,10,6,8
mustard oil,56,10,2,10
peanut,57,10,2,10
vegetable_oil,58,10,2,10
shoulder,59,9,2,9
cucumber,60,9,2,9
poppy_seed,61,9,2,9
lentil,62,9,2,9
split,63,8,2,8
green_bean,64,8,2,8
white,65,8,2,8
fish,66,7,2,7
pistachio_nut,67,7,2,7
grain,68,7,2,7
sesame_oil,69,7,2,7
leg,70,7,2,7
leafy_vegetable,71,6,2,6
heavy_cream,72,6,2,6
egg,73,6,2,6
cabbage,74,5,2,5
corn_oil,75,5,1,6
green_pepper,76,5,2,5
mushroom,77,5,2,5
mung_bean,78,5,2,5
beef,79,5,2,5
chicken_stock,80,5,2,5
parsley,81,5,2,5
star_anise,82,4,2,4
pomegranate,83,4,2,4
okra,84,4,2,4
celery,85,4,1,5
fennel,86,3,1,4
coconut_oil,87,2,1,3
tomato_sauce,88,2,1,3
corn,89,2,2,2
pork,90,2,1,3
vegetable,91,2,2,2
castor_sugar,92,2,1,3
aniseed,93,2,1,3
malt,94,1,1,2
single_cream,95,1,1,2
orange,96,1,1,2
chapatti,97,1,1,2
banana,98,1,1,2
