node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
pheasant,24,0.0342368045649,0.490896358543,1.35055715004e-05,0.0156309285368,1.20280694251e+43,173.625,0.627705627706
sunflower_oil,67,0.095577746077,0.518107908352,0.000302827540304,0.038753803655,7.39356541623e+43,150.567164179,0.4375
mackerel,53,0.0756062767475,0.510560815732,0.000183590775842,0.0310165824143,4.73603295658e+43,152.358490566,0.456470588235
ale,17,0.0242510699001,0.485457063712,3.70691959901e-06,0.0110237618265,5.9826332608e+42,184.705882353,0.761904761905
roe,19,0.0271041369472,0.48613037448,5.37575118447e-06,0.0126506686128,7.87880165598e+42,188.631578947,0.661764705882
poppy_seed,113,0.16119828816,0.540061633282,0.00123291991669,0.0604804948227,1.80074196761e+44,130.991150442,0.388533988534
fish_steak,36,0.0513552068474,0.503953989935,5.37790245348e-05,0.0230292738399,2.61090614122e+43,178.888888889,0.513368983957
freshwater_fish,15,0.0213980028531,0.486467730743,4.0532658799e-06,0.0102861167118,5.20878016662e+42,202.6,0.692307692308
honeydew_melon,25,0.0356633380884,0.460880999343,2.66731830021e-05,0.0104924356575,5.41947624596e+42,113.96,0.683794466403
corn cob,18,0.0256776034237,0.491584852735,1.23911759751e-05,0.0123253301365,7.47878089016e+42,203.944444444,0.608333333333
grape,97,0.138373751783,0.518874907476,0.00102691227047,0.0401380020188,7.93079965555e+43,103.237113402,0.390593505039
flounder,21,0.0299572039943,0.486805555556,6.45484744032e-06,0.014222974792,9.95889053519e+42,182.80952381,0.678362573099
peanut,156,0.222539229672,0.553712480253,0.00467003362833,0.064828370552,2.06894621768e+44,96.8653846154,0.241151005857
sashimi,12,0.0171184022825,0.474289580514,8.49921995802e-07,0.00734415315102,2.65529163373e+42,169.5,0.822222222222
geranium,6,0.00855920114123,0.412110523222,5.73738297443e-07,0.00211732638085,2.20693610438e+41,111.5,0.5
couscous,42,0.0599144079886,0.50686912509,8.18952501643e-05,0.0262148158368,3.38311879331e+43,163.952380952,0.489743589744
black_olive,39,0.055634807418,0.502508960573,7.81854350711e-05,0.0244129930479,2.93404859237e+43,162.769230769,0.48048048048
cress,41,0.058487874465,0.505043227666,0.000139895724299,0.0242740066801,2.90075511932e+43,155.902439024,0.516869095816
pork_belly,21,0.0299572039943,0.491240364401,4.79215231671e-06,0.0147485910509,1.07086131372e+43,199.19047619,0.771929824561
ingredient,97,0.138373751783,0.499643620813,0.00483095728409,0.0271651065723,3.63270021835e+43,63.5360824742,0.11444568869
lima_bean,52,0.074179743224,0.512801755669,0.000128615744782,0.0321822088317,5.09869385113e+43,161.423076923,0.508571428571
castor_sugar,155,0.221112696148,0.550235478807,0.00679812557241,0.0569731595719,1.59789854966e+44,87.4193548387,0.208978328173
offal,6,0.00855920114123,0.429797670141,0.0,0.00352228074532,6.10784638879e+41,177.166666667,1.0
kidney_bean,63,0.0898716119829,0.516580692704,0.000224644733727,0.0367722334495,6.65679904228e+43,148.936507937,0.471038251366
quince,21,0.0299572039943,0.489867225716,1.51944997059e-05,0.01225503507,7.39348624557e+42,160.523809524,0.590643274854
porgy,6,0.00855920114123,0.436488169365,1.74557315515e-06,0.00282212278313,3.92091409551e+41,143.833333333,0.5
nectar,18,0.0256776034237,0.447637292465,3.57627248464e-05,0.00665372158805,2.17938411597e+42,103.166666667,0.708333333333
asparagus,95,0.135520684736,0.529856386999,0.0010157391943,0.0500441207393,1.23290212332e+44,128.357894737,0.38265544647
egg_noodle,47,0.0670470756063,0.507971014493,8.12880191721e-05,0.0287063646696,4.05681464817e+43,160.595744681,0.544444444444
mandarin_orange,22,0.0313837375178,0.481786941581,8.79029190208e-05,0.0108353892492,5.7796988907e+42,136.181818182,0.489473684211
pea,155,0.221112696148,0.549373040752,0.00302955540459,0.068832983444,2.33246022803e+44,102.948387097,0.270381836945
smoked_haddock,19,0.0271041369472,0.488842398884,1.11965824838e-05,0.0119201280262,6.99509690454e+42,174.473684211,0.625
prosciutto,6,0.00855920114123,0.42874617737,2.08687672114e-07,0.00289254835541,4.11895450299e+41,132.166666667,0.666666666667
haricot,13,0.018544935806,0.465780730897,7.52133608552e-07,0.00809490327825,3.22597990724e+42,183.0,0.836363636364
wheat_germ,36,0.0513552068474,0.504316546763,4.7122255821e-05,0.0211032841533,2.19243256459e+43,157.916666667,0.607843137255
beet_green,21,0.0299572039943,0.49020979021,9.11442174135e-06,0.0135159556884,8.99341661795e+42,176.619047619,0.614035087719
pea_flour,25,0.0356633380884,0.487482614743,1.88071210991e-05,0.0146922311356,1.06267857411e+43,152.32,0.470355731225
round,24,0.0342368045649,0.488842398884,1.45307567462e-05,0.0158800576101,1.24147602918e+43,189.291666667,0.627705627706
orzo,16,0.0228245363766,0.478171896317,1.07546981736e-05,0.0100797594581,5.00191199231e+42,182.625,0.747252747253
pork,112,0.159771754636,0.532674772036,0.00174708888651,0.0541006178302,1.44087277194e+44,114.526785714,0.333778148457
sultana,77,0.109843081312,0.515062454078,0.00047606572288,0.0379477648318,7.08902833012e+43,120.285714286,0.405765765766
tomato_sauce,76,0.108416547789,0.522354694486,0.000548899126977,0.0423414991856,8.82584620537e+43,140.355263158,0.423176601259
almond,192,0.273894436519,0.563958165728,0.0112911295785,0.0672742050134,2.22793803162e+44,80.71875,0.193984962406
bacon,68,0.0970042796006,0.507603186097,0.000575907238724,0.0352987292196,6.13395671781e+43,123.529411765,0.440093240093
ham,38,0.0542082738944,0.497163120567,9.27345454958e-05,0.0223086058717,2.45002558493e+43,151.447368421,0.488888888889
millet,56,0.0798858773181,0.515441176471,0.000218546535225,0.0323209484067,5.14270576981e+43,150.267857143,0.452830188679
burger,51,0.0727532097004,0.510560815732,6.46735675487e-05,0.0333785943434,5.48483249778e+43,172.31372549,0.599489795918
currant,70,0.0998573466476,0.514684287812,0.000380824372479,0.0340032459293,5.69185625765e+43,124.671428571,0.417471466198
marinade,18,0.0256776034237,0.490896358543,7.16947752034e-06,0.0117944702007,6.84834325209e+42,188.444444444,0.641666666667
spaghetti,17,0.0242510699001,0.470785762257,4.35695943129e-06,0.0104213964207,5.34668764187e+42,170.823529412,0.771428571429
almond_extract,44,0.0627674750357,0.494009866103,0.000522871723759,0.0189134593319,1.76096534374e+43,115.568181818,0.486643437863
powdered_sugar,11,0.0156918687589,0.451966473243,1.70069968673e-06,0.00528340125043,1.3741876227e+42,141.545454545,0.694444444444
red_onion,235,0.335235378031,0.595076400679,0.0121820323162,0.0917551708865,4.14457092251e+44,89.1191489362,0.191690099156
guava,61,0.0870185449358,0.493314567206,0.000240161406709,0.025710643803,3.25408975095e+43,107.06557377,0.545879602572
ground_beef,83,0.118402282454,0.527464258841,0.00040353460611,0.0489770646938,1.18089210991e+44,149.987951807,0.452777777778
tarragon,72,0.102710413695,0.520029673591,0.000370003469763,0.040323186477,8.00447923357e+43,139.5,0.447619047619
almond_cookie,13,0.018544935806,0.476870748299,1.63987459944e-07,0.00878038199208,3.79541404678e+42,200.0,0.981818181818
soy_sauce,133,0.189728958631,0.540895061728,0.00270510235408,0.0582211252366,1.6687003706e+44,99.2631578947,0.290898414563
espresso,5,0.00713266761769,0.388580931264,0.0,0.00130463769241,8.37894732778e+40,83.2,1.0
fillet,108,0.154065620542,0.535932721713,0.00107822179675,0.0560403643713,1.54605209666e+44,127.064814815,0.370170709793
