node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
pheasant,24,0.032,0.458824463119,1.17973901829e-05,0.0156309285368,1.20280694251e+43,173.625,0.627705627706
sunflower_oil,67,0.0893333333333,0.484258191673,0.000264525988477,0.038753803655,7.39356541623e+43,150.567164179,0.4375
mackerel,53,0.0706666666667,0.477204175771,0.000160370260268,0.0310165824143,4.73603295658e+43,152.358490566,0.456470588235
ale,17,0.0226666666667,0.453740535549,3.23806933197e-06,0.0110237618265,5.9826332608e+42,184.705882353,0.761904761905
roe,19,0.0253333333333,0.454369856681,4.69582751441e-06,0.0126506686128,7.87880165598e+42,188.631578947,0.661764705882
poppy_seed,113,0.150666666667,0.504777606574,0.0010769805129,0.0604804948227,1.80074196761e+44,130.991150442,0.388533988534
fish_steak,36,0.048,0.471028995926,4.69770669145e-05,0.0230292738399,2.61090614122e+43,178.888888889,0.513368983957
freshwater_fish,15,0.02,0.454685172334,3.54060982157e-06,0.0102861167118,5.20878016662e+42,202.6,0.692307692308
honeydew_melon,25,0.0333333333333,0.430770107385,2.32995654635e-05,0.0104924356575,5.41947624596e+42,113.96,0.683794466403
corn cob,18,0.024,0.45946797569,1.08239431259e-05,0.0123253301365,7.47878089016e+42,203.944444444,0.608333333333
sunflower_seed,67,0.0893333333333,0.478249148418,0.000250674205834,0.0357709021673,6.29908850243e+43,136.149253731,0.426442307692
grape,97,0.129333333333,0.484975080188,0.000897028662428,0.0401380020188,7.93079965555e+43,103.237113402,0.390593505039
peanut,156,0.208,0.51753659821,0.00407936893889,0.064828370552,2.06894621768e+44,96.8653846154,0.241151005857
sashimi,12,0.016,0.443302661254,7.42424073592e-07,0.00734415315102,2.65529163373e+42,169.5,0.822222222222
geranium,6,0.008,0.385185969038,5.01172020571e-07,0.00211732638085,2.20693610438e+41,111.5,0.5
couscous,42,0.056,0.473753675584,7.15371593335e-05,0.0262148158368,3.38311879331e+43,163.952380952,0.489743589744
black_olive,39,0.052,0.469678375149,6.82965607288e-05,0.0244129930479,2.93404859237e+43,162.769230769,0.48048048048
cress,41,0.0546666666667,0.472047070125,0.000122201747954,0.0242740066801,2.90075511932e+43,155.902439024,0.516869095816
pork_belly,21,0.028,0.459145993927,4.186042086e-06,0.0147485910509,1.07086131372e+43,199.19047619,0.771929824561
ingredient,97,0.129333333333,0.467000237586,0.00421993901078,0.0271651065723,3.63270021835e+43,63.5360824742,0.11444568869
lima_bean,52,0.0693333333333,0.479298707632,0.000112348457436,0.0321822088317,5.09869385113e+43,161.423076923,0.508571428571
castor_sugar,155,0.206666666667,0.514286760858,0.00593830034425,0.0569731595719,1.59789854966e+44,87.4193548387,0.208978328173
rump_steak,48,0.064,0.474096478534,6.84967541016e-05,0.0272953963105,3.6677739722e+43,144.979166667,0.528502415459
offal,6,0.008,0.401717555692,0.0,0.00352228074532,6.10784638879e+41,177.166666667,1.0
kidney_bean,63,0.084,0.482830754114,0.000196231723791,0.0367722334495,6.65679904228e+43,148.936507937,0.471038251366
self-rising_flour,43,0.0573333333333,0.464352468698,0.000144183919486,0.0199750557034,1.96422063118e+43,122.906976744,0.382926829268
