src,dest,wt
pheasant,vinegar,0.5
pheasant,thyme,0.011
pheasant,pomegranate,0.5
pheasant,red_wine,0.036
pheasant,stick,0.001
pheasant,yogurt,0.5
pheasant,rice,0.001
pheasant,rosemary,0.013
pheasant,sesame_seed,0.003
perch,tomato,1.0
perch,red_onion,0.001
mackerel,olive_oil,0.029
mackerel,rocket,0.029
mackerel,red_pepper,0.029
mackerel,tamarind,0.314
mackerel,red_onion,0.029
mackerel,tarragon,0.029
mackerel,sake,0.029
mackerel,soy_sauce,0.029
mackerel,wine_vinegar,0.029
mackerel,parsley,0.057
mackerel,saffron,0.029
mackerel,sesame_seed,0.029
mackerel,yogurt,0.029
mackerel,rice,0.057
mackerel,sauce,0.029
mackerel,tea_bag,0.029
mackerel,mustard_greens,0.029
mackerel,shallot,0.057
mackerel,red_wine,0.029
mackerel,stick,0.143
mackerel,peppercorn,0.171
mackerel,paste,0.143
mackerel,tomato,0.343
mackerel,vinegar,0.086
mackerel,onion,0.314
mackerel,thyme,0.029
mackerel,potato,0.029
mackerel,star_fruit,0.029
mackerel,malt,0.029
mackerel,mustard_seed,0.171
mackerel,mango,0.057
mackerel,turmeric,0.457
ale,tomato,1.0
ale,chilli,1.0
ale,red_wine,1.0
ale,onion,1.0
ale,beef,1.0
ale,mustard_greens,1.0
ale,cinnamon,1.0
ale,brisket,1.0
ale,wine_vinegar,1.0
ale,mustard_seed,1.0
ale,sugar,1.0
ale,ginger,1.0
ale,stick,1.0
ale,cumin_seed,1.0
ale,turmeric,1.0
roe,shallot,0.333
roe,turmeric,0.333
poppy_seed,pork,0.018
poppy_seed,ricotta,0.025
poppy_seed,string_bean,0.053
poppy_seed,squid,0.026
poppy_seed,white_wine,0.006
poppy_seed,radicchio,0.25
poppy_seed,tamarind,0.02
poppy_seed,white_bread,0.006
poppy_seed,pork_tenderloin,0.006
poppy_seed,red_onion,0.012
poppy_seed,spinach,0.007
poppy_seed,single_cream,0.066
poppy_seed,wine_vinegar,0.006
poppy_seed,whole_wheat_flour,0.006
poppy_seed,saffron,0.031
poppy_seed,walnut,0.006
poppy_seed,split,0.028
poppy_seed,vegetable,0.006
poppy_seed,vegetable_oil,0.059
poppy_seed,white,0.3
poppy_seed,sunflower_seed,0.062
poppy_seed,pork_belly,0.006
poppy_seed,stock,0.25
poppy_seed,tomato,0.015
poppy_seed,sorrel,0.333
poppy_seed,sesame_oil,0.022
poppy_seed,shallot,0.01
poppy_seed,salmon,0.033
poppy_seed,white_mustard,0.006
poppy_seed,water,0.018
poppy_seed,yogurt,0.324
poppy_seed,stick,0.045
poppy_seed,semolina,0.007
poppy_seed,shrimp,0.009
poppy_seed,white_turnip,0.006
poppy_seed,vinegar,0.018
poppy_seed,rice,0.021
poppy_seed,red_pepper,0.004
poppy_seed,wheat_berry,0.065
poppy_seed,sea_bass,0.056
poppy_seed,potato,0.082
poppy_seed,raisin,0.035
poppy_seed,star_anise,0.089
poppy_seed,yellow_pea,0.006
poppy_seed,rose,0.091
poppy_seed,sweet potato,0.036
poppy_seed,pumpkin,0.024
poppy_seed,sesame_seed,0.085
poppy_seed,turmeric,0.017
fish_steak,ginger,0.833
fish_steak,red_pepper,0.003
fish_steak,tamarind,0.003
fish_steak,mint,0.002
fish_steak,lime,0.004
fish_steak,powdered_milk,0.056
fish_steak,lemon,0.002
fish_steak,mango,0.002
fish_steak,galangal,0.056
fish_steak,yogurt,0.056
fish_steak,lemongrass,0.011
fish_steak,mustard_greens,0.111
fish_steak,shallot,0.01
fish_steak,flour,0.111
fish_steak,garlic,0.333
fish_steak,stick,0.001
fish_steak,peppercorn,0.111
fish_steak,paste,0.167
fish_steak,tomato,0.002
fish_steak,vinegar,0.111
fish_steak,onion,0.167
fish_steak,thyme,0.022
fish_steak,kaffir,0.024
fish_steak,mustard_seed,0.111
fish_steak,paprika,0.222
fish_steak,whipping_cream,0.056
fish_steak,garbanzo,0.056
fish_steak,turmeric,0.003
freshwater_fish,ginger,1.0
freshwater_fish,garlic,0.5
freshwater_fish,stick,0.001
freshwater_fish,turmeric,1.0
freshwater_fish,mustard oil,0.5
freshwater_fish,lime,0.001
honeydew_melon,vodka,0.111
honeydew_melon,red_pepper,0.111
honeydew_melon,peach,0.111
honeydew_melon,rum,0.043
honeydew_melon,tangerine,0.036
honeydew_melon,mint,0.002
honeydew_melon,orange_juice,0.222
honeydew_melon,pear,0.222
honeydew_melon,mango,0.002
honeydew_melon,watermelon,0.444
honeydew_melon,pineapple,0.111
honeydew_melon,orange,0.556
honeydew_melon,lime,0.004
honeydew_melon,syrup,0.053
honeydew_melon,turmeric,0.111
corn cob,tomato,0.001
corn cob,onion,0.333
corn cob,red_pepper,0.333
corn cob,spinach,0.002
corn cob,mustard_seed,0.333
corn cob,mustard_greens,0.002
corn cob,cumin_seed,1.0
corn cob,ginger,0.667
corn cob,garlic,0.001
corn cob,stick,0.001
corn cob,yogurt,0.333
corn cob,cream,0.333
corn cob,milk,0.001
corn cob,turmeric,0.667
grape,orange_juice,0.07
grape,guava,0.093
grape,milk,0.003
grape,honeydew_melon,0.047
grape,nectarine,0.047
grape,single_cream,0.008
grape,peanut,0.023
grape,leg_of_lamb,0.014
grape,pawpaw,0.07
grape,walnut,0.023
grape,grapefruit,0.023
grape,spring_onion,0.002
grape,orange,0.326
grape,rice,0.003
grape,persimmon,0.023
grape,pistachio_nut,0.07
grape,lima_bean,0.077
grape,watermelon,0.023
grape,onion,0.023
grape,star_fruit,0.143
grape,nutmeg,0.07
grape,grape_juice,0.302
grape,pine_nut,0.023
grape,lemonade,0.5
grape,marmalade,0.2
grape,okra,0.023
grape,yogurt,0.186
grape,plantain,0.023
grape,sparkling_water,0.031
grape,grapefruit_juice,0.023
grape,yellow_squash,0.023
grape,sesame_oil,0.004
grape,mustard_greens,0.047
grape,pineapple_juice,0.023
grape,leafy_vegetable,0.009
grape,raspberry,0.125
grape,prickly_pear,1.0
grape,lychee,0.077
grape,plum,0.023
grape,raisin,0.007
grape,shrimp,0.002
grape,maple_syrup,0.045
grape,rose,0.023
grape,snow_pea,0.043
grape,scallop,0.059
grape,tamarind,0.001
grape,sugar,0.004
grape,lime,0.01
grape,spinach,0.002
grape,parsley,0.047
grape,vegetable_oil,0.047
grape,white,0.023
grape,tangelo,0.5
grape,walnut_oil,0.023
grape,shallot,0.003
grape,tangerine,0.107
grape,melon,0.037
grape,stick,0.002
grape,hazelnut,0.023
grape,mustard oil,0.023
grape,paprika,0.14
grape,sesame,0.021
grape,strawberry,0.108
grape,vanilla_bean,0.033
grape,passion_fruit,0.047
grape,honey,0.07
grape,juice,0.029
grape,mint,0.015
grape,lamb,0.001
grape,lemon,0.007
grape,peach,0.14
grape,saffron,0.002
grape,sesame_seed,0.003
grape,pomegranate,0.07
grape,pear,0.116
grape,mace,0.003
grape,peppercorn,0.047
grape,tomato,0.001
grape,noodle,0.023
grape,red_pepper,0.003
grape,potato,0.023
grape,mustard_seed,0.093
grape,mango,0.006
grape,pineapple,0.163
grape,radicchio,0.25
grape,salt,0.01
grape,turmeric,0.001
peanut,peanut_oil,0.095
peanut,pearl_millet,0.003
peanut,sunflower_oil,0.045
peanut,sashimi,1.0
peanut,white_wine,0.003
peanut,rump_steak,0.333
peanut,poppy_seed,0.006
peanut,rocket,0.071
peanut,single_cream,0.016
peanut,split green,0.125
peanut,romaine_lettuce,0.1
peanut,sugar,0.045
peanut,tomato_paste,0.015
peanut,spring_onion,0.04
peanut,radish,0.056
peanut,turtle_bean,0.031
peanut,rice,0.038
peanut,sauce,0.088
peanut,toffee,1.0
peanut,pistachio_nut,0.026
peanut,wasabi,0.003
peanut,watermelon,0.006
peanut,peanut_butter,0.02
peanut,semolina,0.02
peanut,shoulder,0.017
peanut,thyme,0.011
peanut,roll,0.25
peanut,puffed_rice,0.214
peanut,tortilla,0.111
peanut,pork,0.011
peanut,taro_root,0.125
peanut,spring_roll,0.25
peanut,pine_nut,0.006
peanut,smoked_eel,1.0
peanut,red_onion,0.047
peanut,soy_sauce,0.068
peanut,swiss_chard,0.25
peanut,string_bean,0.105
peanut,tapioca,0.579
peanut,yogurt,0.083
peanut,plain_flour,0.009
peanut,sesame_oil,0.043
peanut,snapper,0.083
peanut,rock_candy,0.091
peanut,red_cabbage,0.333
peanut,white_turnip,0.003
peanut,vinegar,0.02
peanut,raisin,0.021
peanut,shrimp,0.028
peanut,wild_rice,0.003
peanut,snow_pea,0.043
peanut,sweet,0.032
peanut,tofu,0.05
peanut,scallop,0.118
peanut,tamarind,0.075
peanut,white_bread,0.006
peanut,turkey,0.095
peanut,spinach,0.033
peanut,sesame_seed,0.199
peanut,white_bean,0.006
peanut,pork_loin,0.003
peanut,yam,0.006
peanut,pollock,0.003
peanut,rump,0.3
