node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
pheasant,22,0.0293333333333,0.460742830277,5.38028648935e-07,0.00998975434471,6.08156659261e+69,289.727272727,0.952380952381
sunflower_oil,80,0.106666666667,0.491228070175,4.94407292388e-05,0.0342417915405,7.14525005397e+70,265.5375,0.833860759494
mackerel,66,0.088,0.486111111111,4.98011773311e-05,0.0277365443775,4.68824423532e+70,268.151515152,0.792540792541
ale,15,0.02,0.457836953983,5.17149829709e-08,0.00727181666845,3.22253535634e+69,350.0,0.961904761905
roe,18,0.024,0.458801498127,3.00052119542e-07,0.0088587862584,4.78254147626e+69,343.222222222,0.921568627451
poppy_seed,148,0.197333333333,0.520584329349,0.000474474022384,0.0543434576114,1.79967423325e+71,210.993243243,0.663816878103
fish_steak,43,0.0573333333333,0.476885644769,5.20139262081e-06,0.0204674165088,2.55290647651e+70,319.88372093,0.901439645626
freshwater_fish,13,0.0173333333333,0.458479532164,1.2454775735e-07,0.00703544268877,3.01645175748e+69,397.076923077,0.923076923077
honeydew_melon,30,0.04,0.469686077163,1.0042738352e-05,0.0111765616262,7.61238626289e+69,244.266666667,0.811494252874
corn cob,17,0.0226666666667,0.463685829193,8.79590891177e-08,0.00935286346581,5.33092814795e+69,404.235294118,0.941176470588
grape,133,0.177333333333,0.514841082217,0.00064206056973,0.0450647634334,1.23758558129e+71,202.481203008,0.602301207564
flounder,20,0.0266666666667,0.459446788561,9.73442367803e-07,0.00919804476932,5.15583827139e+69,310.15,0.889473684211
peanut,243,0.324,0.564191134139,0.00292778710514,0.074589424739,3.3903955032e+71,168.074074074,0.464136312621
sashimi,10,0.0133333333333,0.449954086318,7.20709033547e-09,0.00443787518445,1.2002088314e+69,296.2,0.977777777778
geranium,4,0.00533333333333,0.409356725146,0.0,0.00193121672004,2.27282862568e+68,304.0,1.0
couscous,48,0.064,0.479686735193,1.08304476284e-05,0.0218118870485,2.89929984847e+70,294.145833333,0.882092198582
black_olive,43,0.0573333333333,0.47480620155,1.24700666493e-05,0.0192621078012,2.26107128937e+70,290.744186047,0.866002214839
cress,44,0.0586666666667,0.476885644769,3.88212666488e-05,0.018460312995,2.0767522816e+70,274.840909091,0.827695560254
pork_belly,20,0.0266666666667,0.463685829193,1.27518007181e-07,0.0105362546142,6.76526086392e+69,374.35,0.952631578947
ingredient,231,0.308,0.558882235529,0.00523089495331,0.0712944835748,3.09748000868e+71,170.904761905,0.469678147939
lima_bean,60,0.08,0.482520925652,1.5439039957e-05,0.0265649866261,4.30055758255e+70,279.983333333,0.873446327684
castor_sugar,228,0.304,0.557451649602,0.00388966823826,0.0681772161744,2.83253542735e+71,166.916666667,0.444547492078
offal,4,0.00533333333333,0.437012263099,3.69941482238e-08,0.00228522981817,3.1825649807e+68,454.5,0.5
kidney_bean,85,0.113333333333,0.493827160494,7.15276868086e-05,0.035246925305,7.57087747506e+70,254.988235294,0.799159663866
jujube,12,0.016,0.441739914357,0.0,0.00510454731576,1.58788601599e+69,273.333333333,1.0
porgy,4,0.00533333333333,0.425070483626,0.0,0.00209276912529,2.66902311038e+68,358.0,1.0
nectar,17,0.0226666666667,0.445049954587,2.33682009981e-05,0.00519280509931,1.64325986265e+69,193.705882353,0.786764705882
asparagus,121,0.161333333333,0.509223174851,0.000504198385009,0.0455916783765,1.26669703232e+71,223.818181818,0.689807162534
egg_noodle,48,0.064,0.476537806954,1.27413792776e-05,0.0205347442465,2.56971052191e+70,272.854166667,0.876773049645
mandarin_orange,25,0.0333333333333,0.469348659004,6.36637619131e-05,0.0104188248156,6.61523769333e+69,283.16,0.773333333333
pea,271,0.361333333333,0.578171091445,0.00277938171299,0.0804855042192,3.94756871873e+71,159.129151292,0.430722973896
smoked_haddock,18,0.024,0.462373201227,3.15712353238e-07,0.00864862577641,4.55830660484e+69,330.444444444,0.921568627451
prosciutto,4,0.00533333333333,0.408844388819,0.0,0.00180200639614,1.97886796078e+68,283.25,1.0
haricot,12,0.016,0.450264185619,5.92157095836e-08,0.00659519656999,2.65075423016e+69,401.333333333,0.924242424242
wheat_germ,35,0.0466666666667,0.47138047138,8.47832254727e-06,0.0141502799833,1.22021365472e+70,263.171428571,0.865546218487
beet_green,24,0.032,0.467000238265,5.97895628201e-07,0.0119011628586,8.63156176593e+69,345.666666667,0.949275362319
pea_flour,33,0.044,0.470023980815,1.24263926424e-06,0.01607688707,1.57511487792e+70,322.454545455,0.939393939394
round,23,0.0306666666667,0.462373201227,3.21896339195e-07,0.0117403476693,8.39988419419e+69,358.956521739,0.948616600791
orzo,16,0.0213333333333,0.456876456876,6.95679427963e-06,0.00812805821767,4.02612529761e+69,375.6875,0.866666666667
pork,161,0.214666666667,0.526457158206,0.00102744845019,0.0555891521637,1.88312568018e+71,198.714285714,0.593167701863
sultana,114,0.152,0.506852857512,0.000221776502411,0.0441120781115,1.1858135482e+71,229.868421053,0.727682036951
tomato_sauce,109,0.145333333333,0.504894384338,0.000241476412056,0.0437925309921,1.16869786327e+71,239.834862385,0.770302412504
almond,315,0.42,0.602150537634,0.00960378580521,0.0863470967581,4.54349035278e+71,146.850793651,0.364978263067
bacon,80,0.106666666667,0.491228070175,0.000352455626971,0.0296665368625,5.36334325812e+70,224.675,0.708544303797
ham,42,0.056,0.47036237101,3.47627831055e-05,0.018016642256,1.97812445905e+70,274.380952381,0.839721254355
millet,67,0.0893333333333,0.487562189055,3.23518499896e-05,0.0290230007037,5.13321289221e+70,270.432835821,0.857982813207
burger,55,0.0733333333333,0.481809242871,8.86546184064e-06,0.0248004106438,3.74821100441e+70,289.163636364,0.915151515152
currant,89,0.118666666667,0.495324740965,0.000128331676274,0.033851913023,6.98343087969e+70,231.505617978,0.717824310521
raw_milk,1,0.00133333333333,0.380952380952,0.0,0.000559996230668,1.91109447286e+67,384.0,0.0
marinade,17,0.0226666666667,0.462373201227,2.69657979036e-07,0.00853708991191,4.44150953815e+69,354.823529412,0.933823529412
spaghetti,15,0.02,0.453074433657,7.16408220176e-07,0.00634938823203,2.45682028913e+69,295.866666667,0.904761904762
almond_extract,49,0.0653333333333,0.47480620155,0.000283563118977,0.0172179173823,1.8066019603e+70,211.693877551,0.698979591837
powdered_sugar,9,0.012,0.430674577016,0.0,0.00446755149508,1.21631270044e+69,309.888888889,1.0
red_onion,333,0.444,0.611735330836,0.00805055973611,0.0870701541024,4.61988843363e+71,138.054054054,0.326549441007
guava,82,0.109333333333,0.493827160494,0.000172664133822,0.0287606198266,5.04079628848e+70,218.06097561,0.712134899127
ground_beef,107,0.142666666667,0.503726548445,0.00013464748052,0.0435607821413,1.15636255877e+71,245.252336449,0.784341385999
tarragon,92,0.122666666667,0.49758822036,0.000144347070146,0.0367395427608,8.2256630226e+70,244.815217391,0.758002866699
almond_cookie,11,0.0146666666667,0.455919981391,2.20270343005e-08,0.00607461061023,2.24880102259e+69,408.818181818,0.945454545455
soy_sauce,178,0.237333333333,0.532898314301,0.00163213881801,0.0576815742766,2.02755329926e+71,183.606741573,0.532533485685
espresso,3,0.004,0.400081649316,0.0,0.00112780929894,7.75137402107e+67,250.666666667,1.0
fillet,138,0.184,0.517286883083,0.000472258335724,0.0497791572371,1.51006400052e+71,211.050724638,0.641383687718
milk,291,0.388,0.589119326721,0.00891105837399,0.0810741885824,4.00552933212e+71,150.47766323,0.380163526484
durum_wheat,10,0.0133333333333,0.451821115722,3.51868648614e-08,0.00486209270864,1.44065236521e+69,353.3,0.933333333333
dill_weed,152,0.202666666667,0.523085134774,0.00149006697678,0.0536414555848,1.75348044069e+71,204.447368421,0.611624259324
galangal,73,0.0973333333333,0.485749690211,0.000108188729968,0.0269900783259,4.43925736797e+70,223.260273973,0.727168949772
corn,176,0.234666666667,0.532898314301,0.000844728440881,0.0600714844199,2.1990516235e+71,194.357954545,0.581558441558
gingersnap,3,0.004,0.36478689745,0.0,0.000813232009035,4.03020131971e+67,152.666666667,1.0
grapefruit_juice,15,0.02,0.438478747204,4.22389919497e-07,0.00437022423295,1.16386762989e+69,172.866666667,0.961904761905
plain_flour,132,0.176,0.514435695538,0.000438466743316,0.048565960342,1.43735727978e+71,216.522727273,0.660421003932
curry,341,0.454666666667,0.616352201258,0.00651470777147,0.0904229229276,4.98252525272e+71,139.032258065,0.333172330516
yellow_bean,47,0.0626666666667,0.476537806954,1.53150863775e-05,0.0207256491525,2.61771839264e+70,286.489361702,0.866790009251
leg,129,0.172,0.513626834382,0.000112437461457,0.051727268225,1.63057274722e+71,235.697674419,0.779190891473
chilli pepper,37,0.0493333333333,0.471720818291,4.23792572766e-06,0.0173963826259,1.84427697672e+70,314.189189189,0.897897897898
herb,138,0.184,0.516469038208,0.000511452935898,0.0486341362623,1.44139116509e+71,203.666666667,0.623082619274
corn_flake,14,0.0186666666667,0.454650893064,3.7994998771e-07,0.00570547005224,1.98374916724e+69,257.714285714,0.956043956044
water,149,0.198666666667,0.522248867573,0.00204417007361,0.0512190858523,1.59868638425e+71,200.22147651,0.587701795755
sea_trout,36,0.048,0.474117077891,4.02619644924e-05,0.014879469002,1.34921385178e+70,268.527777778,0.792063492063
chicken leg,73,0.0973333333333,0.489021956088,2.21538260915e-05,0.0323854881293,6.39155357685e+70,279.383561644,0.873287671233
chamomile,4,0.00533333333333,0.422049956934,0.0,0.00208849133923,2.6581153606e+68,357.25,1.0
mozzarella,58,0.0773333333333,0.482877556048,0.000276736125689,0.0225803571454,3.10717323341e+70,244.310344828,0.738656987296
vinegar,281,0.374666666667,0.583854632112,0.00560566103083,0.079862312862,3.88667854297e+71,154.085409253,0.394128113879
beef_tongue,13,0.0173333333333,0.456876456876,5.03777515228e-07,0.00596499535104,2.16835847613e+69,329.769230769,0.910256410256
lychee,61,0.0813333333333,0.47619047619,0.000250915916641,0.0162537752504,1.60992197232e+70,152.950819672,0.616393442623
puff,30,0.04,0.468675274988,3.91388040463e-07,0.0151285264656,1.39477049887e+70,340.633333333,0.963218390805
maple_syrup,181,0.241333333333,0.535080535081,0.00112288215325,0.0582486164001,2.06761169192e+71,182.033149171,0.526396562308
cinnamon,440,0.586666666667,0.680555555556,0.0201445996934,0.100251198018,6.12449055438e+71,117.470454545,0.238662248913
orange_marmalade,20,0.0266666666667,0.45560204556,2.96647294182e-06,0.00761102932676,3.53011886933e+69,237.55,0.836842105263
buckwheat,20,0.0266666666667,0.466333571259,1.16211970673e-06,0.0091986725553,5.15653255368e+69,305.6,0.910526315789
popcorn,9,0.012,0.44384057971,0.0,0.00472039089656,1.35789498707e+69,360.222222222,1.0
mussel,72,0.096,0.488290981565,5.27066053722e-05,0.0306843614126,5.73771860656e+70,267.972222222,0.834507042254
green_olive,22,0.0293333333333,0.461067984004,5.92157095836e-08,0.0114991513072,8.05828911267e+69,364.045454545,0.978354978355
apple,218,0.290666666667,0.552735476593,0.00311093648444,0.0658532116107,2.64272082813e+71,170.233944954,0.462055553207
radish,163,0.217333333333,0.527306967985,0.000699888292598,0.0568967182599,1.9727570606e+71,199.846625767,0.603347724002
liqueur,9,0.012,0.40655465671,8.0341110214e-07,0.00289593386466,5.11061907958e+68,178.888888889,0.777777777778
lemon_oil,3,0.004,0.37037037037,0.0,0.00106948951035,6.97024677077e+67,193.0,1.0
soybean,58,0.0773333333333,0.480745646309,1.23209600858e-05,0.0257933189462,4.05434405009e+70,284.051724138,0.897156684815
duck,121,0.161333333333,0.510416666667,0.000241778040937,0.0464551233042,1.31512911011e+71,226.966942149,0.713085399449
pork_tenderloin,59,0.0786666666667,0.48145418816,6.36828701751e-05,0.0252659795683,3.89025469598e+70,272.677966102,0.808883693746
herring,4,0.00533333333333,0.438184663537,3.69941482238e-08,0.00233125960385,3.31206685614e+68,463.5,0.5
broccoli_rabe,1,0.00133333333333,0.423692174665,0.0,0.000627988130132,2.40339692357e+67,557.0,0.0
lime,433,0.577333333333,0.675629093416,0.0235238188794,0.100187213497,6.11668105535e+71,119.801385681,0.248150286545
hamburger_bun,30,0.04,0.468339307049,3.5700842549e-07,0.01472852717,1.32198815965e+70,330.066666667,0.967816091954
saltine,21,0.028,0.456238361266,6.18208208156e-07,0.00824285847096,4.14054963905e+69,238.428571429,0.947619047619
sake,50,0.0666666666667,0.477932211656,3.20206764778e-05,0.0190210310535,2.20479954559e+70,225.2,0.761632653061
sesame_seed,235,0.313333333333,0.560320182962,0.00187818502396,0.0736643012506,3.30681703916e+71,171.919148936,0.484851791235
dried_apricot,119,0.158666666667,0.508826583593,0.000341639699987,0.0446182055353,1.21318125543e+71,224.025210084,0.692921236291
clotted_cream,48,0.064,0.479334800685,1.36634169326e-05,0.0213310290918,2.77286910408e+70,284.9375,0.892730496454
flank_steak,20,0.0266666666667,0.465337132004,8.55718068961e-08,0.0100959697334,6.21162710272e+69,341.5,0.963157894737
pollock,21,0.028,0.467334287077,1.53840251363e-07,0.0111457393222,7.57058400184e+69,374.857142857,0.952380952381
blueberry,66,0.088,0.483234714004,0.000165577639828,0.0196634113819,2.3562260536e+70,177.257575758,0.687645687646
chestnut,49,0.0653333333333,0.478632478632,2.75565206881e-05,0.021843451437,2.90769635988e+70,288.0,0.855442176871
anchovy_paste,43,0.0573333333333,0.472061657033,3.76860503694e-05,0.0161683704255,1.59307658141e+70,237.302325581,0.758582502769
squid,107,0.142666666667,0.501792114695,0.000158573745014,0.0397086779591,9.60886665663e+70,220.570093458,0.695820842885
tangerine,115,0.153333333333,0.506852857512,0.000420091483286,0.0384336542151,9.00168587154e+70,199.973913043,0.614187643021
