Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
parsley,0,223,2002,42
tomato,1,193,1884,42
onion,2,189,1954,42
celery,3,167,966,42
lemon,4,163,1851,42
carrot,5,162,925,42
flour,6,160,1746,42
white_wine,7,148,1847,42
white,8,144,1879,42
basil,9,140,1536,42
peppercorn,10,139,1727,42
egg,11,137,1793,42
garlic,12,136,1729,42
rosemary,13,135,1742,42
pasta,14,134,1387,42
red_pepper,15,132,1635,42
bay_leaf,16,130,1669,42
butter,17,118,1260,42
potato,18,115,1371,42
olive_oil,19,112,1513,42
thyme,20,111,1597,42
heavy_cream,21,107,1026,42
oregano,22,104,1242,42
milk,23,103,511,42
chilli,24,103,991,42
sage,25,102,985,42
bread,26,101,1395,42
mushroom,27,101,1088,42
red_onion,28,98,1506,42
chicken_stock,29,97,839,42
nutmeg,30,95,885,42
orange,31,95,479,38
ricotta,32,94,653,42
egg_yolk,33,91,548,40
pine_nut,34,90,1038,42
cheese,35,90,1019,42
anchovy,36,89,731,40
spring_onion,37,89,1000,42
cinnamon,38,85,341,35
caper,39,84,428,38
sugar,40,84,170,26
pork,41,80,346,42
tomato_paste,42,78,542,42
red_wine,43,78,549,40
florence_fennel,44,77,517,40
vinegar,45,76,588,40
beef,46,76,249,42
veal,47,74,399,42
prosciutto,48,73,518,42
mozzarella,49,72,306,42
mint,50,71,351,39
chicken,51,69,530,42
zucchini,52,69,411,40
vegetable_oil,53,68,665,40
shallot,54,65,430,41
shrimp,55,64,135,37
raisin,56,64,259,31
almond,57,63,129,26
pea,58,63,266,42
rice,59,58,152,38
stock,60,56,148,38
honey,61,55,181,30
spinach,62,55,114,42
black_olive,63,55,234,37
wine_vinegar,64,53,89,35
bean,65,53,88,35
eggplant,66,52,154,36
saffron,67,50,88,36
walnut,68,50,130,30
sweet_pepper,69,48,44,36
globe_artichoke,70,48,78,37
rocket,71,48,86,35
castor_sugar,72,47,53,19
cherry tomato,73,47,65,35
semolina,74,45,28,38
chive,75,44,28,36
meat,76,43,36,34
plain_flour,77,43,63,28
tuna,78,42,38,32
spaghetti,79,41,40,31
ground_beef,80,41,22,35
dark_chocolate,81,41,54,19
salt,82,40,32,30
tomato_sauce,83,40,22,35
lamb,84,40,21,33
asparagus,85,40,32,32
green_olive,86,39,33,31
fennel_seed,87,39,35,31
shoulder,88,39,20,34
mussel,89,38,26,27
fish,90,38,36,28
squid,91,37,31,28
vegetable,92,37,22,32
ham,93,35,2,35
mascarpone,94,35,30,21
beef_stock,95,34,4,33
bacon,96,33,8,31
apple,97,33,23,23
sausage,98,32,8,29
penne,99,31,20,27
cream,100,31,18,24
olive,101,31,10,28
cocoa_powder,102,31,37,19
chicken_liver,103,31,14,27
cauliflower,104,30,11,26
brandy,105,30,14,23
polenta,106,29,5,27
cornmeal,107,29,5,27
coriander_seed,108,28,9,23
clam,109,28,9,23
chestnut,110,28,21,20
juniper_berry,111,27,14,23
garbanzo,112,27,2,27
lard,113,27,41,20
rabbit,114,27,8,25
truffle,115,26,8,24
fava_bean,116,26,4,25
green_bean,117,26,10,22
white_bread,118,26,6,24
rum,119,26,21,19
cooky,120,21,16,14
white_pepper,121,20,2,20
duck,122,20,5,18
hazelnut,123,20,6,18
cherry,124,19,6,16
