src,dest,wt
lemon_juice,caper,2.04582651391e-05
lemon_juice,olive_oil,2.04582651391e-05
lemon_juice,anchovy,2.04582651391e-05
lemon_juice,lemon,0.000102291325696
lemon_juice,onion,2.04582651391e-05
lemon_juice,ingredient,4.09165302782e-05
lemon_juice,egg,2.04582651391e-05
lemon_juice,orange_juice,2.04582651391e-05
lemon_juice,tangerine,2.04582651391e-05
lemon_juice,globe_artichoke,2.04582651391e-05
lemon_juice,ginger,2.04582651391e-05
lemon_juice,sugar,4.09165302782e-05
lemon_juice,juice,2.04582651391e-05
lemon_juice,nutmeg,2.04582651391e-05
lemon_juice,cinnamon,2.04582651391e-05
lemon_juice,flour,2.04582651391e-05
lemon_juice,orange,2.04582651391e-05
lemon_juice,walnut,2.04582651391e-05
lemon_juice,butter,2.04582651391e-05
lemon_juice,mint,2.04582651391e-05
lemon_juice,zucchini,2.04582651391e-05
pheasant,fennel_seed,2.04582651391e-05
pheasant,sage,0.000736497545008
pheasant,thyme,0.000409165302782
pheasant,cider_vinegar,2.04582651391e-05
pheasant,chicken,4.09165302782e-05
pheasant,mascarpone,2.04582651391e-05
pheasant,milk,8.18330605565e-05
pheasant,caper,6.13747954173e-05
pheasant,crystallized_fruit,2.04582651391e-05
pheasant,grape,0.000102291325696
pheasant,ham,8.18330605565e-05
pheasant,walnut,6.13747954173e-05
pheasant,celery,0.000572831423895
pheasant,tomato_paste,4.09165302782e-05
pheasant,spring_onion,4.09165302782e-05
pheasant,polenta,2.04582651391e-05
pheasant,orange,0.000122749590835
pheasant,ricotta,4.09165302782e-05
pheasant,black_olive,0.000102291325696
pheasant,rice,2.04582651391e-05
pheasant,pork_belly,2.04582651391e-05
pheasant,ingredient,0.000102291325696
pheasant,anchovy,2.04582651391e-05
pheasant,pistachio_nut,2.04582651391e-05
pheasant,flour,0.000163666121113
pheasant,castor_sugar,6.13747954173e-05
pheasant,truffle,0.00022504091653
pheasant,white_wine,0.000552373158756
pheasant,bread,0.000102291325696
pheasant,shoulder,2.04582651391e-05
pheasant,juniper_berry,0.000306873977087
pheasant,meat,8.18330605565e-05
pheasant,onion,0.0004705400982
pheasant,prosciutto,0.00022504091653
pheasant,nutmeg,0.000143207855974
pheasant,beef_stock,2.04582651391e-05
pheasant,zucchini,2.04582651391e-05
pheasant,rosemary,0.000634206219313
pheasant,pork,0.000184124386252
pheasant,grape_juice,2.04582651391e-05
pheasant,sultana,2.04582651391e-05
pheasant,pine_nut,4.09165302782e-05
pheasant,bacon,0.000122749590835
pheasant,wheat_flour,4.09165302782e-05
pheasant,red_onion,0.000102291325696
pheasant,ground_beef,4.09165302782e-05
pheasant,lard,2.04582651391e-05
pheasant,quince,8.18330605565e-05
pheasant,demiglace,2.04582651391e-05
pheasant,mustard_greens,2.04582651391e-05
pheasant,pasta,4.09165302782e-05
pheasant,raspberry,2.04582651391e-05
pheasant,paste,4.09165302782e-05
pheasant,mozzarella,2.04582651391e-05
pheasant,vinegar,6.13747954173e-05
pheasant,plum,4.09165302782e-05
pheasant,bay_leaf,0.000593289689034
pheasant,raisin,4.09165302782e-05
pheasant,cinnamon,0.000143207855974
pheasant,chive,4.09165302782e-05
pheasant,puff,2.04582651391e-05
pheasant,green_olive,4.09165302782e-05
pheasant,apple,4.09165302782e-05
pheasant,egg_yolk,0.000102291325696
pheasant,double_cream,0.000102291325696
pheasant,oregano,6.13747954173e-05
pheasant,duck,4.09165302782e-05
pheasant,white_bread,2.04582651391e-05
pheasant,tart,2.04582651391e-05
pheasant,beef,6.13747954173e-05
pheasant,parsley,0.000388707037643
pheasant,basil,4.09165302782e-05
pheasant,gin,2.04582651391e-05
pheasant,white,0.000368248772504
pheasant,fig,4.09165302782e-05
pheasant,chestnut,0.000163666121113
pheasant,tomato,0.000286415711948
pheasant,mushroom,0.000450081833061
pheasant,shallot,0.000184124386252
pheasant,red_wine,0.00022504091653
pheasant,arrowroot,2.04582651391e-05
pheasant,stick,0.000163666121113
pheasant,rabbit,4.09165302782e-05
pheasant,vegetable_oil,2.04582651391e-05
pheasant,prune,2.04582651391e-05
pheasant,hard_wheat,4.09165302782e-05
pheasant,chicken_stock,0.000409165302782
pheasant,olive_oil,0.000102291325696
pheasant,carrot,0.000552373158756
pheasant,pastry,2.04582651391e-05
pheasant,cream,4.09165302782e-05
pheasant,heavy_cream,0.000204582651391
pheasant,lemon,0.000143207855974
pheasant,liver,8.18330605565e-05
pheasant,wine_vinegar,2.04582651391e-05
pheasant,vegetable,2.04582651391e-05
pheasant,sherry,2.04582651391e-05
pheasant,star_anise,2.04582651391e-05
pheasant,stock,0.000102291325696
pheasant,pomegranate,4.09165302782e-05
pheasant,pear,4.09165302782e-05
pheasant,brandy,0.000265957446809
pheasant,garlic,0.000184124386252
pheasant,peppercorn,0.000102291325696
pheasant,cabbage,2.04582651391e-05
pheasant,watercress,2.04582651391e-05
pheasant,chicken_liver,6.13747954173e-05
pheasant,butter,0.000163666121113
pheasant,potato,0.000102291325696
pheasant,salt,2.04582651391e-05
pheasant,veal,6.13747954173e-05
pheasant,muscat_grape,2.04582651391e-05
pheasant,grappa,4.09165302782e-05
pheasant,egg,0.000102291325696
pheasant,wine,0.000102291325696
sunflower_oil,orange_peel,2.04582651391e-05
sunflower_oil,plaice,4.09165302782e-05
sunflower_oil,fennel_seed,6.13747954173e-05
sunflower_oil,cream_cheese,4.09165302782e-05
sunflower_oil,rocket,6.13747954173e-05
sunflower_oil,romaine_lettuce,2.04582651391e-05
sunflower_oil,sage,0.000388707037643
sunflower_oil,coriander_seed,4.09165302782e-05
sunflower_oil,white_wine,0.000429623567921
sunflower_oil,cherry tomato,0.000184124386252
sunflower_oil,black_olive,4.09165302782e-05
sunflower_oil,cumin_seed,4.09165302782e-05
sunflower_oil,chicken,0.000245499181669
sunflower_oil,mascarpone,2.04582651391e-05
sunflower_oil,milk,0.00022504091653
sunflower_oil,toast,2.04582651391e-05
sunflower_oil,crystallized_fruit,2.04582651391e-05
sunflower_oil,ham,6.13747954173e-05
sunflower_oil,single_cream,2.04582651391e-05
sunflower_oil,cherry,8.18330605565e-05
sunflower_oil,leg_of_lamb,2.04582651391e-05
sunflower_oil,sugar,0.000204582651391
sunflower_oil,celery,0.000736497545008
sunflower_oil,tomato_paste,0.000163666121113
sunflower_oil,horseradish,2.04582651391e-05
sunflower_oil,spring_onion,0.000265957446809
sunflower_oil,polenta,6.13747954173e-05
sunflower_oil,orange,0.00022504091653
sunflower_oil,ricotta,0.000368248772504
sunflower_oil,pesto,2.04582651391e-05
sunflower_oil,rice,0.00022504091653
sunflower_oil,pumpkin,4.09165302782e-05
sunflower_oil,anchovy,0.000450081833061
sunflower_oil,pistachio_nut,8.18330605565e-05
sunflower_oil,flour,0.000634206219313
sunflower_oil,cinnamon,0.000388707037643
sunflower_oil,swordfish,4.09165302782e-05
sunflower_oil,castor_sugar,0.000429623567921
sunflower_oil,bean,4.09165302782e-05
sunflower_oil,brandy,0.000102291325696
sunflower_oil,peanut_butter,2.04582651391e-05
sunflower_oil,semolina,8.18330605565e-05
sunflower_oil,bread,0.000122749590835
sunflower_oil,shoulder,2.04582651391e-05
sunflower_oil,juniper_berry,0.000143207855974
sunflower_oil,clam,6.13747954173e-05
sunflower_oil,meat,4.09165302782e-05
sunflower_oil,thyme,0.000245499181669
sunflower_oil,lettuce,6.13747954173e-05
sunflower_oil,asparagus,6.13747954173e-05
sunflower_oil,sea_bass,2.04582651391e-05
sunflower_oil,couverture,2.04582651391e-05
sunflower_oil,crabmeat,4.09165302782e-05
sunflower_oil,aniseed,4.09165302782e-05
sunflower_oil,eel,2.04582651391e-05
sunflower_oil,prosciutto,0.000122749590835
sunflower_oil,drinking_chocolate,4.09165302782e-05
sunflower_oil,nutmeg,0.000184124386252
sunflower_oil,zucchini,0.000490998363339
sunflower_oil,rosemary,0.000572831423895
sunflower_oil,stockfish,2.04582651391e-05
sunflower_oil,pork,6.13747954173e-05
sunflower_oil,avocado,4.09165302782e-05
sunflower_oil,sultana,8.18330605565e-05
sunflower_oil,radicchio,8.18330605565e-05
sunflower_oil,almond,8.18330605565e-05
sunflower_oil,adobo,2.04582651391e-05
sunflower_oil,marmalade,2.04582651391e-05
sunflower_oil,lobster,2.04582651391e-05
sunflower_oil,lentil,2.04582651391e-05
sunflower_oil,buffalo,6.13747954173e-05
sunflower_oil,red_onion,0.000102291325696
sunflower_oil,ground_beef,2.04582651391e-05
sunflower_oil,tarragon,4.09165302782e-05
sunflower_oil,green_bean,8.18330605565e-05
sunflower_oil,lemon_sole,4.09165302782e-05
sunflower_oil,soy_sauce,4.09165302782e-05
sunflower_oil,rum,8.18330605565e-05
sunflower_oil,fillet,0.000102291325696
sunflower_oil,broccoli_rabe,2.04582651391e-05
sunflower_oil,flounder,2.04582651391e-05
sunflower_oil,dill_weed,4.09165302782e-05
sunflower_oil,icing_sugar,4.09165302782e-05
sunflower_oil,lard,8.18330605565e-05
sunflower_oil,yogurt,6.13747954173e-05
sunflower_oil,truffle,4.09165302782e-05
sunflower_oil,monkfish,0.000102291325696
sunflower_oil,sparkling_water,6.13747954173e-05
sunflower_oil,pea,0.000143207855974
sunflower_oil,turbot,4.09165302782e-05
sunflower_oil,cocoa_powder,6.13747954173e-05
sunflower_oil,caper,4.09165302782e-05
sunflower_oil,plain_flour,0.000634206219313
sunflower_oil,sesame_oil,4.09165302782e-05
sunflower_oil,fish,0.000204582651391
sunflower_oil,mustard_greens,2.04582651391e-05
sunflower_oil,leafy_vegetable,2.04582651391e-05
sunflower_oil,snapper,2.04582651391e-05
sunflower_oil,mango,2.04582651391e-05
sunflower_oil,dark_chocolate,4.09165302782e-05
sunflower_oil,pasta,0.000143207855974
sunflower_oil,curry_powder,4.09165302782e-05
sunflower_oil,paste,2.04582651391e-05
sunflower_oil,mozzarella,0.000450081833061
sunflower_oil,red_cabbage,2.04582651391e-05
sunflower_oil,smoked_salmon,4.09165302782e-05
sunflower_oil,florence_fennel,8.18330605565e-05
sunflower_oil,vinegar,8.18330605565e-05
sunflower_oil,corn,2.04582651391e-05
sunflower_oil,bay_leaf,0.000572831423895
sunflower_oil,raisin,2.04582651391e-05
sunflower_oil,onion,0.000777414075286
sunflower_oil,shrimp,0.000265957446809
sunflower_oil,jelly,4.09165302782e-05
sunflower_oil,cod,4.09165302782e-05
sunflower_oil,eggplant,0.000429623567921
sunflower_oil,chive,2.04582651391e-05
sunflower_oil,mussel,0.000102291325696
sunflower_oil,tongue,2.04582651391e-05
sunflower_oil,whole_wheat_bread,2.04582651391e-05
sunflower_oil,octopus,6.13747954173e-05
sunflower_oil,cheese,0.000245499181669
sunflower_oil,kirsch,2.04582651391e-05
sunflower_oil,apple,6.13747954173e-05
sunflower_oil,citron,4.09165302782e-05
sunflower_oil,radish,4.09165302782e-05
sunflower_oil,liqueur,8.18330605565e-05
sunflower_oil,green_pepper,2.04582651391e-05
sunflower_oil,egg_yolk,0.000368248772504
sunflower_oil,globe_artichoke,0.000265957446809
sunflower_oil,whelk,2.04582651391e-05
sunflower_oil,scallop,2.04582651391e-05
sunflower_oil,loin,2.04582651391e-05
sunflower_oil,double_cream,2.04582651391e-05
sunflower_oil,oregano,0.000122749590835
sunflower_oil,white_bread,0.000102291325696
sunflower_oil,cabbage,6.13747954173e-05
sunflower_oil,lime,6.13747954173e-05
sunflower_oil,turkey,2.04582651391e-05
sunflower_oil,salt_cod,0.000184124386252
sunflower_oil,beef,6.13747954173e-05
sunflower_oil,spinach,6.13747954173e-05
sunflower_oil,parsley,0.00137070376432
sunflower_oil,beer,0.000143207855974
sunflower_oil,almond oil,2.04582651391e-05
sunflower_oil,cauliflower,0.000122749590835
sunflower_oil,vegetable_oil,6.13747954173e-05
sunflower_oil,white,0.000368248772504
sunflower_oil,vanilla_extract,0.000102291325696
sunflower_oil,pine_nut,0.000163666121113
sunflower_oil,chestnut,2.04582651391e-05
sunflower_oil,butter,0.000143207855974
sunflower_oil,mushroom,0.000143207855974
sunflower_oil,chilli,0.000511456628478
sunflower_oil,shallot,0.000163666121113
sunflower_oil,red_wine,0.000204582651391
sunflower_oil,cardoon,2.04582651391e-05
sunflower_oil,corn_oil,6.13747954173e-05
sunflower_oil,basil,0.000572831423895
sunflower_oil,stick,0.000102291325696
sunflower_oil,rabbit,2.04582651391e-05
sunflower_oil,hazelnut,4.09165302782e-05
sunflower_oil,olive,2.04582651391e-05
sunflower_oil,walnut,6.13747954173e-05
sunflower_oil,hard-cooked_egg,2.04582651391e-05
sunflower_oil,cress,2.04582651391e-05
sunflower_oil,apricot,2.04582651391e-05
sunflower_oil,blueberry,2.04582651391e-05
sunflower_oil,sesame,2.04582651391e-05
sunflower_oil,candied_citrus_peel,6.13747954173e-05
sunflower_oil,vanilla_bean,2.04582651391e-05
sunflower_oil,cornmeal,2.04582651391e-05
sunflower_oil,garbanzo,0.000102291325696
sunflower_oil,currant,4.09165302782e-05
sunflower_oil,sea_bream,6.13747954173e-05
sunflower_oil,ingredient,0.000531914893617
sunflower_oil,chicken_stock,0.000102291325696
sunflower_oil,olive_oil,0.000286415711948
sunflower_oil,lager_beer,2.04582651391e-05
sunflower_oil,perch,2.04582651391e-05
sunflower_oil,anchovy_paste,4.09165302782e-05
sunflower_oil,squid,0.000184124386252
sunflower_oil,cucumber,4.09165302782e-05
sunflower_oil,ginger,8.18330605565e-05
sunflower_oil,tomato_ketchup,6.13747954173e-05
sunflower_oil,honey,0.000306873977087
sunflower_oil,carrot,0.000838788870704
sunflower_oil,pastry,2.04582651391e-05
sunflower_oil,penne,8.18330605565e-05
sunflower_oil,mint,0.000245499181669
sunflower_oil,nonpareil,2.04582651391e-05
sunflower_oil,lamb,4.09165302782e-05
sunflower_oil,heavy_cream,6.13747954173e-05
sunflower_oil,lemon,0.00116612111293
sunflower_oil,granulated_sugar,2.04582651391e-05
sunflower_oil,liver,2.04582651391e-05
sunflower_oil,salad_green,2.04582651391e-05
sunflower_oil,wine_vinegar,0.000204582651391
sunflower_oil,saffron,8.18330605565e-05
sunflower_oil,venison,2.04582651391e-05
sunflower_oil,sesame_seed,6.13747954173e-05
sunflower_oil,vegetable,8.18330605565e-05
sunflower_oil,sherry,2.04582651391e-05
sunflower_oil,mayonnaise,4.09165302782e-05
sunflower_oil,sunflower_seed,2.04582651391e-05
sunflower_oil,stock,2.04582651391e-05
sunflower_oil,salmon,2.04582651391e-05
sunflower_oil,ziti,2.04582651391e-05
sunflower_oil,mace,2.04582651391e-05
sunflower_oil,garlic,0.000204582651391
sunflower_oil,sambuca,2.04582651391e-05
sunflower_oil,peppercorn,0.000347790507365
sunflower_oil,tuna,2.04582651391e-05
sunflower_oil,watercress,4.09165302782e-05
sunflower_oil,green_olive,6.13747954173e-05
sunflower_oil,oyster,2.04582651391e-05
sunflower_oil,chicken_liver,4.09165302782e-05
sunflower_oil,tomato,0.000756955810147
sunflower_oil,sardine,0.000163666121113
sunflower_oil,red_pepper,0.000163666121113
sunflower_oil,potato,0.0004705400982
sunflower_oil,egg,0.000654664484452
sunflower_oil,gin,4.09165302782e-05
sunflower_oil,beetroot,0.000102291325696
sunflower_oil,tapenade,2.04582651391e-05
sunflower_oil,whipping_cream,2.04582651391e-05
sunflower_oil,veal,8.18330605565e-05
sunflower_oil,tahini,2.04582651391e-05
sunflower_oil,grappa,8.18330605565e-05
sunflower_oil,salt,6.13747954173e-05
