src,dest,wt
,tomato,0.5
,semolina,0.001
,flour,0.5
,avocado,0.5
,oregano,0.5
,watercress,0.01
lemon_juice,olive_oil,0.2
lemon_juice,onion,0.2
lemon_juice,orange_juice,0.2
lemon_juice,tangerine,0.2
lemon_juice,walnut,0.2
lemon_juice,nutmeg,0.2
lemon_juice,orange,0.2
lemon_juice,sugar,0.4
lemon_juice,mint,0.2
lemon_juice,zucchini,0.001
pheasant,pork,0.087
pheasant,sultana,0.01
pheasant,raisin,0.002
pheasant,pine_nut,0.019
pheasant,ricotta,0.001
pheasant,sage,0.013
pheasant,white_wine,0.006
pheasant,wheat_flour,0.019
pheasant,red_onion,0.002
pheasant,white_bread,0.002
pheasant,wine_vinegar,0.001
pheasant,walnut,0.029
pheasant,tomato_paste,0.019
pheasant,spring_onion,0.019
pheasant,polenta,0.01
pheasant,vegetable,0.01
pheasant,quince,0.038
pheasant,white,0.004
pheasant,rice,0.001
pheasant,star_anise,0.01
pheasant,tart,0.01
pheasant,tomato,0.135
pheasant,pistachio_nut,0.01
pheasant,shallot,0.087
pheasant,pomegranate,0.019
pheasant,red_wine,0.007
pheasant,sherry,0.01
pheasant,stick,0.077
pheasant,rabbit,0.019
pheasant,truffle,0.106
pheasant,watercress,0.01
pheasant,shoulder,0.01
pheasant,vinegar,0.029
pheasant,prune,0.01
pheasant,thyme,0.192
pheasant,potato,0.048
pheasant,rosemary,0.008
pheasant,plum,0.019
pheasant,raspberry,0.004
pheasant,vegetable_oil,0.01
pheasant,zucchini,0.001
pheasant,pork_belly,0.01
pheasant,prosciutto,0.106
pheasant,veal,0.029
pheasant,puff,0.01
pheasant,stock,0.048
pheasant,salt,0.002
pheasant,wine,0.017
sunflower_oil,white_wine,0.005
sunflower_oil,whelk,1.0
sunflower_oil,white_bread,0.01
sunflower_oil,turkey,0.004
sunflower_oil,tarragon,0.007
sunflower_oil,wine_vinegar,0.01
sunflower_oil,tapenade,0.111
sunflower_oil,walnut,0.003
sunflower_oil,tomato_paste,0.005
sunflower_oil,venison,0.013
sunflower_oil,vegetable,0.006
sunflower_oil,vegetable_oil,0.003
sunflower_oil,white,0.004
sunflower_oil,sunflower_seed,0.004
sunflower_oil,vanilla_extract,0.014
sunflower_oil,turbot,0.056
sunflower_oil,zucchini,0.014
sunflower_oil,toast,0.143
sunflower_oil,swordfish,0.007
sunflower_oil,ziti,0.01
sunflower_oil,yogurt,0.022
sunflower_oil,tomato_ketchup,0.07
sunflower_oil,truffle,0.004
sunflower_oil,tuna,0.001
sunflower_oil,watercress,0.019
sunflower_oil,tomato,0.004
sunflower_oil,vinegar,0.003
sunflower_oil,thyme,0.005
sunflower_oil,vanilla_bean,0.002
sunflower_oil,whipping_cream,0.004
sunflower_oil,veal,0.002
sunflower_oil,tahini,0.077
sunflower_oil,tongue,0.018
sunflower_oil,whole_wheat_bread,0.024
sunflower_oil,wine,0.003
mackerel,olive_oil,0.103
mackerel,whiting,0.083
mackerel,tomato_sauce,0.003
mackerel,pine_nut,0.001
mackerel,squid,0.003
mackerel,sage,0.001
mackerel,white_wine,0.002
mackerel,peppercorn,0.002
mackerel,pastry,0.003
mackerel,oregano,0.086
mackerel,red_pepper,0.002
mackerel,white_bread,0.002
mackerel,mint,0.121
mackerel,red_onion,0.001
mackerel,rocket,0.001
mackerel,salad_green,0.026
mackerel,wine_vinegar,0.01
mackerel,parsley,0.002
mackerel,saffron,0.005
mackerel,sugar,0.017
mackerel,tomato_paste,0.001
mackerel,spring_onion,0.001
mackerel,yogurt,0.007
mackerel,white,0.001
mackerel,monkfish,0.052
mackerel,pea,0.004
mackerel,turbot,0.028
mackerel,red_wine,0.005
mackerel,shallot,0.001
mackerel,sole,0.017
mackerel,pasta,0.034
mackerel,red_currant,0.067
mackerel,vegetable,0.002
mackerel,semolina,0.001
mackerel,potato,0.001
mackerel,olive,0.017
mackerel,mullet,0.034
mackerel,tomato,0.002
mackerel,vinegar,0.001
mackerel,porgy,0.04
mackerel,thyme,0.003
mackerel,onion,0.19
mackerel,orange,0.034
mackerel,rosemary,0.001
mackerel,sweet_pepper,0.004
mackerel,raisin,0.001
mackerel,mustard_seed,0.017
mackerel,shrimp,0.002
mackerel,tomato_concentrate,0.1
mackerel,mussel,0.052
mackerel,red_snapper,0.043
mackerel,octopus,0.017
ale,olive_oil,0.333
ale,bay_leaf,0.333
ale,fish,0.333
ale,juice,0.008
ale,red_pepper,0.333
ale,heavy_cream,0.333
ale,red_onion,0.333
ale,lemon,0.333
ale,beef,0.333
ale,littleneck_clam,0.008
ale,parsley,0.667
ale,celery,0.333
ale,basil,0.333
ale,hard-cooked_egg,0.006
ale,tomato,0.333
ale,shallot,0.333
ale,flour,0.333
ale,corn,0.005
ale,corn_oil,0.033
ale,water,0.011
ale,garlic,0.333
ale,peppercorn,0.667
ale,salt_pork,0.011
ale,tuna,0.001
ale,florence_fennel,0.333
ale,clam,0.002
ale,onion,0.333
ale,thyme,0.333
ale,potato,0.333
ale,sweet_pepper,0.003
ale,chive,0.002
ale,green_olive,0.333
ale,steak,0.333
ale,rosemary,0.667
roe,squid,0.12
roe,sage,0.08
roe,white_wine,0.24
roe,scallop,0.04
roe,spiny_lobster,0.04
roe,wheat_flour,0.08
roe,spaghetti,0.08
roe,spinach,0.08
roe,saffron,0.04
roe,tomato_paste,0.04
roe,spring_onion,0.08
roe,soured_cream,0.04
roe,yogurt,0.04
roe,vegetable_oil,0.04
roe,white,0.16
roe,star_anise,0.04
roe,trout,0.04
roe,sparkling_wine,0.04
roe,salmon,0.24
roe,sea_trout,0.08
roe,semolina,0.08
roe,smoked_salmon,0.08
roe,tomato,0.16
roe,thyme,0.04
roe,shrimp,0.04
roe,white_pepper,0.08
roe,stock,0.04
roe,rosemary,0.04
hero roll,pork,0.091
hero roll,tomato_sauce,0.091
hero roll,romaine_lettuce,0.008
hero roll,peppercorn,0.182
hero roll,oregano,0.455
hero roll,iceberg_lettuce,0.091
hero roll,milk,0.091
hero roll,sausage,0.002
hero roll,white_bread,0.002
hero roll,tarragon,0.091
hero roll,parsley,0.455
hero roll,mayonnaise,0.091
hero roll,sauce,0.02
hero roll,leafy_vegetable,0.091
hero roll,red_onion,0.091
hero roll,marinara,0.273
hero roll,olive,0.091
hero roll,mozzarella,0.455
hero roll,tomato,0.455
hero roll,red_pepper,0.001
hero roll,thyme,0.091
hero roll,salami,0.004
hero roll,sweet_pepper,0.182
hero roll,onion,0.182
hero roll,prosciutto,0.182
hero roll,veal,0.091
hero roll,steak,0.091
graham_bread,vinegar,0.001
graham_bread,safflower_oil,0.032
graham_bread,onion,1.0
graham_bread,lemon_balm,0.111
graham_bread,pine_nut,0.001
graham_bread,raisin,0.001
graham_bread,honey,0.001
graham_bread,veal,0.001
graham_bread,mint,1.0
safflower,tomato,0.5
safflower,sake,0.5
safflower,sole,0.5
safflower,shrimp,0.5
safflower,tomato_paste,0.5
safflower,sea_scallop,0.5
wood_sorrel,yarrow,0.073
ice,sorbet,1.0
ice,raspberry,0.004
ice,ice_cream,1.0
anchovy_sauce,tuna,0.001
anchovy_sauce,coriander_seed,0.003
