Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
chili_con_carne,0,195,567,25
tomato,1,153,518,25
onion,2,149,1011,25
coriander_seed,3,136,954,25
garlic,4,124,953,25
lime,5,119,854,25
corn,6,117,908,25
oregano,7,103,791,25
cumin_seed,8,99,816,25
cinnamon,9,91,557,25
bay_leaf,10,85,635,25
chicken_stock,11,85,615,25
chicken,12,81,661,25
tortilla,13,80,590,25
peppercorn,14,77,562,25
flour,15,74,352,25
red_pepper,16,73,534,25
parsley,17,72,473,25
thyme,18,71,550,25
carrot,19,70,447,25
pork,20,66,448,25
potato,21,66,364,25
lard,22,64,315,25
orange,23,56,189,25
raisin,24,55,238,25
egg,25,53,229,23
spring_onion,26,51,260,25
vinegar,27,51,201,25
sweet_pepper,28,51,263,25
sugar,29,51,86,17
almond,30,51,168,24
red_onion,31,50,210,25
tomatillo,32,50,190,25
avocado,33,48,274,25
allspice,34,47,182,25
butter,35,44,120,19
rice,36,43,88,23
beef,37,43,125,24
shrimp,38,39,49,24
cider_vinegar,39,38,96,25
green,40,38,84,24
heavy_cream,41,37,77,22
milk,42,35,75,18
sesame_seed,43,34,30,23
chipotle,44,34,42,24
turtle_bean,45,32,48,22
lettuce,46,30,30,24
bacon,47,30,42,22
adobo,48,30,66,21
sour_cream,49,29,74,19
plantain,50,29,16,24
white,51,29,17,22
vegetable_oil,52,29,20,23
green_olive,53,28,24,24
berry,54,28,12,24
radish,55,26,8,23
cheese,56,26,48,19
celery,57,26,12,22
pineapple,58,25,16,20
caper,59,25,12,22
paste,60,25,15,19
pumpkin_seed,61,24,12,20
peanut,62,23,12,20
safflower_oil,63,23,8,21
mint,64,23,9,20
banana,65,23,8,20
ground_beef,66,23,8,20
cheddar_cheese,67,22,12,18
apple,68,22,24,14
grain,69,21,8,18
shoulder,70,21,4,20
sherry,71,21,10,17
pecan,72,21,28,14
romaine_lettuce,73,21,4,20
peanut_oil,74,21,8,18
pea,75,20,8,17
green_pepper,76,20,6,18
sausage,77,20,6,18
olive_oil,78,20,2,20
green_bean,79,19,6,17
lemon,80,19,14,15
mushroom,81,19,4,18
mayonnaise,82,18,8,15
beef_stock,83,18,4,17
white_wine,84,18,4,17
orange_juice,85,18,7,15
egg_yolk,86,18,7,13
cabbage,87,17,6,15
aniseed,88,16,8,13
turkey,89,16,4,15
tomato_paste,90,16,7,13
