node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
mackerel,6,0.0128755364807,0.474541751527,0.0,0.0076460424452,3.69788845318e+40,298.666666667,1.0
roe,2,0.00429184549356,0.455968688845,0.0,0.00260229668202,4.28344536424e+39,325.5,1.0
barbecue,7,0.0150214592275,0.459566074951,7.09982711921e-07,0.00578518325341,2.11699129792e+40,170.0,0.952380952381
fish_steak,6,0.0128755364807,0.476970317298,0.0,0.00767908555819,3.72991733993e+40,304.166666667,1.0
milk,140,0.300429184549,0.580323785803,0.00597144204771,0.0903977003874,5.1690090041e+42,100.578571429,0.469784172662
crystallized_fruit,1,0.00214592274678,0.38417147568,0.0,0.00106039877697,7.1125711305e+38,192.0,0.0
grape,10,0.0214592274678,0.475995914198,0.0,0.011015168725,7.67479451637e+40,222.8,1.0
peanut,83,0.178111587983,0.538728323699,0.000531690908583,0.0681548676585,2.93822096038e+42,133.759036145,0.747281810167
turtle_bean,94,0.201716738197,0.546948356808,0.00065308081716,0.0743729884851,3.49882260068e+42,125.468085106,0.708991077557
black_olive,50,0.107296137339,0.516057585825,2.88390093258e-05,0.0473129731396,1.41595256352e+42,164.54,0.917551020408
pickle_relish,2,0.00429184549356,0.352229780801,0.0,0.00065376971563,2.7036232506e+38,45.0,1.0
pork_belly,2,0.00429184549356,0.43188137164,0.0,0.0025049457068,3.96897314793e+39,271.5,1.0
lima_bean,11,0.0236051502146,0.473096446701,0.0,0.0125886825135,1.00240592564e+41,239.636363636,1.0
peanut_butter,13,0.0278969957082,0.479917610711,0.00429184549356,0.0125155594664,9.90799848601e+40,189.0,0.846153846154
kidney_bean,17,0.0364806866953,0.476970317298,6.62424061362e-07,0.0185388257618,2.17394603175e+41,214.941176471,0.977941176471
hot_sauce,13,0.0278969957082,0.480908152735,1.80975985392e-07,0.0143903134767,1.30985948312e+41,223.615384615,0.987179487179
asparagus,9,0.019313304721,0.476482617587,0.0,0.0101258818815,6.48558355071e+40,238.111111111,1.0
egg_noodle,1,0.00214592274678,0.383223684211,0.0,0.00108660341664,7.46841849606e+38,186.0,0.0
vegetable_oil,94,0.201716738197,0.550177095632,0.0011495820631,0.0750010135045,3.55815830982e+42,129.20212766,0.697552047586
orzo,3,0.00643776824034,0.400687876182,0.0,0.0023315780915,3.43867623193e+39,126.0,1.0
pork,143,0.30686695279,0.585427135678,0.00361120159909,0.0979860991146,6.07326678659e+42,103.881118881,0.518762927214
tomato_sauce,54,0.115879828326,0.507625272331,0.00441147616403,0.0469197857857,1.39251882121e+42,146.981481481,0.818308874913
almond,136,0.291845493562,0.578163771712,0.00388608844468,0.0916410844914,5.31218491552e+42,104.360294118,0.510893246187
bacon,108,0.231759656652,0.561445783133,0.00126875381318,0.0808989766682,4.13978722458e+42,118.268518519,0.627033575632
sirloin_tip,6,0.0128755364807,0.461386138614,0.0,0.00562325403129,2.00014074619e+40,194.666666667,1.0
currant,14,0.0300429184549,0.482401656315,3.56176855851e-07,0.0152972330297,1.48016588917e+41,217.285714286,0.978021978022
spaghetti,4,0.00858369098712,0.441287878788,0.0,0.00422253445289,1.12779127085e+40,233.5,1.0
almond_extract,11,0.0236051502146,0.474541751527,2.84722025638e-05,0.0098225043171,6.1028663132e+40,162.909090909,0.909090909091
powdered_sugar,3,0.00643776824034,0.406986899563,0.0,0.00300593925227,5.71544198995e+39,178.666666667,1.0
red_onion,149,0.31974248927,0.589127686473,0.00294601766497,0.0983618327294,6.11993949954e+42,99.5704697987,0.477961182659
guava,10,0.0214592274678,0.445081184336,2.40407897596e-06,0.00762349214566,3.67619629471e+40,132.6,0.822222222222
ground_beef,82,0.175965665236,0.536866359447,0.00466330275502,0.0650633274256,2.67770951112e+42,128.341463415,0.703101475459
tarragon,41,0.087982832618,0.514917127072,1.12649933052e-05,0.0409681836458,1.06164804477e+42,179.585365854,0.964634146341
soy_sauce,54,0.115879828326,0.517777777778,0.000322640076161,0.0471784008484,1.4079108743e+42,150.981481481,0.799440950384
loaf_sugar,14,0.0300429184549,0.484911550468,0.0,0.015506960025,1.52103016079e+41,225.0,1.0
espresso,8,0.0171673819742,0.405570060923,0.0,0.00576084816091,2.09925968149e+40,117.125,1.0
fillet,63,0.135193133047,0.527746319366,0.000378301185681,0.0522144724383,1.72453184845e+42,141.031746032,0.748079877112
string_bean,4,0.00858369098712,0.445933014354,0.0,0.00494195394089,1.5448234214e+40,268.0,1.0
dill_weed,19,0.0407725321888,0.489495798319,1.00332742499e-05,0.0176923724919,1.97997472256e+41,170.263157895,0.912280701754
celery_seed,6,0.0128755364807,0.456415279138,0.0,0.00678744440106,2.91404767022e+40,229.666666667,1.0
grapefruit_juice,7,0.0150214592275,0.474059003052,0.0,0.00712361079618,3.20984730397e+40,222.0,1.0
plain_flour,4,0.00858369098712,0.405570060923,0.0,0.00305575662633,5.90646342115e+39,135.75,1.0
yautia,10,0.0214592274678,0.458210422812,0.0,0.0105966545013,7.10269060802e+40,204.4,1.0
honeydew_melon,6,0.0128755364807,0.467871485944,1.53829587583e-06,0.00557015437728,1.96254222694e+40,198.333333333,0.933333333333
herb,23,0.049356223176,0.492080253432,1.73950218376e-06,0.0228469615374,3.30174980012e+41,180.304347826,0.96442687747
water,6,0.0128755364807,0.440037771483,0.0,0.00578504110619,2.11690719579e+40,175.5,1.0
chicken leg,20,0.0429184549356,0.494167550371,0.0,0.0231512106138,3.3902459363e+41,230.9,1.0
mozzarella,32,0.068669527897,0.493121693122,1.40189034394e-05,0.0301747943814,5.75938348223e+41,170.25,0.915322580645
vinegar,182,0.390557939914,0.614775725594,0.020587731876,0.107461959692,7.30472657373e+42,87.7362637363,0.375994171574
granulated_sugar,29,0.0622317596567,0.493644067797,0.000198276900276,0.0200457598872,2.54176795546e+41,120.827586207,0.704433497537
beef_tongue,14,0.0300429184549,0.472137791287,0.0,0.0161099064189,1.64160871468e+41,229.5,1.0
maple_syrup,8,0.0171673819742,0.470707070707,0.0,0.00806866307541,4.11803164874e+40,193.875,1.0
cinnamon,214,0.459227467811,0.640990371389,0.0408925998029,0.11309458586,8.09055442832e+42,78.0654205607,0.29994295994
mussel,35,0.0751072961373,0.496272630458,5.74947959333e-05,0.0302855849039,5.80176450817e+41,154.657142857,0.850420168067
green_olive,124,0.266094420601,0.569682151589,0.00176858145286,0.0888027640523,4.98822219646e+42,110.35483871,0.571334906897
guacamole,15,0.0321888412017,0.478931140802,9.22977525497e-07,0.0149975738574,1.42274801045e+41,190.8,0.980952380952
radish,92,0.197424892704,0.545029239766,0.00121554324184,0.072315299708,3.30789472633e+42,125.336956522,0.698996655518
liqueur,3,0.00643776824034,0.394247038917,2.60225806359e-06,0.00168603890629,1.7981487438e+39,94.3333333333,0.333333333333
egg_yolk,89,0.190987124464,0.545667447307,0.0054763990424,0.0621942159691,2.44675505689e+42,116.449438202,0.572012257406
duck,27,0.0579399141631,0.497331910352,1.65384763373e-05,0.0283619093168,5.08810820615e+41,200.074074074,0.951566951567
pork_tenderloin,12,0.0257510729614,0.48643006263,0.0,0.0141315512464,1.26317227609e+41,249.166666667,1.0
lime,290,0.622317596567,0.722480620155,0.0790243865352,0.128697582563,1.04770090965e+43,63.1413793103,0.199117050471
hamburger_bun,1,0.00214592274678,0.349587396849,0.0,0.000630708757739,2.51625628591e+38,82.0,0.0
saltine,9,0.019313304721,0.479917610711,0.0,0.00949705641519,5.70508354833e+40,222.777777778,1.0
dried_apricot,26,0.0557939914163,0.497863247863,2.14855976655e-05,0.0234701706606,3.48433942781e+41,165.423076923,0.910769230769
flank_steak,30,0.0643776824034,0.495217853348,5.52600692641e-07,0.0312544480901,6.17888101238e+41,192.0,0.990804597701
blueberry,9,0.019313304721,0.442545109212,1.34561817759e-06,0.00725322863548,3.32777116859e+40,143.333333333,0.916666666667
anchovy_paste,1,0.00214592274678,0.448076923077,0.0,0.00133131914542,1.12109699699e+39,360.0,0.0
tangerine,5,0.0107296137339,0.46368159204,3.5499135596e-07,0.00450679366968,1.28475880104e+40,193.8,0.9
corn_oil,56,0.12017167382,0.521252796421,0.000296165419507,0.0516409748429,1.68685386643e+42,158.696428571,0.873376623377
pecan,89,0.190987124464,0.541860465116,0.00209673815259,0.0630663477781,2.51585978561e+42,116.303370787,0.608018386108
rabbit,20,0.0429184549356,0.487958115183,2.98873395559e-07,0.0217520447333,2.99284941535e+41,213.75,0.989473684211
olive,31,0.0665236051502,0.503239740821,1.08735230387e-06,0.032993493287,6.88561161282e+41,197.64516129,0.989247311828
gherkin,4,0.00858369098712,0.43188137164,0.0,0.00419422183713,1.1127267272e+40,196.25,1.0
spearmint,5,0.0107296137339,0.474059003052,0.0,0.00642747246964,2.61312692225e+40,310.0,1.0
sweet_pickle,2,0.00429184549356,0.352229780801,0.0,0.00065376971563,2.7036232506e+38,45.0,1.0
suckling_pig,1,0.00214592274678,0.413854351687,0.0,0.00125161308855,9.90880103355e+38,275.0,0.0
beef_neck,8,0.0171673819742,0.465534465534,0.0,0.00939079292506,5.57811231764e+40,247.0,1.0
pumpkin,55,0.118025751073,0.520089285714,0.000363187460042,0.0494276075324,1.54535478245e+42,155.054545455,0.86734006734
heart,2,0.00429184549356,0.451550387597,0.0,0.00240522509124,3.6592635691e+39,274.0,1.0
roast_beef,4,0.00858369098712,0.461386138614,0.00011747603562,0.0038969189168,9.60556082657e+39,236.25,0.5
evaporated_milk,45,0.0965665236052,0.511525795829,0.000231388560163,0.033606963055,7.14411004922e+41,130.911111111,0.722222222222
light_beer,1,0.00214592274678,0.41981981982,0.0,0.00124759460413,9.84529497584e+38,290.0,0.0
tomato_ketchup,44,0.0944206008584,0.509846827133,5.07320516781e-05,0.0398579727222,1.00489060211e+42,158.045454545,0.856236786469
honey,106,0.227467811159,0.557416267943,0.00537208269464,0.078488942471,3.89680552979e+42,117.924528302,0.610961365678
carrot,180,0.386266094421,0.615587846764,0.00853773719378,0.111175140018,7.8182618241e+42,90.9111111111,0.408131595282
shrimp,126,0.270386266094,0.570379436965,0.00305709215046,0.0884200626012,4.94532043401e+42,108.452380952,0.549841269841
