node,degree,degreeCentrality,closeness,betCentrality,eigenvectorCentrality,communicability,avgNeigDegree,clusCoeff
lemon_juice,4,0.00456621004566,0.400370415645,0.0,0.00191643980205,5.95924503881e+71,366.0,1.0
pheasant,33,0.0376712328767,0.451771022814,1.36132270217e-06,0.0140330298888,3.19525464276e+73,306.575757576,0.922348484848
sunflower_oil,36,0.041095890411,0.45291113896,0.000100636388696,0.0127971158591,2.65721518177e+73,259.944444444,0.7
mackerel,49,0.0559360730594,0.458992426631,5.42556272816e-06,0.0207670123023,6.99762470664e+73,301.959183673,0.90306122449
ale,20,0.0228310502283,0.431149642793,3.99412416777e-07,0.00835548617584,1.13278104187e+73,299.4,0.957894736842
roe,10,0.0114155251142,0.418579682362,1.89657790739e-06,0.00444673916013,3.20832326844e+72,367.9,0.911111111111
barbecue,47,0.0536529680365,0.452340362477,8.71808417091e-05,0.0168486077101,4.60610539579e+73,245.957446809,0.785383903793
poppy_seed,9,0.0102739726027,0.431927891246,1.37151095739e-07,0.00383461215029,2.38586061984e+72,324.888888889,0.916666666667
fish_steak,37,0.0422374429224,0.452055513382,1.14180437062e-06,0.0169879244404,4.68253545961e+73,338.108108108,0.965465465465
hominy_grits,8,0.00913242009132,0.43166816311,0.0,0.00423677178925,2.9124938335e+72,440.875,1.0
freshwater_fish,7,0.00799086757991,0.416394521607,0.0,0.00388465479574,2.44848021099e+72,473.0,1.0
crystallized_fruit,31,0.0353881278539,0.445878357299,1.36983606532e-05,0.0111013871896,1.99968316132e+73,248.967741935,0.851612903226
corn cob,19,0.0216894977169,0.437722045885,9.30855045872e-08,0.00875044736544,1.24239415471e+73,351.263157895,0.982456140351
grape,81,0.0924657534247,0.472901288044,0.000177663154311,0.0278089752692,1.25480502107e+74,234.308641975,0.657407407407
crappie,5,0.00570776255708,0.421776824472,0.0,0.00252730631405,1.03636340614e+72,421.4,1.0
dumpling,9,0.0102739726027,0.414232057271,0.0,0.00325962764064,1.72401579854e+72,254.555555556,1.0
sashimi,9,0.0102739726027,0.41736288096,0.0,0.00383778740188,2.38980028821e+72,324.666666667,1.0
mate,4,0.00456621004566,0.402615903113,0.0,0.00196440469112,6.26126305228e+71,381.0,1.0
couscous,28,0.0319634703196,0.443673767152,1.36713597183e-06,0.0117468064881,2.23894064763e+73,300.571428571,0.912698412698
black_olive,155,0.176940639269,0.499210121871,0.000592289987395,0.0512806201752,4.26693344432e+74,213.232258065,0.623544197738
pickle_relish,14,0.0159817351598,0.415671195861,6.87421443007e-07,0.00498335276717,4.02948368848e+72,241.214285714,0.879120879121
pork_belly,43,0.0490867579909,0.453483357708,5.54880926918e-06,0.0179244405535,5.21306723877e+73,300.279069767,0.887043189369
ingredient,352,0.401826484018,0.581737565033,0.0112900847475,0.0865650265915,1.21590512888e+75,148.190340909,0.33377039627
jerk,19,0.0216894977169,0.439060645414,0.0,0.00868864804143,1.22490921625e+73,347.473684211,1.0
lima_bean,89,0.101598173516,0.47103947195,0.000126189036688,0.0317286963773,1.63346880033e+74,240.393258427,0.718335035751
kidney_bean,97,0.110730593607,0.478576103501,0.000209439448764,0.0355054757209,2.04548655745e+74,247.865979381,0.737972508591
quince,67,0.0764840182648,0.467663944789,6.29655203165e-05,0.0263642852295,1.12781268269e+74,272.910447761,0.831750339213
sorrel,27,0.0308219178082,0.443399725294,1.30360932305e-06,0.0117977639278,2.25839758259e+73,319.444444444,0.928774928775
margarita,2,0.00228310502283,0.386780256062,0.0,0.000936658362699,1.4235158542e+71,376.5,1.0
