Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
parsley,0,311,21329,45
tomato,1,283,20988,45
bay_leaf,2,270,41807,45
garlic,3,263,41826,45
onion,4,262,41740,45
carrot,5,228,40911,45
sweet_pepper,6,228,39900,45
thyme,7,227,40618,45
spring_onion,8,225,40533,45
lemon,9,216,38739,45
peppercorn,10,215,40415,45
chilli,11,212,39108,45
sherry,12,210,36454,45
white,13,202,39694,45
red_pepper,14,193,38480,45
saffron,15,193,35461,45
potato,16,193,38609,45
white_wine,17,192,37099,45
almond,18,191,29565,45
coriander_seed,19,185,23050,45
vinegar,20,180,23039,45
olive_oil,21,180,34349,45
cinnamon,22,177,18828,45
egg,23,174,22003,45
rice,24,164,29251,45
bread,25,161,28945,45
ham,26,160,23863,45
chicken,27,160,23536,45
orange,28,159,10361,44
chicken_stock,29,154,22947,45
celery,30,152,15362,45
cumin_seed,31,151,20827,45
pork,32,149,26020,45
mint,33,149,13164,45
rosemary,34,148,26264,45
flour,35,143,20471,45
shrimp,36,142,16464,45
wild_marjoram,37,141,17093,45
pine_nut,38,140,15481,45
mushroom,39,139,25161,45
green_pepper,40,138,26908,45
fish,41,135,19883,45
sausage,42,135,17768,45
bacon,43,134,11741,44
shallot,44,131,15713,45
milk,45,130,5293,45
egg_yolk,46,127,12196,45
vegetable_oil,47,125,9481,45
red_onion,48,125,11047,45
sunflower_oil,49,124,8372,41
brandy,50,122,7717,42
apple,51,121,4680,42
nutmeg,52,121,11360,44
lime,53,118,2657,42
pea,54,117,15544,45
heavy_cream,55,114,3994,42
chorizo,56,111,6880,44
beef,57,106,2923,44
fennel,58,106,3354,45
green,59,102,10548,45
honey,60,102,2587,42
sugar,61,102,811,33
sweet,62,101,10144,45
mussel,63,100,7527,43
garbanzo,64,99,2591,44
stock,65,98,4907,44
raisin,66,97,4108,44
anchovy,67,97,5541,44
red_wine,68,96,1718,41
lettuce,69,96,3145,41
squid,70,95,4556,45
lamb,71,92,3414,42
butter,72,91,2800,39
caper,73,91,4323,42
lard,74,89,1539,42
tomato_paste,75,88,5472,44
asparagus,76,88,4130,40
spinach,77,88,6718,45
tuna,78,86,2548,41
caster_sugar,79,84,525,36
clam,80,83,1330,42
black_olive,81,83,2464,41
ginger,82,82,712,41
veal,83,81,3484,41
tortilla,84,79,1020,32
green_bean,85,78,2251,39
hazelnut,86,78,1991,44
globe_artichoke,87,77,1304,45
chive,88,76,882,42
monkfish,89,76,1218,40
mayonnaise,90,76,1969,36
pasta,91,75,1128,39
aniseed,92,74,997,38
rabbit,93,73,535,43
eggplant,94,73,1128,43
green_olive,95,73,2506,42
cabbage,96,71,264,39
basil,97,71,763,37
salt_cod,98,70,964,39
walnut,99,70,399,39
grain,100,69,889,39
fennel_seed,101,68,582,41
white_turnip,102,68,383,39
white_bread,103,68,816,42
tarragon,104,66,1394,38
cider_vinegar,105,64,540,35
fava_bean,106,64,560,42
duck,107,62,568,40
orange_juice,108,61,211,31
salt,109,60,290,34
cream,110,60,298,32
star_anise,111,59,594,36
dark_chocolate,112,58,297,32
baguette,113,57,424,35
tomato_sauce,114,57,286,38
pork_loin,115,57,292,42
lobster,116,57,520,37
paste,117,57,363,30
cucumber,118,56,467,33
peanut_oil,119,55,400,33
olive,120,55,306,36
cauliflower,121,54,313,36
wine_vinegar,122,52,136,32
juice,123,52,82,35
beef_stock,124,51,214,37
hake,125,51,282,33
liver,126,51,284,35
white_bean,127,51,139,32
corn,128,51,260,32
herb,129,50,128,32
shoulder,130,50,168,38
cardamom,131,50,258,32
vegetable,132,49,117,33
prune,133,49,85,31
crabmeat,134,48,174,31
avocado,135,48,251,28
pear,136,48,134,31
meat,137,48,280,33
quail,138,47,85,37
ground_beef,139,46,107,36
cherry tomato,140,46,158,31
sour_cream,141,46,161,27
jelly,142,46,153,25
fillet,143,45,56,34
grape,144,45,139,30
noodle,145,45,85,31
salmon,146,44,97,27
bean,147,44,41,35
cod,148,43,88,33
pastry,149,43,58,26
truffle,150,42,138,29
langoustine,151,42,32,33
pork_sausage,152,42,98,31
prosciutto,153,41,183,26
fig,154,41,113,27
artichoke_heart,155,40,66,30
cheese,156,40,192,26
dill_pickle,157,39,67,27
lemongrass,158,39,29,30
leg,159,39,54,32
scallop,160,39,64,30
lima_bean,161,38,38,31
dill,162,38,50,28
sardine,163,38,44,30
single_cream,164,38,65,27
vanilla_bean,165,37,58,18
pumpkin,166,37,42,27
mullet,167,36,46,28
allspice,168,36,54,26
partridge,169,36,40,28
chicken_liver,170,35,116,24
watercress,171,35,34,28
chestnut,172,35,40,27
striped_bass,173,35,32,27
rum,174,34,62,17
hard-cooked_egg,175,34,8,31
radish,176,34,104,20
salvia,177,33,18,27
soy_sauce,178,32,34,20
peach,179,32,51,17
lentil,180,32,6,30
plain_flour,181,32,28,24
romaine_lettuce,182,31,30,23
escarole,183,31,46,23
snail,184,31,18,27
whipping_cream,185,31,16,22
sparerib,186,30,12,27
turmeric,187,30,8,27
salt_pork,188,29,10,26
oyster mushroom,189,29,10,26
goat_cheese,190,29,26,22
rocket,191,28,12,23
sesame_seed,192,28,63,18
white_pepper,193,28,17,24
trout,194,28,7,24
rib,195,27,14,23
dried_apricot,196,27,9,24
beetroot,197,27,14,21
cider,198,27,10,23
aioli,199,26,8,23
pastis,200,26,6,24
liquorice,201,26,8,23
sweet potato,202,26,22,20
