Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
ginger,0,66,66,15
soy_sauce,1,64,64,15
spring_onion,2,60,116,15
sesame_oil,3,55,108,15
rice,4,45,71,15
chilli,5,41,70,15
peanut_oil,6,39,72,15
chicken,7,33,60,15
pork,8,30,47,15
vinegar,9,25,21,15
chicken_stock,10,24,28,15
shrimp,11,24,36,15
coriander_seed,12,22,18,15
oyster,13,22,22,15
mushroom,14,21,20,14
carrot,15,20,14,14
sherry,16,19,18,12
wine,17,18,10,15
white_pepper,18,17,8,14
red_pepper,19,16,10,12
garlic,20,16,4,15
white,21,14,4,13
bamboo_shoot,22,14,10,11
sesame,23,13,6,11
bean,24,13,6,11
celery,25,12,4,11
peppercorn,26,12,4,11
water,27,12,8,10
noodle,28,12,2,12
tofu,29,12,4,11
vegetable_oil,30,11,4,10
beef,31,10,5,8
star_anise,32,10,6,8
corn_oil,33,10,2,10
flour,34,9,2,9
hoisin_sauce,35,8,2,8
shallot,36,8,2,8
cucumber,37,8,2,8
fish,38,7,2,7
black_bean,39,7,2,7
egg,40,7,2,7
cabbage,41,7,4,6
onion,42,6,2,6
bean_sprout,43,6,2,6
sesame_seed,44,6,2,6
pea,45,5,2,5
tomato_ketchup,46,5,2,5
tomato,47,5,2,5
duck,48,5,2,5
honey,49,4,2,4
wonton,50,4,2,4
bamboo,51,4,2,4
pimiento,52,4,2,4
ham,53,4,2,4
spinach,54,4,2,4
peanut,55,4,2,4
sugar,56,4,2,4
cinnamon,57,4,2,4
orange,58,4,2,4
napa,59,3,2,3
snow_pea,60,3,2,3
lemongrass,61,3,1,4
stock,62,3,2,3
green_pepper,63,2,2,2
flank_steak,64,2,1,3
crabmeat,65,2,1,3
grain,66,1,1,2
malt,67,1,1,2
fillet,68,1,1,2
juice,69,1,1,2
lemon,70,1,1,2
pork_loin,71,1,1,2
sparerib,72,1,1,2
lime,73,1,1,2
pork_belly,74,1,1,2
