chinese_parsley,cilantro
celery_cabbage,chinese_cabbage
chile,chili
cheddar,cheddar_cheese
chickpea,garbanzo
egg_roll,spring_roll
calamari,squid
honeydew_melon,persian_melons
cilantro,coriander
carbonated_water,club_soda
cayenne,cayenne_pepper
dressing,stuffing
aubergine,eggplant
endive,escarole
dessert,sweet
bok_choy,pak_choi
monosodium_glutamate,msg
jack,jackfruit
bream,sea_bream
bok_choi,bok_choy
ketchup,tomato_ketchup
coriander,coriander_seed
chicken_broth,chicken_stock
cumin,cumin_seed
soya,soybean
chinese_gooseberry,kiwi
rock,rock_candy
egg_white,white
beef_broth,beef_stock
tea,tea_leaf
prawn,shrimp
turnip,white_turnip
pie_crust,pie_shell
port,port_wine
duck_sauce,hoisin_sauce
coconut_cream,coconut_milk
cayenne_pepper,red_pepper
anise_seed,aniseed
litchi,lychee
courgette,zucchini
pepper,peppercorn
soy_flour,soybean_flour
wheat,wheat_berry
bass,sea_bass
gray_mullet,mullet
self-raising_flour,self-rising_flour
brown_bread,whole_wheat_bread
cob,hazelnut
bell_pepper,paprika
chow,chuck
marjoram,oregano
heart,spirit
green_onion,scallion
rockfish,striped_bass
arugula,rocket
soy,soy_sauce
scallion,spring_onion
licorice,liquorice
fish fillet,fillet
chinese_cabbage,chinese_celery
fish_ball,fish_cake
cos_lettuce,romaine
beet,beetroot
crab,crabmeat
basil,sweet_basil
yoghurt,yogurt
chip,potato_chip
wax_bean,yellow_bean
bean_curd,tofu
catsup,ketchup
filet,fillet
chocolate,cocoa
bun,roll
cereal,grain
butter_bean,lima_bean
chili,chilli
broad_bean,fava_bean
hard-boiled_egg,hard-cooked_egg
lemon_grass,lemongrass
vanilla,vanilla_extract
cracker,snapper
paprika,pimento
whiskey,whisky
japanese_plum,loquat
club_soda,soda_water
groundnut_oil,peanut_oil
sweet potato,sweet_potato
dill,dill_weed
broth,stock
snap_pea,sugar_snap_pea
french_beans,haricot_vert
lichee,litchi
clove,stick
taro,taro_root
cashew,cashew_nut
cottage_cheese,farmer's_cheese
chicory,curly_endive
leek,scallion
oil,vegetable_oil
dried_milk,milk_powder
mustard,mustard_greens
soda,soda_water
chinese_dates,jujube
gelatin,jelly
pimento,pimiento
romaine,romaine_lettuce
marrow,vegetable_marrow
chard,swiss_chard
daikon,radish
pork_roast,roast_pork
