Ingredient,Rank,Degree,NumberOfCliques,Size of Largest Maximal Clique
parsley,0,18,19,7
onion,1,18,19,7
carrot,2,18,19,7
thyme,3,14,9,7
bay_leaf,4,12,7,7
tomato,5,12,10,7
shallot,6,10,6,7
white_wine,7,9,6,7
celery,8,8,4,7
white,9,8,4,7
spring_onion,10,7,2,7
butter,11,7,3,5
mushroom,12,6,2,6
garlic,13,6,2,6
peppercorn,14,5,2,5
milk,15,5,2,5
sugar,16,5,2,5
egg,17,4,1,5
potato,18,4,1,5
veal,19,4,1,5
flour,20,4,1,5
lemon,21,2,2,2
bacon,22,2,1,3
tarragon,23,2,1,3
egg_yolk,24,2,1,3
poulet,25,2,1,3
chicken_stock,26,1,1,2
basil,27,1,1,2
red_pepper,28,1,1,2
white_turnip,29,1,1,2
