coffee ice,coffee,
tamarind paste,tamarind,paste,
spaghetti pasta,spaghetti,pasta,
beet juice,beet,juice,
citrus liqueur,citrus,liqueur,
hazelnut praline,hazelnut,praline,
almond toffee,almond,toffee,
linguine pasta,linguine,pasta,
pork shoulder,pork,shoulder,
bacon dripping,bacon,
champagne wine,champagne,wine,
chocolate wafer,chocolate,wafer,
veal shoulder,veal,shoulder,
sorrel cress,sorrel,cress,
fig jam,fig,
wasabi paste,wasabi,paste,
pineapple quince,pineapple,quince,
venison shoulder,venison,shoulder,
fennel sprout,fennel,sprout,
wheat linguine,wheat,linguine,
apple sherry,apple,sherry,
gravy beef,gravy,beef,
beaujolais wine,beaujolais,wine,
juice cocktail,juice,cocktail,
chardonnay vinegar,chardonnay,vinegar,
fish soup,fish,soup,
curry paste,curry,paste,
tangerine juice,tangerine,juice,
buffalo mozzarella,buffalo,mozzarella,
pork rib,pork,rib,
lamb liver,lamb,liver,
tempura batter,tempura,batter,
meat gravy,meat,gravy,
onion juice,onion,juice,
vanilla syrup,vanilla,syrup,
clam juice,clam,juice,
green grape,grape,
apple cider,apple,cider,
lamb loin,lamb,loin,
veal rib,veal,rib,
penne pasta,penne,pasta,
duck heart,duck,
pastry tart,pastry,tart,
lamb sirloin,lamb,sirloin,
chestnut paste,chestnut,paste,
pork liver,pork,liver,
leek green,leek,
pomegranate molasses,pomegranate,molasses,
gingersnap cooky,gingersnap,cooky,
fish stock,fish,
beef rib,beef,rib,
kosher gelatin,kosher,gelatin,
garlic chile,garlic,chile,
guava paste,guava,paste,
grape tomato,grape,tomato,
quahog clam,quahog,clam,
pistachio paste,pistachio,paste,
moselle wine,moselle,wine,
green tabasco,tabasco,
cream liqueur,cream,liqueur,
veal demiglace,veal,demiglace,
horseradish cream,horseradish,cream,
rigatoni pasta,rigatoni,pasta,
cherry jam,cherry,
batter mix,batter,mix,
mutton saddle,mutton,
green mango,mango,
prune plum,prune,plum,
veal marrow,veal,marrow,
sesame paste,sesame,paste,
green prawn,prawn,
lamb shoulder,lamb,shoulder,
gooseberry jam,gooseberry,
vegetable bouillon,vegetable,bouillon,
marsala wine,marsala,wine,
hazelnut oil,hazelnut,oil,
molasses sugar,molasses,sugar,
rabbit liver,rabbit,liver,
pork leg,pork,leg,
lemon vinaigrette,lemon,vinaigrette,
merlot wine,merlot,wine,
roast chicken,roast,chicken,
anjou pear,anjou,pear,
veal scallop,veal,scallop,
milk couverture,milk,couverture,
wiener sausage,wiener,sausage,
sweet onion,sweet,onion,
raspberry sauce,raspberry,sauce,
seafood stock,seafood,
champagne grape,champagne,grape,
vegetable broth,vegetable,broth,
lamb tongue,lamb,
pistachio oil,pistachio,oil,
rock sugar,sugar,
soy cream,soy,cream,
pekoe tea,pekoe,tea,
mutton dripping,mutton,
quince paste,quince,paste,
cheese ravioli,cheese,ravioli,
rice cereal,rice,cereal,
tuna loin,tuna,loin,
salmon caviar,salmon,caviar,
stilton cheese,stilton,cheese,
green shallot,shallot,
beef marrow,beef,marrow,
danish bread,danish,bread,
chestnut flour,chestnut,flour,
kosher salt,kosher,salt,
lamb tenderloin,lamb,tenderloin,
pork sparerib,pork,sparerib,
venison chop,venison,
pear brandy,pear,brandy,
cherry nectar,cherry,nectar,
fish sauce,fish,sauce,
beef mince,beef,mince,
mullet roe,mullet,roe,
apple puree,apple,puree,
venison offal,venison,offal,
lasagne pasta,lasagne,pasta,
pork stock,pork,
hyson tea,hyson,tea,
filet beef,filet,beef,
crayfish bisque,crayfish,bisque,
camembert cheese,camembert,cheese,
lamb rib,lamb,rib,
watermelon radish,watermelon,radish,
peach liqueur,peach,liqueur,
pear juice,pear,juice,
plum liqueur,plum,liqueur,
salmon roe,salmon,roe,
veal stock,veal,
