cuisine,edgeWtThreshold,NumberOfCliques,Size of Largest Maximal Clique
indian,100,32,7
chinese,100,40,7
spanish,100,39,7
mexican,100,36,7
italian,100,32,7
french,100,28,7
indian,250,60,11
chinese,250,82,9
spanish,250,86,11
mexican,250,87,10
italian,250,70,10
french,250,58,12
indian,500,119,16
chinese,500,134,15
italian,500,138,15
french,500,137,15
spanish,500,152,13
mexican,500,169,13
indian,1000,217,21
chinese,1000,289,20
spanish,1000,428,17
mexican,1000,257,18
italian,1000,304,19
french,1000,257,20
french,2500,725,28
italian,2500,838,32
spanish,2500,1216,28
mexican,2500,1111,25
indian,2500,742,30
chinese,2500,1204,30
indian,5000,3467,39
chinese,5000,2819,39
spanish,5000,5626,36
mexican,5000,4560,34
italian,5000,2181,42
french,5000,2743,36
french,10000,19406,45
italian,10000,12240,53
spanish,10000,42680,45
mexican,10000,46849,45
indian,10000,19698,48
chinese,10000,52653,46
