stick
ingredient
sauce
paste

anise_seed
banana liqueur
beef brisket
bell_pepper
beverage mix
bread flour
brie cheese
buffalo mozzarella
cake flour
cappuccino beverage
catfish fillet
cayenne_pepper
champagne vinegar
chianti wine
chile
chile pepper
chocolate chip
chocolate cookie
clam broth
clam juice
coconut rum
coconut syrup
corn tortilla
cracker
cumin
curry paste
daikon radish
duck leg
duck stock
egg_white
filet
filet
filet
filet
fish fillet
fish sauce
fish stock
flour tortilla
gooseberry jam
green almond
green cabbage
green curry
green mussel
green papaya
green_onion
grenadine syrup
guava juice
guava nectar
juice concentrate
kaffir lime
kosher salt
lamb loin
lasagne pasta
leek
lemon pepper
lemon_grass
lemon_grass
linguine pasta
manicotti pasta
mushroom soy
mustard cabbage
napa cabbage
oil
oreo chocolate
oyster sauce
paprika
parmesan cheese
pastry flour
pastry pie
pastry tart
pear tomato
pepper
pepper water
plum paste
plum wine
pork chop
pork rib
pork shoulder
pork sparerib
prawn
raspberry vinegar
rice flour
rice noodle
rice vinegar
rice wine
romaine
salmon caviar
semolina flour
sherry vinegar
shrimp stock
simple syrup
spaghetti pasta
spice sprout
sweet onion
swordfish steak
tamarind paste
taro
teriyaki sauce
veal chop
veal stock
vegetable stock
venison loin
wasabi paste
yellowfin
