dry_milk,milk_powder
chile,chilli
sprout,stock
cheddar,cheddar_cheese
chickpea,garbanzo
artichoke,globe_artichoke
egg_roll,spring_roll
calamari,squid
cilantro,coriander
cut,prune
carbonated_water,club_soda
cayenne,cayenne_pepper
carambola,star_fruit
aubergine,eggplant
mung,mung_bean
black_pepper,pepper
jack,jackfruit
bream,sea_bream
coriander,coriander_seed
crisp,potato_chip
coconut_milk,coconut_water
chicken_broth,chicken_stock
cumin,cumin_seed
soya,soybean
courgette,zucchini
rock,rock_candy
egg_white,white
beef_broth,beef_stock
tea,tea_leaf
hare,rabbit
prawn,shrimp
turnip,white_turnip
dried_milk,dry_milk
gouda,gouda_cheese
coconut_cream,coconut_milk
cayenne_pepper,red_pepper
anise_seed,aniseed
food_coloring,food_colouring
pepper,peppercorn
wheat,wheat_berry
self-raising_flour,self-rising_flour
salmon_trout,sea_trout
grey_mullet,mullet
brown_bread,whole_wheat_bread
black_bean,turtle_bean
pistachio,pistachio_nut
cob,hazelnut
bell_pepper,paprika
marjoram,oregano
navy_bean,white_bean
green_onion,scallion
cluster_bean,guar
arugula,rocket
celeriac,celery_root
soy,soy_sauce
graham_flour,whole_wheat_flour
rice_beer,sake
sour_cream,soured_cream
fish fillet,fillet
chinese_cabbage,chinese_celery
scallion,spring_onion
cos_lettuce,romaine_lettuce
beet,beetroot
bean_curd,tofu
chapati,chapatti
yoghurt,yogurt
milk_powder,powdered_milk
chip,crisp
caster_sugar,castor_sugar
wax_bean,yellow_bean
crab,crabmeat
catsup,tomato_ketchup
filet,fillet
light_cream,single_cream
bulghur,bulgur
chocolate,cocoa
cereal,grain
butter_bean,lima_bean
broad_bean,fava_bean
runner_bean,scarlet_runner_bean
lemon_grass,lemongrass
pollack,pollock
vanilla,vanilla_extract
cracker,snapper
whiskey,whisky
club_soda,soda_water
groundnut_oil,peanut_oil
dill,dill_weed
soda_water,sparkling_water
broth,stock
black-eyed_pea,cowpea
clove,stick
taro,taro_root
cashew,cashew_nut
cottage_cheese,farmer's_cheese
leek,scallion
fenugreek,fenugreek_seed
oil,vegetable_oil
papaya,pawpaw
mustard,mustard_greens
cardamom,cardamon
gelatin,jelly
colouring,food_coloring
marrow,vegetable_marrow
chard,swiss_chard
green,leafy_vegetable
